"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
10 91 603 249 1070 3459 11 10 358 22 63 0 373 83 1484
9 83 539 281 926 3540 13 28 348 17 68 NA 316 64 1700
12 78 578 253 981 3592 17 17 327 14 62 NA 328 67 1523
15 86 600 249 1005 3459 16 16 331 13 53 NA 291 75 1667
9 99 590 245 938 3410 18 27 352 20 54 0 337 59 1457
11 94 455 247 926 3488 15 11 336 16 39 2 353 71 1503
9 114 477 271 869 3466 8 22 389 14 61 1 297 67 1548
6 101 578 253 997 3681 19 16 344 19 55 0 291 74 1479
8 83 520 248 988 3446 2 17 353 24 53 3 298 77 1466
11 79 564 259 1091 3533 11 16 358 17 58 0 300 57 1475
6 80 602 244 983 3598 18 31 361 22 32 2 355 60 1531
17 102 601 256 981 3437 7 29 356 16 43 1 277 62 1567
18 120 637 267 1047 3638 13 26 346 13 62 1 273 88 1604
8 94 582 253 952 3578 10 20 346 14 65 1 324 76 1540
14 112 630 252 1094 3614 14 11 360 17 70 NA 272 65 1599
17 49 650 244 888 3519 22 22 336 14 46 NA 310 52 1520
9 85 584 248 989 3552 18 40 337 16 48 1 312 62 1513
14 125 622 255 1050 3571 23 27 354 16 49 1 367 62 1492
10 120 684 265 1055 3539 22 18 342 18 47 1 293 55 1486
4 87 605 289 1093 3520 17 21 347 8 43 0 403 54 1625
9 102 504 243 902 3548 19 28 361 16 47 1 275 103 1621
13 95 568 257 901 3462 11 20 350 18 65 2 261 82 1615
10 100 609 248 910 3528 9 26 351 11 58 0 362 78 1546
17 93 640 272 989 3412 16 24 298 12 58 0 297 67 1518
12 116 598 258 1047 3555 7 26 334 18 64 1 290 80 1592
11 110 576 286 997 3507 17 12 365 18 59 0 291 77 1680
11 90 585 241 873 3511 16 19 359 14 63 1 282 92 1562
10 87 599 260 912 3515 16 15 321 16 59 NA 351 69 1493
13 101 565 260 914 3506 6 21 345 15 54 0 339 72 1584
10 94 556 258 868 3389 15 10 339 14 54 NA 297 68 1489
19 113 643 282 1076 3669 8 34 337 23 54 0 271 48 1532
11 98 481 272 789 3474 21 30 342 16 61 3 269 72 1569
10 89 569 272 1021 3601 11 19 340 16 77 0 304 70 1545
14 98 574 249 858 3531 6 23 351 9 68 5 293 62 1437
