"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
10 49 584 244 1048 3421 18 20 314 17 45 346 54 1554 NA
14 111 647 276 948 3479 21 26 328 10 44 316 52 1561 NA
17 91 566 266 951 3612 17 21 330 15 72 272 76 1574 NA
9 135 545 277 794 3448 14 23 365 24 50 269 84 1473 1
12 101 613 267 955 3352 20 31 328 11 52 292 65 1383 1
17 102 606 243 951 3619 22 17 329 15 45 324 81 1585 0
11 98 524 266 879 3376 15 18 353 22 59 337 71 1586 NA
14 89 645 199 1012 3438 18 17 338 12 56 321 56 1564 NA
10 104 647 250 1077 3436 22 16 359 15 59 318 80 1540 0
10 96 577 252 883 3418 11 17 342 15 49 330 57 1549 1
13 81 556 242 892 3504 19 25 329 16 50 297 67 1474 3
8 98 517 247 968 3554 13 21 378 11 56 321 82 1421 0
9 70 604 246 976 3517 12 23 328 20 56 320 85 1628 NA
9 102 607 224 888 3604 17 20 332 13 57 326 58 1509 0
13 86 649 280 1042 3528 10 36 359 14 50 323 73 1705 NA
14 97 637 235 954 3359 18 25 372 15 54 319 30 1491 2
9 94 616 226 1003 3471 17 21 358 10 59 252 74 1714 0
7 106 569 296 869 3464 7 19 331 16 47 269 88 1528 3
9 83 526 280 990 3508 12 20 320 16 62 332 70 1527 3
10 85 607 261 981 3439 15 11 336 12 65 296 73 1443 2
14 98 625 262 966 3450 19 18 359 12 64 335 82 1569 0
12 105 600 274 488 3610 11 23 371 9 60 297 56 1434 NA
10 94 544 248 880 3422 5 18 333 13 64 331 72 1377 6
12 105 604 260 1079 3548 10 14 339 20 43 351 86 1544 3
7 96 626 253 1049 3554 17 20 358 14 50 291 94 1512 1
11 45 577 261 1009 3434 5 30 344 17 42 271 85 1560 1
8 106 586 256 461 3469 15 39 379 14 66 298 65 1539 0
11 113 544 259 958 3580 17 27 358 12 48 308 58 1550 NA
13 126 604 252 939 3445 14 15 323 19 50 316 56 1565 0
13 91 649 243 966 3559 19 13 356 15 50 353 41 1553 2
7 82 507 242 912 3466 7 26 321 17 60 330 67 1555 0
6 113 605 265 1026 3521 22 27 355 24 58 316 65 1421 NA
13 91 617 235 989 3421 20 12 328 21 73 349 87 1506 1
9 105 583 253 1052 3648 9 23 343 18 43 297 56 1578 0
5 60 615 216 977 3407 15 21 340 17 37 320 53 1509 4
12 100 542 276 918 3468 11 5 346 15 45 331 57 1612 NA
11 68 538 250 855 3606 12 30 360 18 28 359 71 1604 2
12 108 571 283 1056 3450 15 14 321 15 46 246 54 1490 NA
10 104 551 268 951 3553 22 33 355 9 57 324 65 1631 1
11 95 544 262 799 3304 12 19 324 15 51 328 55 1385 1
11 79 582 272 922 3659 17 27 333 15 62 284 69 1560 1
15 101 613 230 889 3573 21 21 360 24 48 305 63 1606 NA
16 101 520 259 930 3496 10 21 335 13 43 294 70 1485 NA
7 101 560 269 1052 3661 17 25 331 14 44 304 67 1557 0
13 106 570 281 946 3591 21 41 362 19 47 315 87 1564 0
14 118 564 243 944 3453 7 34 362 13 47 332 44 1411 NA
17 112 652 272 1054 3503 13 8 362 14 51 358 57 1450 2
7 84 635 231 961 3395 13 32 309 21 63 325 100 1483 0
14 98 614 284 965 3617 10 16 332 11 66 288 57 1560 NA
15 101 535 234 895 3354 17 25 374 17 63 157 51 1627 NA
12 69 546 249 953 3472 18 12 351 19 45 275 53 1604 0
10 75 552 214 942 3495 18 37 368 19 51 333 42 1617 0
11 101 617 214 966 3402 20 18 352 11 66 304 73 1504 NA
14 82 585 231 1041 3549 19 27 356 9 73 357 55 1555 1
14 122 617 257 990 3506 14 31 321 17 29 295 42 1394 2
16 119 600 278 934 3509 16 18 375 16 47 315 86 1606 0
13 101 572 240 935 3582 14 29 316 19 55 324 48 1642 1
14 123 610 274 1006 3458 15 23 333 13 62 288 90 1532 0
8 87 625 266 1014 3544 18 30 342 23 44 295 57 1443 0
17 108 654 267 1017 3578 5 27 383 23 61 300 72 1470 3
8 97 641 228 1028 3519 19 20 353 20 51 306 68 1579 1
10 104 557 290 984 3587 18 18 307 13 57 351 61 1539 0
15 112 632 246 946 3420 15 19 380 13 57 359 59 1564 3
10 96 615 288 837 3373 15 29 332 19 50 315 68 1508 NA
10 112 577 258 951 3603 13 23 321 16 65 317 63 1419 NA
12 110 539 262 1016 3513 15 18 341 14 46 296 60 1524 1
16 87 579 263 1017 3512 13 9 370 16 62 352 65 1604 0
10 77 542 250 849 3425 14 16 317 14 63 346 61 1396 NA
13 115 643 259 987 3449 17 19 344 15 59 278 64 1444 NA
11 102 577 282 1046 3475 18 17 325 19 65 315 83 1505 1
13 94 550 246 1065 3703 19 28 376 21 54 300 68 1541 0
9 106 576 264 968 3392 10 28 338 14 20 291 67 1491 NA
8 87 664 235 969 3473 15 22 346 17 42 342 71 1486 NA
14 114 570 285 887 3536 14 18 384 18 66 342 65 1578 NA
15 113 577 267 995 3477 21 23 379 21 70 304 61 1566 0
8 91 575 251 1063 3566 23 15 362 28 64 292 78 1512 NA
12 112 615 261 1052 3487 16 18 348 18 47 314 59 1452 NA
10 95 658 268 1098 3446 9 29 323 11 52 353 71 1440 1
10 103 572 283 1021 3514 14 21 371 21 38 289 84 1408 NA
7 91 585 269 1017 3464 28 33 358 16 41 300 76 1583 NA
5 90 485 219 935 3627 15 26 384 20 59 401 75 1447 1
17 113 566 279 981 3471 20 25 349 16 63 342 65 1659 2
11 109 624 263 934 3452 12 19 349 16 53 292 43 1535 0
13 98 623 275 881 3460 20 17 316 23 60 330 76 1624 NA
7 72 527 257 919 3442 13 12 337 19 66 338 73 1494 NA
7 101 603 243 925 3560 13 20 346 15 55 342 67 1553 0
13 124 547 287 1099 3436 17 26 331 15 58 250 69 1447 NA
15 98 600 244 953 3572 13 17 318 16 42 326 71 1558 0
11 106 558 268 958 3453 9 20 329 18 44 296 77 1628 NA
7 103 637 245 942 3551 20 20 368 14 55 329 57 1547 NA
