"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.04 NA 0.97 NA 12 4 12 3 100 1.58
"2" "kukd" 139 0 0 1 NA 97 14 100 11 100 1.43
"3" "kuku" 876 0 0 1 NA 583 43 588 42 100 1.5
"4" "pkd" 299 0.01 NA 0.99 NA 253 25 258 19 100 1.18
"5" "pku" 1102 0.03 NA 0.97 NA 967 82 964 61 100 1.14
"6" "pp" 4469 0 0 1 NA 3513 79 3516 77 100 1.27
"7" "tdkd" 12 0.75 NA 0.28 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.65 NA 0.38 NA 20 7 21 7 100 0.9
"9" "tdp" 325 0.87 NA 0.13 NA 347 19 348 20 100 0.94
"10" "tdtd" 10 0.98 NA 0.02 NA 17 4 17 4 100 0.59
"11" "tukd" 48 0.67 NA 0.36 NA 52 9 51 10 100 0.92
"12" "tuku" 1 0.45 NA 0.86 NA 1 2 0 0 100 1
"13" "tup" 297 0.65 NA 0.35 NA 310 35 312 33 100 0.96
"14" "tutd" 66 0.56 NA 0.45 NA 68 13 68 13 100 0.97
"15" "tutu" 2397 0 0 1 NA 1542 88 1547 88 100 1.55
