"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 61 19 59 18 2000 3.51
"2" "kukd" 438 0 0 1 NA 241 30 243 25 2000 1.82
"3" "kuku" 2103 0 0 1 NA 1251 64 1248 64 2000 1.68
"4" "pkd" 981 0 0 1 NA 522 33 522 32 2000 1.88
"5" "pku" 2297 0 0 1 NA 1576 91 1575 83 2000 1.46
"6" "pp" 18008 0 0 1 NA 5472 115 5469 116 2000 3.29
"7" "tdkd" 88 0.0965 NA 0.909 NA 64 18 62 16 2000 1.38
"8" "tdku" 76 0 0 1 NA 40 10 40 10 2000 1.9
"9" "tdp" 1205 0 0 1 NA 692 38 692 39 2000 1.74
"10" "tdtd" 231 0.136 NA 0.867 NA 181 46 177 44 2000 1.28
"11" "tukd" 111 0.4775 NA 0.552 NA 110 15 110 13 2000 1.01
"12" "tuku" 1 0.6665 NA 0.6725 NA 1 2 1 1 2000 1
"13" "tup" 583 0.01 NA 0.991 NA 495 42 496 36 2000 1.18
"14" "tutd" 123 0.5585 NA 0.464 NA 125 19 125 18 2000 0.98
"15" "tutu" 4391 0 0 1 NA 3160 107 3158 110 2000 1.39
