"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 62 261 1322 543 1501 5439 65 54 694 138 101 3 536 120 3413
"2" 47 185 1389 486 1559 5424 71 42 748 150 103 NA 244 104 3171
"3" 64 269 1356 526 1732 5379 55 39 706 229 117 1 503 110 3212
"4" 137 242 1099 559 1463 5557 55 32 742 142 128 NA 522 130 3349
"5" 48 267 1313 508 1626 5481 68 28 630 152 137 1 515 117 3182
"6" 87 305 1338 573 1648 5634 51 40 656 193 129 5 476 146 3123
"7" 61 269 1319 557 1600 5426 127 33 716 148 77 1 571 135 3202
"8" 81 282 1272 494 1622 5355 44 23 656 184 97 1 459 162 3237
"9" 84 227 1237 544 1687 5603 56 39 708 163 131 1 513 186 3164
"10" 52 270 1248 501 1548 5460 75 53 668 130 114 1 513 99 3087
"11" 68 220 1093 440 1449 5395 25 35 680 203 118 NA 467 132 3003
"12" 72 227 1217 535 1587 5513 83 71 737 189 145 2 473 178 3246
"13" 81 224 1256 476 1650 5450 60 48 709 171 107 NA 539 126 3249
"14" 79 205 1129 550 1608 5627 75 36 652 164 107 3 540 132 3166
"15" 68 242 1169 504 1510 5602 60 47 707 170 129 NA 510 131 3274
"16" 118 266 1318 553 1552 5507 52 29 684 121 110 2 517 110 3276
"17" 41 238 1321 501 1505 5495 57 53 723 163 105 2 514 119 3158
"18" 94 235 1307 527 1567 5528 88 33 693 195 117 NA 453 124 3306
"19" 53 200 1103 536 1383 5396 56 41 678 84 89 2 496 95 3069
"20" 64 237 1231 516 1584 5561 58 32 714 130 110 1 468 134 3183
"21" 70 263 1317 476 1470 5263 91 46 723 231 107 NA 485 124 3204
"22" 23 240 1178 488 1483 5474 83 44 645 205 102 1 520 55 3154
"23" 41 218 1348 506 1724 5457 105 45 726 160 120 3 480 132 2955
"24" 34 265 1202 513 1479 5454 55 45 666 327 121 1 511 99 2976
"25" 53 246 1138 567 1485 5426 60 40 703 124 125 NA 493 115 3157
"26" 78 269 1306 522 1707 5539 51 30 698 126 125 1 470 108 3191
"27" 45 231 1262 544 1621 5582 57 32 771 178 107 1 482 136 3027
"28" 76 282 1211 586 1682 5505 117 36 682 165 127 NA 550 109 3237
"29" 79 250 1254 552 1722 5535 77 34 728 187 96 2 430 124 3133
"30" 38 229 1326 535 1494 5425 85 46 746 118 110 4 493 128 3238
"31" 54 211 1119 454 1625 5319 39 42 697 181 124 1 498 144 3211
"32" 100 246 1331 560 1603 5537 81 34 718 208 107 NA 516 119 3422
"33" 56 208 1246 540 1687 5484 52 21 671 264 102 NA 501 126 3279
"34" 50 287 1225 564 1700 5466 92 40 653 138 89 2 477 133 3019
"35" 34 266 1211 551 1538 5379 68 34 664 154 114 1 478 128 3293
"36" 83 229 1151 538 1526 5503 42 36 693 116 104 NA 520 98 3475
"37" 40 255 1211 526 1503 5534 80 42 707 129 97 4 524 150 3074
"38" 56 264 1237 557 1536 5549 58 30 607 117 110 NA 473 93 3065
"39" 66 244 1363 539 1585 5450 92 50 717 217 114 1 412 128 2984
"40" 48 273 1245 532 1568 5508 73 40 682 222 96 2 526 128 3132
"41" 63 261 1246 559 1649 5460 61 36 650 245 93 1 445 132 3203
"42" 94 235 1236 519 1641 5294 93 46 654 193 104 NA 528 132 3212
"43" 28 248 1269 474 1509 5467 47 37 697 204 133 2 500 141 3094
"44" 45 231 1268 547 1709 5409 69 40 708 160 105 NA 487 130 3150
"45" 71 302 1222 580 1630 5541 52 34 671 138 114 7 494 138 3165
"46" 31 270 1295 486 1653 5424 96 27 743 165 89 NA 520 127 3178
"47" 68 242 1154 528 1433 5488 41 46 615 109 93 2 530 112 3344
"48" 48 268 1403 516 1565 5425 59 33 705 176 135 1 463 152 3154
"49" 84 207 1188 547 1626 5512 65 29 701 151 103 5 535 140 3113
"50" 83 256 1252 473 1605 5574 69 30 680 106 123 4 403 127 3137
"51" 78 250 1332 541 1563 5515 66 42 677 189 54 1 489 131 3103
"52" 41 196 1165 482 1564 5485 76 55 713 134 110 NA 527 115 3227
"53" 67 236 1104 563 1448 5341 75 43 714 176 136 3 480 120 3141
"54" 32 243 1359 532 1679 5318 55 27 688 174 102 1 556 141 3320
"55" 70 244 1218 568 1584 5436 36 51 755 165 110 NA 556 145 3189
"56" 55 281 1295 463 1588 5468 86 12 675 200 106 5 590 139 3164
"57" 74 115 1269 511 1576 5464 51 30 647 198 119 5 524 82 3362
"58" 53 253 1191 579 1591 5529 73 42 739 191 103 3 539 117 3101
"59" 99 281 1387 508 1602 5657 56 30 745 118 97 3 476 94 3060
"60" 131 292 1308 530 1629 5407 70 35 618 143 105 4 430 115 3202
"61" 49 259 1223 543 1650 5428 61 43 721 146 120 3 481 140 3185
"62" 47 215 1241 539 1476 5560 56 37 652 150 106 1 431 120 3333
"63" 59 229 1201 516 1546 5354 76 39 755 219 138 3 526 141 3394
"64" 100 280 1248 562 1689 5424 52 35 701 191 99 NA 470 108 3150
"65" 52 214 1193 537 1537 5513 60 41 726 256 100 5 501 123 3003
"66" 63 110 1229 526 1568 5297 58 39 705 96 96 4 488 149 3232
"67" 70 233 1269 560 1524 5443 53 33 728 193 121 NA 469 139 3168
"68" 58 202 1180 514 1528 5643 43 63 723 254 116 1 547 114 3198
"69" 54 235 1291 487 1569 5386 76 40 709 295 143 3 526 131 2995
"70" 50 227 1366 493 1718 5591 98 60 733 191 97 2 528 135 3133
"71" 59 242 1308 518 1768 5470 45 50 672 142 88 1 487 129 3178
"72" 54 214 1237 559 1532 5392 59 25 704 222 96 NA 517 137 3027
"73" 43 261 1243 569 1798 5585 66 41 678 279 115 NA 489 125 3300
"74" 73 226 1318 543 1470 5489 71 27 775 203 111 NA 471 129 3369
"75" 78 225 1323 491 1517 5322 47 46 706 159 112 NA 465 160 3226
"76" 48 237 1295 518 1568 5520 50 38 664 184 111 NA 447 143 3154
"77" 49 209 1281 521 1605 5541 55 29 727 242 82 NA 471 125 3102
"78" 67 208 1252 492 1627 5543 55 41 735 103 119 1 522 113 3047
"79" 97 239 1249 486 1569 5486 65 17 772 201 100 1 508 170 3129
"80" 43 245 1288 500 1571 5390 55 38 700 151 105 NA 502 146 2963
"81" 54 256 1220 501 1425 5409 78 43 722 160 140 6 490 142 3128
