"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
65 250 1232 552 1383 5522 62 44 634 253 113 493 139 3126 NA
49 236 1179 534 1576 5532 54 37 709 127 103 468 96 3258 NA
61 210 1238 512 1492 5471 57 27 719 144 124 531 143 3206 NA
61 260 1350 522 1618 5468 34 33 692 172 103 471 130 3234 2
59 261 1412 475 1712 5228 62 18 661 164 101 529 147 3032 NA
53 237 1123 517 1593 5757 65 44 725 182 137 505 123 3334 NA
68 238 1225 489 1588 5356 71 49 688 231 120 450 117 3267 NA
59 275 1266 534 1599 5384 36 18 690 156 112 443 106 3154 NA
115 261 1277 497 1492 5451 47 32 751 153 113 487 117 3382 5
109 263 1159 554 1599 5627 94 53 725 159 121 258 137 3040 1
72 218 1259 563 1751 5460 58 52 674 153 57 553 142 3099 5
63 253 1241 541 1595 5393 69 16 688 126 49 526 126 3119 4
87 216 1350 482 1458 5339 55 36 670 242 106 528 134 3131 1
76 246 1243 474 1536 5283 60 26 703 168 125 457 151 3253 6
45 263 1169 492 1543 5558 66 42 751 167 144 448 144 3197 NA
61 202 1147 547 1549 5423 43 40 616 270 149 497 146 3294 1
73 249 1323 490 1391 5251 64 33 679 87 104 483 137 3266 1
41 222 1174 527 1603 5423 42 16 639 220 109 449 150 3177 NA
57 221 1162 590 1549 5569 65 33 635 131 102 456 141 3112 4
50 269 1379 536 1669 5424 56 47 735 166 104 510 105 3266 3
80 125 1298 545 1676 5550 50 34 687 183 116 538 132 3282 1
54 212 1341 551 1547 5444 38 45 658 143 120 524 128 3017 1
144 229 1403 538 1648 5370 58 49 720 150 91 463 142 3208 2
75 288 1225 541 1526 5624 73 32 717 209 109 496 112 3091 3
77 243 1229 499 1555 5469 57 32 638 104 104 489 142 3252 2
55 233 1218 544 1555 5529 69 41 724 240 134 451 112 3119 NA
63 254 1303 521 1518 5294 54 28 664 212 122 507 144 3259 1
55 280 1299 543 1637 5530 61 48 733 134 98 524 133 3148 4
33 251 1149 530 1503 5519 62 53 674 185 104 509 157 3118 1
85 268 1419 611 1736 5543 65 44 730 197 106 491 101 3126 2
