"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
61 186 1273 499 1535 5260 33 51 715 183 109 3 476 114 3276
55 221 1251 264 1533 5567 73 49 757 285 148 3 498 116 3260
46 236 1167 536 1517 5479 57 44 677 187 111 1 532 156 3129
41 235 1194 509 1473 5610 50 31 754 122 99 NA 530 144 3096
59 228 1336 484 1495 5506 124 54 719 123 126 6 482 143 3133
35 239 1249 549 1510 5339 49 50 660 184 115 1 433 131 3184
59 241 1293 501 1556 5515 57 60 720 159 104 1 476 138 3108
57 222 1299 502 1523 5412 48 39 698 133 108 1 506 138 3122
55 241 1350 535 1623 5307 56 40 724 171 130 1 490 116 3024
67 207 1180 550 1530 5653 93 40 738 136 106 1 532 112 2972
70 246 1324 528 1685 5504 68 37 725 179 118 NA 511 141 3335
86 268 1262 540 1656 5392 66 44 645 126 112 1 512 88 3037
77 210 1254 513 1562 5404 62 41 683 178 104 5 485 64 3098
94 248 1322 538 1606 5503 68 39 722 164 101 5 471 136 3242
72 217 1314 565 1615 5284 55 38 748 182 94 NA 510 147 3263
78 269 1313 574 1676 5286 57 50 655 133 110 4 509 125 3251
59 257 1249 527 1539 5442 43 36 648 193 108 1 449 114 3212
59 213 1307 517 1557 5328 63 32 705 130 105 5 468 138 3197
71 118 1295 491 1530 5462 68 44 702 204 104 1 510 155 3182
72 225 1220 573 1578 5513 57 33 745 216 105 NA 470 124 3173
61 263 1265 568 1574 5598 73 30 687 267 99 NA 510 53 3061
62 252 1213 510 1522 5523 105 32 703 199 118 1 499 113 3203
37 215 1255 496 1616 5632 109 63 798 131 126 1 500 129 3186
69 217 1216 518 1482 5490 49 59 705 194 93 1 547 148 3309
52 243 1192 488 1566 5508 44 29 705 146 105 1 450 109 3208
56 254 1276 560 1691 5519 79 44 696 171 130 NA 540 133 3165
68 252 1170 504 1412 5646 66 44 670 165 106 NA 522 116 3029
87 255 1226 537 1484 5517 52 37 643 188 104 NA 516 132 3154
67 240 1268 530 1702 5605 92 49 724 199 122 NA 490 118 3265
30 183 1243 495 1566 5289 76 46 729 146 101 2 508 135 3219
36 233 1249 482 1479 5479 47 40 646 99 101 2 491 120 3247
102 263 1342 519 1672 5429 56 45 685 178 94 7 476 129 3096
57 237 1259 503 1571 5524 67 43 614 218 106 1 527 101 3070
60 250 1213 483 1458 5317 60 33 747 280 94 1 545 113 3023
57 233 1222 507 1705 5563 61 41 695 99 45 NA 229 130 3218
84 280 1332 547 1718 5438 96 34 707 207 125 2 466 132 3135
79 201 1249 495 1510 5564 83 27 718 148 134 NA 487 128 3334
55 217 1200 545 1546 5563 40 39 706 180 129 1 486 138 3120
33 263 1246 549 1636 5276 59 32 639 156 101 2 460 125 3169
52 215 1144 557 1495 5320 78 50 666 139 94 1 564 130 3178
44 251 1223 498 1553 5377 86 39 719 141 124 NA 533 96 3160
110 310 1279 564 1475 5401 79 35 721 161 101 1 443 135 3390
44 252 1240 550 1705 5618 56 55 732 130 105 3 538 161 3242
87 242 1210 513 1532 5619 85 45 610 260 106 NA 429 134 3266
37 221 1144 544 1642 5663 83 40 691 167 101 4 483 98 3216
37 268 1105 502 1484 5438 69 31 729 177 113 5 448 135 3201
55 279 1310 527 1690 5378 78 52 638 164 113 NA 527 130 3038
61 260 1298 521 1552 5623 72 37 728 164 96 1 441 150 3197
55 257 1164 516 1493 5273 49 47 670 215 95 NA 432 135 2942
70 250 1310 488 1596 5226 92 39 720 137 117 NA 557 123 3313
70 281 1283 549 1472 5330 58 43 666 137 88 2 480 117 3186
50 244 1254 525 1543 5406 62 53 646 249 105 2 526 118 3244
84 248 1297 554 1592 5545 62 42 593 188 108 NA 465 139 3185
53 228 1203 526 1469 5427 35 56 700 192 102 NA 541 137 3122
88 273 1309 523 1538 5361 54 40 673 239 108 NA 544 133 3065
124 247 1220 602 1705 5632 75 32 679 249 124 1 481 117 3214
