"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 59 17 56 16 100 3.63
"2" "kukd" 438 0 0 1 NA 242 31 243 24 100 1.81
"3" "kuku" 2103 0 0 1 NA 1243 63 1238 68 100 1.69
"4" "pkd" 981 0 0 1 NA 518 32 516 31 100 1.89
"5" "pku" 2297 0 0 1 NA 1565 87 1558 91 100 1.47
"6" "pp" 18008 0 0 1 NA 5470 117 5456 106 100 3.29
"7" "tdkd" 88 0.08 NA 0.92 NA 65 17 64 17 100 1.35
"8" "tdku" 76 0 0 1 NA 41 10 41 10 100 1.85
"9" "tdp" 1205 0 0 1 NA 693 40 689 47 100 1.74
"10" "tdtd" 231 0.16 NA 0.84 NA 188 55 176 58 100 1.23
"11" "tukd" 111 0.46 NA 0.54 NA 111 13 109 15 100 1
"12" "tuku" 1 0.54 NA 0.74 NA 1 2 1 1 100 1
"13" "tup" 583 0.01 NA 0.99 NA 491 43 492 33 100 1.19
"14" "tutd" 123 0.57 NA 0.46 NA 126 20 126 19 100 0.98
"15" "tutu" 4391 0 0 1 NA 3149 105 3146 128 100 1.39
