"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.0475 NA 0.974 NA 9 3 9 3 2000 1.67
"2" "kukd" 104 0.001 0.015 0.999 NA 70 12 70 10 2000 1.49
"3" "kuku" 613 0 0 1 NA 400 32 398 33 2000 1.53
"4" "pkd" 187 0 0 1 NA 127 15 128 12 2000 1.47
"5" "pku" 722 0 0 1 NA 499 50 501 44 2000 1.45
"6" "pp" 1764 0 0 1 NA 1373 48 1373 47 2000 1.28
"7" "tdkd" 16 0.56 NA 0.5195 NA 16 5 16 4 2000 1
"8" "tdku" 39 0.0165 NA 0.9915 NA 20 8 19 7 2000 1.95
"9" "tdp" 298 0.0145 NA 0.9895 NA 255 26 257 16 2000 1.17
"10" "tdtd" 21 0.8805 NA 0.165 NA 26 5 26 4 2000 0.81
"11" "tukd" 26 0.6605 NA 0.396 NA 28 7 28 6 2000 0.93
"12" "tuku" 0 1 NA 0.7095 NA 0 1 0 0 2000 NA
"13" "tup" 177 0.0515 NA 0.95 NA 142 22 142 19 2000 1.25
"14" "tutd" 62 0.345 NA 0.6815 NA 57 13 57 12 2000 1.09
"15" "tutu" 1075 0 0 1 NA 774 49 773 47 2000 1.39
