"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 2000 3.08
"2" "kukd" 21 0.132 NA 0.9395 NA 16 4 17 3 2000 1.31
"3" "kuku" 16 0.316 NA 0.869 NA 15 2 15 1 2000 1.07
"4" "pkd" 100 0 0 1 NA 70 10 71 7 2000 1.43
"5" "pku" 31 0.081 NA 0.973 NA 25 5 27 3 2000 1.24
"6" "pp" 227 0 0 1 NA 163 7 163 7 2000 1.39
"7" "tdkd" 12 0.5245 NA 0.5525 NA 12 5 12 4 2000 1
"8" "tdku" 5 0.3245 NA 0.86 NA 4 2 3 1 2000 1.25
"9" "tdp" 93 0.031 NA 0.9795 NA 77 10 78 7 2000 1.21
"10" "tdtd" 22 0.3385 NA 0.7195 NA 19 6 19 6 2000 1.16
"11" "tukd" 16 0.869 NA 0.1385 NA 21 5 22 3 2000 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 2000 NA
"13" "tup" 44 0.012 NA 0.9965 NA 35 7 37 3 2000 1.26
"14" "tutd" 8 0.998 NA 0.00849999999999995 NA 20 5 21 3 2000 0.4
"15" "tutu" 30 0.0825 NA 0.9675 NA 27 2 26 1 2000 1.11
