"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 14 83 418 133 540 1371 15 26 234 24 24 0 123 56 879
"2" 10 88 405 145 517 1439 18 19 241 20 26 0 130 31 766
"3" 7 52 398 108 483 1350 10 13 246 28 29 NA 154 78 797
"4" 12 57 406 149 558 1470 20 20 138 23 30 3 147 54 820
"5" 13 75 370 144 535 1386 25 23 266 23 16 1 131 69 708
"6" 13 77 379 155 519 1407 25 27 305 27 26 NA 130 74 740
"7" 10 90 356 146 487 1452 13 32 252 26 36 0 183 48 752
"8" 9 72 323 130 198 1341 17 32 253 29 16 1 131 43 803
"9" 10 71 389 122 538 1327 20 38 285 31 22 NA 122 38 781
"10" 11 66 442 138 522 1353 13 20 257 27 34 NA 124 67 717
"11" 15 77 366 126 507 1341 12 25 259 34 34 NA 131 49 771
"12" 7 59 394 118 511 1340 9 16 253 29 39 3 164 61 836
"13" 7 74 415 142 535 1349 10 28 261 31 29 0 120 50 870
"14" 12 91 402 116 437 1277 20 15 135 30 29 0 128 48 725
"15" 14 55 377 145 490 1417 12 19 223 20 29 NA 177 66 788
"16" 8 77 380 138 538 1386 21 22 259 25 25 0 169 48 789
"17" 7 63 393 124 455 1271 12 31 258 24 31 1 160 78 813
"18" 10 68 375 130 242 1347 21 17 237 23 37 0 164 71 819
"19" 5 59 347 121 494 1441 21 20 272 35 31 0 145 41 752
"20" 6 79 379 125 437 1350 12 10 274 30 25 0 68 68 818
"21" 11 62 366 140 445 1378 20 30 249 31 22 NA 130 25 711
"22" 5 69 404 146 479 1397 6 22 241 30 34 0 136 29 781
"23" 8 72 381 138 466 1362 18 22 249 23 27 0 135 63 760
"24" 9 74 395 109 536 1404 7 30 265 33 23 NA 130 53 738
"25" 4 61 411 119 461 1333 11 15 280 34 36 1 167 56 761
"26" 11 68 426 119 548 1347 21 9 253 31 21 1 133 68 766
