"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
16 91 420 121 537 1384 20 39 266 23 30 161 52 813 NA
11 70 442 136 553 1353 25 17 254 25 36 137 74 767 0
5 68 386 113 516 1370 10 28 267 31 31 146 61 762 NA
11 62 333 141 430 1354 18 25 266 21 21 124 54 816 1
9 62 450 144 487 1314 13 11 256 25 28 126 59 792 NA
16 88 381 129 482 1323 15 19 242 19 32 110 56 829 1
10 78 489 132 571 1353 15 19 268 32 29 167 61 779 2
10 84 415 122 434 1334 22 18 250 28 15 152 37 745 0
13 68 380 132 462 1329 20 13 237 26 24 162 54 754 0
8 70 364 141 445 1278 16 10 262 30 33 125 51 785 0
8 54 451 143 607 1390 11 23 291 29 25 189 54 752 1
9 64 418 131 482 1361 26 32 257 30 27 146 71 733 NA
12 59 358 134 414 1337 13 24 277 25 26 129 83 749 1
10 66 432 115 484 1349 21 27 276 35 24 135 35 752 1
15 87 358 129 452 1455 19 20 267 23 33 89 43 755 0
11 74 385 141 506 1286 18 16 121 24 39 176 73 690 NA
6 66 415 119 456 1333 10 15 257 23 33 146 40 718 1
7 62 367 118 489 1372 9 17 262 28 19 160 70 845 0
9 65 344 111 447 1381 4 13 228 13 15 118 54 716 0
12 76 383 133 502 1287 15 11 250 33 33 130 52 643 NA
12 68 410 128 460 1361 19 12 230 31 32 115 67 817 NA
15 79 435 144 531 1359 11 35 273 27 22 148 62 743 NA
7 51 369 123 400 1283 13 16 129 26 21 139 65 783 NA
8 66 418 99 474 1411 21 20 280 19 41 149 70 705 1
10 51 355 120 458 1383 19 12 250 28 18 149 75 782 NA
15 74 405 127 531 1405 20 32 263 22 20 154 66 836 NA
7 58 382 126 498 1387 13 34 270 24 32 139 50 789 NA
13 86 421 144 554 1392 11 11 280 22 35 173 54 770 0
12 83 421 138 499 1304 18 16 252 29 23 135 52 772 NA
8 64 393 129 503 1358 13 22 270 25 33 143 72 836 0
7 65 416 112 586 1389 17 20 252 31 24 123 34 757 1
12 63 413 128 548 1423 22 18 281 31 24 164 55 759 6
17 91 400 145 506 1294 19 8 262 30 26 141 91 797 NA
10 83 409 143 542 1334 21 18 257 26 26 147 56 865 0
8 59 387 141 530 1435 22 14 279 22 21 170 62 723 NA
4 62 362 119 457 1357 7 20 260 24 27 118 64 751 1
11 69 366 133 495 1393 8 18 246 23 25 139 60 668 NA
7 71 377 118 482 1292 18 4 244 22 33 165 37 794 2
7 60 373 110 462 1363 23 19 247 25 28 127 38 791 0
6 79 445 131 542 1344 15 12 249 24 29 162 50 789 1
11 60 378 121 491 1384 19 12 263 22 36 131 57 871 NA
9 62 392 154 525 1373 14 15 256 26 28 173 41 813 NA
9 87 445 124 540 1200 13 14 239 22 16 152 65 717 1
8 66 375 111 508 1447 12 33 246 28 12 141 47 829 1
4 83 407 162 488 1347 14 51 258 25 28 152 32 782 NA
10 67 371 120 493 1368 26 18 270 31 28 177 59 652 0
11 69 408 138 517 1350 6 21 233 28 22 123 53 687 1
10 65 325 137 494 1431 14 19 263 19 21 165 67 700 0
11 77 398 147 523 1430 15 22 251 31 38 120 50 767 NA
11 52 373 115 493 1365 9 6 267 28 31 163 67 840 NA
5 55 393 109 474 1309 21 31 278 27 15 129 24 827 1
9 68 458 143 554 1477 23 20 250 32 27 146 48 805 1
11 68 393 123 472 1323 21 18 253 29 30 162 48 799 1
14 90 427 149 482 1381 20 23 258 28 25 138 86 814 NA
9 67 362 124 493 1367 19 23 263 24 11 140 68 826 0
6 79 423 116 514 1401 21 8 255 28 14 169 42 751 0
5 67 428 134 457 1310 21 21 278 23 22 148 63 763 0
6 65 399 111 483 1380 21 7 261 25 33 188 75 794 0
12 68 387 125 513 1457 10 18 256 27 29 113 54 841 0
4 71 390 115 503 1345 22 23 279 29 39 151 55 857 NA
8 93 451 112 519 1380 28 20 269 20 39 160 61 814 1
5 81 340 133 537 1384 19 10 266 22 34 128 62 807 3
11 83 413 121 518 1396 19 23 277 23 35 128 57 757 1
5 68 392 135 565 1408 12 34 241 27 31 131 92 780 NA
10 66 472 119 552 1311 15 12 288 23 35 158 69 776 0
9 57 385 137 470 1296 19 12 244 30 14 141 56 848 NA
11 67 401 123 485 1342 14 9 255 24 36 108 42 756 1
10 91 438 139 470 1316 21 21 271 17 30 119 60 767 NA
7 73 471 126 513 1392 15 12 259 19 23 173 43 790 0
4 73 439 134 519 1366 14 13 263 31 30 149 47 682 1
6 71 397 140 490 1356 18 24 295 24 30 189 60 745 0
7 61 386 148 500 1282 19 22 268 35 27 118 51 746 1
12 76 428 141 535 1378 23 23 241 20 27 141 71 848 0
8 69 342 126 445 1366 15 20 252 24 28 171 70 777 NA
7 40 416 107 502 1370 15 19 244 24 20 116 55 710 NA
