"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.04 NA 0.98 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 70 12 71 10 100 1.49
"3" "kuku" 613 0 0 1 NA 398 32 396 38 100 1.54
"4" "pkd" 187 0 0 1 NA 127 15 128 10 100 1.47
"5" "pku" 722 0 0 1 NA 495 49 502 49 100 1.46
"6" "pp" 1764 0 0 1 NA 1377 48 1379 48 100 1.28
"7" "tdkd" 16 0.57 NA 0.5 NA 17 5 16 5 100 0.94
"8" "tdku" 39 0.01 NA 1 NA 19 8 18 7 100 2.05
"9" "tdp" 298 0.01 NA 0.99 NA 251 32 256 15 100 1.19
"10" "tdtd" 21 0.93 NA 0.13 NA 27 5 26 4 100 0.78
"11" "tukd" 26 0.63 NA 0.42 NA 27 8 27 6 100 0.96
"12" "tuku" 0 1 NA 0.65 NA 0 1 0 0 100 NA
"13" "tup" 177 0.07 NA 0.93 NA 144 21 145 18 100 1.23
"14" "tutd" 62 0.34 NA 0.7 NA 55 13 54 13 100 1.13
"15" "tutu" 1075 0 0 1 NA 776 47 776 47 100 1.39
