"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
12 68 430 125 542 1367 11 21 246 21 27 0 156 36 746
7 69 428 151 486 1357 21 8 265 28 31 NA 141 64 709
12 66 384 127 432 1367 17 27 271 32 19 1 156 65 763
9 77 375 121 470 1368 18 37 279 29 34 NA 129 47 816
10 68 407 75 491 1359 15 23 126 26 25 NA 149 25 836
10 58 362 126 392 1329 24 6 256 32 24 0 165 44 820
14 83 447 75 537 1332 14 18 252 25 41 0 144 36 728
10 83 449 135 512 1390 13 16 251 25 31 0 149 46 835
11 67 405 125 538 1303 17 11 274 29 32 2 132 51 735
12 63 391 131 528 1415 14 35 263 23 27 NA 165 75 832
9 62 419 127 487 1323 13 22 246 27 33 3 129 64 888
12 77 420 137 498 1401 19 12 262 20 27 1 132 50 717
7 75 374 137 509 1493 19 21 266 27 33 1 168 63 819
15 73 435 149 541 1376 11 31 259 39 23 1 131 66 764
10 79 387 129 452 1234 26 25 270 35 32 1 135 61 807
3 70 386 116 539 1390 12 14 245 25 32 1 155 49 750
8 72 379 119 511 1438 13 25 267 24 33 NA 154 22 754
8 75 359 137 447 1355 13 16 252 31 30 1 125 84 776
10 51 403 120 444 1342 13 29 276 24 35 1 207 56 732
6 36 399 104 445 1427 27 12 256 30 29 1 133 61 729
8 75 376 130 517 1411 18 21 262 18 31 NA 160 47 745
10 73 384 145 522 1332 20 16 256 19 27 NA 125 47 710
7 75 372 113 445 1367 18 14 249 27 34 NA 157 44 714
12 68 389 137 540 1422 7 19 295 25 25 NA 142 73 847
9 58 363 124 463 1379 23 21 248 29 30 3 143 63 756
6 87 382 124 555 1471 19 16 271 27 32 2 146 85 826
13 82 392 139 489 1413 4 15 265 34 19 NA 147 72 792
7 68 382 133 467 1359 19 27 133 25 33 0 114 73 719
16 82 431 131 505 1462 25 26 243 23 34 1 149 71 804
11 78 370 121 496 1391 14 18 279 22 27 0 161 60 837
8 66 406 132 491 1353 22 11 256 37 22 0 160 74 769
5 77 358 145 430 1403 28 13 261 19 22 0 133 48 757
12 81 362 128 463 1399 11 19 289 36 11 NA 148 38 763
6 67 365 129 487 1463 8 32 267 24 31 1 121 69 744
15 84 461 134 558 1409 13 32 257 33 28 NA 146 81 798
7 27 369 113 417 1337 13 14 259 22 29 1 116 46 843
5 82 385 143 549 1385 23 14 244 26 26 0 145 54 745
5 70 411 128 528 1314 7 9 242 28 21 0 146 65 809
6 86 376 135 483 1389 17 9 243 30 23 1 152 55 778
13 77 385 111 517 1379 21 14 233 33 32 0 147 52 798
11 82 410 127 478 1411 22 14 266 24 15 0 156 63 827
7 77 440 143 481 1371 19 23 253 23 17 NA 138 67 825
13 78 430 140 439 1413 16 19 247 27 29 NA 156 47 788
9 56 397 122 527 1450 22 13 253 25 27 NA 172 59 724
7 67 418 146 539 1482 13 25 259 24 27 1 181 41 800
9 66 429 111 505 1382 16 26 291 23 25 0 140 44 717
11 74 419 131 554 1334 17 27 271 44 17 0 105 34 793
7 39 417 143 570 1463 19 15 282 24 26 1 130 62 678
7 32 415 134 437 1379 18 11 214 26 14 NA 157 52 777
10 90 343 130 248 1358 17 20 244 31 25 1 146 61 717
8 57 384 104 472 1298 7 11 252 34 21 NA 150 39 710
