"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
14 18 17 73 25 168 8 3 87 17 26 0 40 15 26
8 19 16 67 29 166 7 2 72 11 23 NA 41 11 24
10 17 15 60 13 162 13 3 73 13 13 0 36 17 24
13 14 14 69 29 167 12 5 88 16 23 NA 35 27 28
4 18 13 82 29 168 9 0 66 19 24 NA 34 24 30
6 20 14 78 31 166 15 3 77 15 19 0 35 20 30
7 19 13 80 28 157 9 3 87 13 19 0 38 21 27
11 19 16 69 25 185 13 5 87 17 26 0 18 21 28
19 18 16 67 24 160 16 3 75 19 12 0 42 23 27
11 10 18 78 31 167 14 6 73 23 25 NA 35 21 26
22 9 15 73 29 148 7 3 77 8 27 0 38 23 22
10 18 14 67 31 165 16 3 87 18 12 NA 37 28 26
12 20 13 39 25 170 7 4 69 17 27 0 36 18 27
19 18 16 75 25 160 20 2 80 14 24 NA 39 21 27
14 19 14 78 31 170 15 1 78 18 23 0 35 18 31
9 17 16 57 29 165 12 1 66 12 19 0 43 20 28
9 18 16 75 26 166 13 1 93 19 20 0 38 19 27
16 21 16 80 25 158 4 3 72 20 10 0 35 22 23
9 16 13 65 28 163 12 2 91 12 17 0 40 12 29
16 18 14 38 27 152 12 4 84 28 19 0 35 19 24
9 19 17 77 29 166 12 5 79 16 11 0 32 17 28
6 17 15 73 26 169 14 2 87 17 18 NA 35 21 27
8 15 17 69 24 152 18 4 81 27 27 0 38 25 23
10 14 15 65 30 181 11 8 89 21 22 NA 37 21 25
6 11 15 79 26 170 15 1 80 19 19 0 19 22 27
16 19 15 81 28 166 11 6 81 10 17 NA 39 26 30
14 18 14 60 26 158 12 5 79 19 21 0 35 31 24
10 19 14 71 24 163 7 5 79 31 25 NA 31 10 30
12 18 15 59 31 168 5 3 73 16 24 0 38 17 25
17 19 13 70 25 171 6 1 85 24 24 NA 40 20 27
13 21 14 71 27 179 11 4 81 30 23 0 38 14 27
5 15 15 83 31 169 11 5 78 12 23 0 35 30 28
7 17 14 51 28 162 8 5 65 26 24 0 45 16 23
15 22 14 66 29 175 11 1 81 24 23 0 39 15 21
6 15 15 65 30 166 12 5 87 16 19 0 39 17 30
15 10 15 72 25 173 14 2 75 30 23 NA 36 10 23
5 16 16 64 31 162 14 2 87 23 21 NA 42 23 26
8 18 17 69 26 162 16 5 83 16 19 0 39 17 28
11 17 15 63 27 160 15 7 84 32 23 0 45 24 25
10 15 15 71 29 156 7 7 75 30 16 NA 16 17 27
5 13 16 63 29 162 21 4 91 27 22 0 36 22 28
11 18 15 73 25 161 13 7 77 11 24 NA 18 21 27
6 21 14 87 31 169 8 3 87 18 19 0 35 21 27
12 18 15 68 26 165 15 6 83 24 17 NA 36 21 24
14 8 16 72 11 162 9 2 83 16 18 0 39 18 33
9 16 14 76 27 168 10 5 78 15 24 0 37 19 28
13 16 15 75 26 167 9 1 70 11 21 0 18 22 29
7 17 13 71 26 164 12 4 73 23 27 0 19 26 23
11 13 15 39 28 164 13 5 89 26 12 0 42 20 24
15 19 16 33 28 173 20 1 79 21 8 NA 37 21 24
14 15 14 67 25 168 17 3 83 22 12 0 38 17 27
18 17 13 72 27 160 10 3 65 22 25 0 38 23 26
8 7 14 88 28 153 8 5 69 17 11 NA 44 29 23
8 15 15 64 28 143 13 5 83 21 21 0 37 20 27
7 19 15 62 33 169 2 6 65 15 20 0 34 18 27
13 19 16 69 23 160 16 6 81 14 20 0 37 19 25
11 9 14 73 31 171 6 3 75 15 19 0 41 25 32
7 17 14 73 29 165 16 5 53 12 26 NA 40 21 25
13 18 17 63 13 160 14 7 69 29 24 0 36 19 27
9 19 15 71 30 165 11 5 82 26 23 NA 37 21 25
20 18 16 71 27 156 8 3 86 17 25 0 35 23 27
8 11 18 72 24 152 12 5 74 22 22 0 38 25 25
13 22 15 66 26 161 15 4 87 23 23 0 38 27 27
14 15 12 78 29 174 9 1 74 23 17 0 18 19 26
6 20 14 65 23 164 9 1 67 22 23 0 18 23 25
7 19 19 77 27 159 13 5 80 22 27 NA 36 26 27
7 19 13 68 29 161 17 3 63 8 19 0 38 16 24
12 17 16 76 25 169 15 5 83 28 23 0 33 10 25
10 19 14 79 27 168 12 6 84 14 23 NA 37 19 31
18 20 15 83 29 160 13 3 74 22 23 0 35 21 26
7 19 16 62 13 162 8 5 82 27 22 0 29 22 25
12 17 15 71 26 166 9 4 86 26 9 0 38 24 23
14 16 17 31 27 172 13 1 85 22 19 0 33 22 27
14 15 17 36 27 168 10 5 77 14 30 0 41 20 26
12 8 16 77 23 163 10 3 88 9 22 NA 37 18 29
9 7 16 82 27 164 12 5 81 25 23 NA 18 15 27
14 17 12 80 23 151 11 3 82 16 26 0 35 22 27
9 7 14 71 28 165 14 3 72 20 23 0 37 22 28
15 17 15 73 27 162 8 4 92 17 20 0 37 20 26
7 20 13 59 21 153 9 3 72 21 19 0 35 24 30
17 18 13 76 22 161 16 5 73 27 22 0 34 20 22
6 19 15 75 31 184 13 3 79 29 25 0 36 26 29
18 17 16 69 31 163 14 6 80 12 11 0 43 18 25
15 22 14 65 13 174 11 2 83 26 21 0 32 27 29
11 18 14 75 30 158 13 5 76 31 25 0 37 17 28
15 14 13 75 26 164 22 4 71 19 22 NA 20 22 23
5 18 12 58 27 158 11 1 38 17 23 0 37 26 27
10 15 17 74 27 170 4 3 65 27 10 0 35 23 28
10 17 15 67 28 153 14 3 84 23 20 NA 34 22 26
11 9 15 30 27 154 19 5 77 28 21 0 41 25 26
19 19 13 71 24 156 24 4 45 21 19 NA 36 13 28
6 20 16 66 31 159 24 3 80 20 24 NA 32 21 30
14 20 16 64 27 178 11 7 72 10 24 0 18 11 27
9 17 15 72 27 170 13 3 78 27 16 0 36 21 30
11 17 15 66 27 168 8 5 84 18 28 0 37 18 26
18 19 17 76 31 152 13 5 75 18 26 NA 39 21 28
11 19 17 93 12 176 13 5 72 38 24 NA 40 22 26
11 12 12 63 21 157 10 1 72 10 27 NA 17 18 22
10 14 13 67 27 163 4 3 84 17 25 NA 37 27 30
13 15 15 83 24 170 7 5 75 17 23 0 40 16 27
