"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 11 4 11 4 100 3.36
"2" "kukd" 21 0.12 NA 0.98 NA 15 5 16 4 100 1.4
"3" "kuku" 16 0.28 NA 0.88 NA 15 1 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 70 8 71 6 100 1.43
"5" "pku" 31 0.05 NA 0.96 NA 24 6 26 3 100 1.29
"6" "pp" 227 0 0 1 NA 163 7 162 7 100 1.39
"7" "tdkd" 12 0.5 NA 0.56 NA 12 4 12 4 100 1
"8" "tdku" 5 0.3 NA 0.87 NA 3 2 3 1 100 1.67
"9" "tdp" 93 0.02 NA 0.99 NA 76 11 78 7 100 1.22
"10" "tdtd" 22 0.26 NA 0.81 NA 19 5 18 4 100 1.16
"11" "tukd" 16 0.93 NA 0.08 NA 22 4 23 3 100 0.73
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0 0 1 NA 36 6 37 3 100 1.22
"14" "tutd" 8 1 NA 0.01 NA 19 5 20 4 100 0.42
"15" "tutu" 30 0.09 NA 0.97 NA 27 2 26 1 100 1.11
