"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
19 17 15 71 15 161 13 4 67 15 28 38 21 27 NA
6 20 15 73 29 164 12 5 79 27 26 39 22 26 0
9 19 17 81 32 157 14 6 84 15 22 39 22 28 0
26 21 15 70 26 168 7 7 81 17 19 36 7 23 0
23 21 16 67 29 166 7 8 87 21 24 41 9 27 0
13 16 16 67 25 163 13 3 75 24 26 34 21 26 0
9 19 15 74 27 180 17 3 76 18 21 37 24 26 NA
10 17 15 66 13 159 11 3 83 10 20 31 21 26 NA
14 18 15 71 29 164 14 3 67 21 13 39 27 27 0
20 19 16 66 13 147 11 3 75 17 21 36 19 24 NA
5 16 13 66 15 166 6 3 71 20 23 20 11 26 NA
18 23 17 83 26 157 18 3 80 15 28 36 14 27 0
8 16 15 82 30 158 13 2 83 19 23 35 24 24 0
13 20 14 72 27 153 20 9 89 28 12 37 21 26 0
18 16 14 75 26 171 18 3 78 31 21 35 21 24 0
7 10 18 71 27 151 11 1 101 19 27 33 9 29 NA
9 18 15 82 29 161 11 1 78 21 27 34 20 26 0
17 19 16 77 25 167 15 1 81 15 21 36 21 27 NA
13 15 16 61 14 171 6 1 77 18 26 36 14 27 NA
14 15 13 67 13 165 20 1 67 14 25 39 10 26 0
7 18 15 78 15 169 6 3 82 26 23 19 18 25 0
20 20 13 73 29 173 20 3 72 9 29 36 23 24 0
8 15 14 65 32 165 11 3 42 20 26 35 12 24 0
11 19 14 40 13 161 15 4 67 15 25 36 27 28 NA
12 15 14 70 14 163 9 4 35 24 18 37 18 27 0
23 21 12 80 28 172 10 3 98 31 19 17 27 27 NA
15 17 16 68 27 155 13 2 77 13 19 37 10 23 NA
15 18 12 67 24 166 11 5 74 25 24 33 11 27 0
15 7 15 72 28 166 4 2 66 15 22 37 23 30 NA
9 17 12 74 14 167 11 3 80 14 19 37 12 28 NA
9 19 15 56 27 165 25 3 90 19 23 38 25 29 0
13 15 15 65 24 166 11 1 67 16 12 43 16 30 0
12 17 15 70 25 168 17 4 100 14 12 37 21 29 NA
8 14 16 78 13 165 21 3 83 26 22 32 9 24 NA
9 19 14 76 27 169 7 3 83 23 20 37 18 27 NA
11 17 13 73 27 164 4 2 68 17 11 40 23 27 0
12 18 16 73 27 156 11 4 67 16 25 37 22 24 0
2 20 16 59 29 175 19 2 80 17 21 19 22 26 0
13 15 16 59 29 165 15 6 80 21 27 37 17 26 0
12 17 15 56 26 176 19 3 78 13 22 34 11 23 0
14 17 17 79 14 171 19 7 69 8 11 20 23 29 0
10 6 14 70 27 149 17 6 79 24 27 37 22 29 0
13 17 13 62 28 167 18 4 77 18 23 37 23 26 NA
21 9 16 68 27 174 14 5 76 12 22 37 25 25 0
15 19 17 78 25 167 13 2 73 20 23 41 17 29 NA
10 18 19 69 28 161 13 1 82 20 24 37 24 25 NA
13 17 16 70 24 152 20 3 72 17 11 35 23 26 NA
13 18 12 75 22 174 12 5 77 19 21 33 22 24 0
11 24 11 42 31 176 20 2 76 15 10 33 24 25 0
12 15 12 64 28 161 7 5 74 22 28 42 16 24 0
7 19 15 82 35 160 13 8 84 14 21 34 22 26 NA
11 15 15 66 27 159 11 5 85 15 11 35 20 24 NA
10 19 15 67 27 169 10 5 73 22 21 35 18 25 0
12 25 16 71 27 170 9 7 72 15 13 39 24 27 0
14 17 14 78 13 169 6 1 81 21 24 36 23 31 NA
10 16 14 76 30 166 12 4 81 15 21 36 21 22 NA
14 21 14 75 27 150 10 3 84 19 21 35 18 24 0
