"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 5 0 0 1 NA 0 1 0 0 2000 Inf
"2" "kukd" 7 0 0 1 NA 0 0 0 0 2000 Inf
"3" "kuku" 25 0 0 1 NA 1 1 1 1 2000 25
"4" "pkd" 4 0 0 1 NA 0 0 0 0 2000 Inf
"5" "pku" 23 0 0 1 NA 1 1 1 1 2000 23
"6" "pp" 57 0 0 1 NA 2 1 2 1 2000 28.5
"7" "tdkd" 0 1 NA 1 NA 0 0 0 0 2000 NA
"8" "tdku" 0 1 NA 0.9985 NA 0 0 0 0 2000 NA
"9" "tdp" 0 1 NA 0.976 NA 0 0 0 0 2000 NA
"10" "tdtd" 3 0.001 0.015 1 NA 0 0 0 0 2000 Inf
"11" "tukd" 0 1 NA 0.9905 NA 0 0 0 0 2000 NA
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 2000 NA
"13" "tup" 3 0.002 NA 1 NA 0 0 0 0 2000 Inf
"14" "tutd" 0 1 NA 0.98 NA 0 0 0 0 2000 NA
"15" "tutu" 33 0 0 1 NA 2 1 2 1 2000 16.5
