"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 1 0 2 1 1 4 0 0 0 1 0 0 1 0 4
"2" 1 1 1 0 1 3 0 0 0 0 0 0 0 0 1
"3" 0 0 0 0 0 1 0 0 0 0 0 NA 0 0 2
"4" 1 0 0 0 0 2 0 0 0 0 0 0 1 0 2
"5" 0 0 3 0 2 3 0 0 0 0 0 0 0 0 3
"6" 2 0 4 0 0 1 0 0 0 0 0 NA 0 0 2
"7" 0 0 2 0 0 2 0 0 0 1 0 0 1 0 3
"8" 1 0 2 0 1 2 0 0 0 0 0 0 0 0 3
"9" 1 1 0 0 1 2 0 0 0 1 0 NA 0 0 3
"10" 0 0 2 0 0 2 0 0 0 1 0 NA 1 0 1
"11" 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 2
"12" 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0
"13" 0 1 2 0 3 4 0 0 0 1 0 0 0 0 3
"14" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"15" 0 0 1 0 1 2 0 0 0 0 0 NA 0 0 5
"16" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
"17" 0 0 1 0 0 2 0 0 0 0 0 0 1 0 2
"18" 1 0 1 0 1 2 0 0 1 2 0 0 0 0 1
"19" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
"20" 0 0 1 0 0 5 0 0 0 0 0 0 0 0 2
"21" 1 0 0 0 0 1 0 0 0 2 0 NA 0 0 0
"22" 0 0 3 0 3 2 0 0 0 0 0 0 0 0 1
"23" 1 1 2 0 2 1 0 0 0 0 0 0 0 0 1
"24" 0 0 0 0 0 1 0 0 0 1 0 NA 0 0 1
"25" 0 0 1 0 1 5 0 0 0 1 0 0 1 0 5
"26" 0 0 1 0 1 3 0 0 0 0 0 0 0 0 3
"27" 1 0 3 0 1 0 0 0 0 0 0 0 0 0 1
"28" 0 0 1 0 0 3 0 0 0 0 0 0 0 0 2
"29" 2 0 2 0 0 1 0 0 0 0 0 0 0 0 1
"30" 0 0 3 0 3 4 0 0 0 0 0 0 1 0 2
"31" 1 1 3 1 1 1 0 0 0 0 0 0 0 0 2
"32" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1
"33" 1 0 2 0 0 2 0 0 0 1 0 0 0 0 1
"34" 1 1 2 1 3 3 0 0 0 0 0 NA 0 0 1
"35" 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1
"36" 1 1 2 0 0 2 0 0 0 0 0 NA 1 0 2
"37" 0 0 2 0 0 1 0 0 1 2 0 NA 0 0 3
"38" 1 0 1 1 1 2 0 0 0 0 0 0 0 0 1
"39" 0 0 2 0 0 2 0 0 0 1 0 NA 0 0 1
"40" 0 0 1 0 1 3 0 0 0 1 0 NA 0 0 3
"41" 0 0 3 0 1 4 0 0 0 0 0 0 1 0 3
"42" 0 1 1 0 1 2 0 0 0 0 0 0 0 0 6
"43" 0 0 2 1 0 1 0 0 0 0 0 0 0 0 1
"44" 0 0 2 0 0 1 0 0 0 0 0 0 1 0 1
"45" 0 0 2 0 1 1 0 0 0 0 0 0 0 0 3
"46" 1 1 0 0 0 2 0 0 0 0 0 NA 0 0 1
"47" 1 0 4 0 0 5 0 0 0 1 0 0 1 0 2
"48" 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1
"49" 0 0 1 0 0 4 0 0 0 0 0 0 2 0 3
