"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
2 1 2 1 1 2 0 0 0 0 0 1 0 1 NA
0 0 1 1 3 2 0 0 0 0 0 1 0 3 0
2 1 1 1 0 3 0 0 0 0 0 0 0 2 0
1 1 0 1 0 1 0 0 0 0 0 0 0 0 0
0 1 0 0 1 3 0 0 0 1 0 0 0 1 0
0 0 1 0 1 2 0 0 0 0 0 0 0 2 NA
0 0 2 0 0 2 0 0 0 0 0 0 0 1 0
1 0 0 0 1 1 0 0 0 1 0 0 0 1 NA
0 0 0 0 3 2 0 0 0 1 0 1 0 0 0
1 0 1 1 0 3 0 0 0 0 0 0 0 1 0
1 1 1 1 3 3 0 0 0 0 0 0 0 1 0
0 0 2 0 1 3 0 0 0 0 0 0 0 4 0
0 1 3 1 3 4 0 0 0 0 0 0 0 4 NA
0 0 0 0 0 1 0 0 0 0 0 0 0 0 NA
0 0 0 0 0 1 0 0 0 0 0 0 0 3 0
0 0 1 0 1 3 0 0 0 1 0 0 0 2 0
0 0 1 0 3 1 0 0 0 0 0 0 0 1 NA
0 0 0 0 1 3 0 0 0 1 0 0 0 1 0
0 0 1 0 3 2 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
1 1 3 0 1 1 0 0 0 3 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 0 0 0 3 0
0 0 0 0 0 4 0 0 0 0 0 0 0 2 0
0 0 2 0 1 5 0 0 0 0 0 1 0 4 0
0 0 3 0 2 3 0 0 0 0 0 1 0 2 0
0 0 2 0 0 1 0 0 0 1 0 0 0 1 0
1 0 2 0 2 1 0 0 0 0 0 0 0 1 0
1 1 2 0 3 4 0 0 0 0 0 1 0 2 NA
0 0 2 0 1 1 0 0 0 0 0 1 0 0 0
0 1 0 0 0 1 0 0 0 0 0 1 0 2 NA
1 1 2 0 1 2 0 0 0 0 0 0 0 0 0
0 0 1 0 0 1 0 0 0 1 0 0 0 4 0
0 0 1 1 0 2 0 0 0 0 0 0 0 1 0
0 0 0 1 1 4 0 0 0 0 0 0 0 2 NA
1 1 0 1 0 3 0 0 0 0 1 1 0 4 0
0 0 1 0 0 2 0 0 0 1 0 1 0 2 0
1 0 2 0 0 3 0 0 0 0 0 0 0 4 NA
0 0 0 0 1 1 0 0 0 1 0 0 0 5 0
0 0 2 0 1 1 0 0 0 0 0 0 0 2 NA
2 0 1 1 0 3 0 0 0 2 0 1 0 3 0
1 0 1 0 1 3 0 0 0 0 0 0 0 2 NA
2 1 1 1 0 2 0 0 0 0 0 0 0 0 NA
0 1 2 0 1 2 0 0 0 2 0 0 0 2 0
0 0 1 0 1 1 0 0 0 0 0 0 0 2 NA
0 0 1 0 1 3 0 0 0 0 0 0 0 2 0
0 0 2 0 0 3 0 0 0 0 0 0 0 3 NA
0 0 1 0 0 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 3 0 0 0 1 0 0 0 3 0
0 0 2 0 2 3 0 0 0 0 0 0 0 0 0
1 1 1 1 2 2 0 0 0 1 0 0 0 1 0
1 1 0 1 0 2 0 0 0 0 0 0 0 0 0
0 0 1 1 2 2 0 0 0 0 0 1 0 2 NA
1 0 2 0 2 2 0 0 0 1 0 0 0 1 NA
0 0 1 0 0 2 0 0 0 0 0 1 0 1 NA
0 1 2 1 0 4 0 0 1 1 0 1 0 3 NA
2 1 3 0 1 2 0 0 0 0 0 0 0 1 0
1 0 3 0 1 1 0 0 0 0 0 0 0 3 0
1 1 1 0 1 1 0 0 0 0 0 0 0 1 NA
1 1 3 1 1 3 0 0 0 0 0 0 0 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
0 0 3 0 1 3 0 0 0 0 0 0 0 3 NA
0 0 2 0 1 1 0 0 0 0 0 0 0 4 0
1 0 1 0 0 2 0 0 0 1 1 0 0 2 0
0 0 1 0 0 3 0 0 0 0 0 1 0 6 NA
0 0 2 0 0 2 0 0 0 0 0 1 0 0 0
1 0 1 0 1 0 0 0 0 0 0 1 0 1 0
1 1 0 0 0 3 0 0 0 0 0 0 0 3 NA
0 0 1 1 1 2 0 0 0 0 0 1 0 2 0
1 0 1 0 3 3 0 0 0 0 0 0 0 3 0
1 1 2 1 1 3 0 0 1 1 0 0 0 0 0
0 0 0 0 0 3 0 0 0 0 0 0 0 2 0
0 1 0 0 0 2 0 0 0 0 0 0 0 2 0
0 0 1 0 1 2 0 0 0 0 0 0 0 0 0
1 0 1 0 1 1 0 0 0 1 0 0 1 1 0
0 0 1 0 1 1 0 0 0 0 0 0 0 1 NA
0 0 0 0 1 3 0 0 0 0 0 0 0 3 NA
0 0 1 0 0 1 0 0 0 1 0 0 0 1 0
1 1 0 0 0 2 0 0 0 0 1 0 0 3 0
1 0 2 0 2 4 0 0 0 0 0 0 0 2 NA
0 1 1 0 0 1 0 0 0 0 0 1 0 2 0
0 0 2 0 1 2 0 0 0 0 0 0 0 1 NA
1 0 4 0 1 1 0 0 0 1 0 0 0 3 0
0 0 0 0 1 1 0 0 0 0 0 0 0 3 0
0 0 1 0 1 3 0 0 0 1 0 1 0 4 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 1 1 1 0 0 0 0 0 0 0 3 0
1 0 2 0 1 1 0 0 0 0 0 0 0 1 0
0 0 0 0 0 2 0 0 2 1 0 0 0 4 0
1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
0 0 0 0 1 2 0 0 0 0 0 0 0 1 NA
0 0 2 0 1 4 0 0 0 0 0 0 0 3 0
0 0 0 0 1 2 0 0 0 0 0 0 0 1 0
0 0 2 0 1 1 0 0 0 0 0 0 0 0 0
2 1 2 1 1 4 0 0 0 1 0 0 0 0 0
1 0 0 1 0 2 0 0 0 0 0 0 0 2 0
0 0 0 0 1 2 0 0 0 0 0 0 0 1 0
0 0 2 0 2 3 0 0 0 1 0 0 0 3 NA
0 0 2 0 1 3 0 0 0 0 0 0 0 4 0
1 1 1 1 1 3 0 0 0 1 0 1 0 8 0
