"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0.002 NA 0.9995 NA 12 6 12 6 2000 3
"2" "kukd" 95 0 0 1 NA 45 10 45 9 2000 2.11
"3" "kuku" 324 0 0 1 NA 135 16 135 16 2000 2.4
"4" "pkd" 175 0 0 1 NA 56 11 56 9 2000 3.12
"5" "pku" 266 0 0 1 NA 99 16 100 15 2000 2.69
"6" "pp" 1883 0 0 1 NA 303 25 303 25 2000 6.21
"7" "tdkd" 33 0 0 1 NA 10 4 9 4 2000 3.3
"8" "tdku" 15 0.00700000000000001 NA 0.996 NA 5 3 5 3 2000 3
"9" "tdp" 101 0 0 1 NA 50 9 50 9 2000 2.02
"10" "tdtd" 38 0.00449999999999995 NA 0.997 NA 18 7 17 7 2000 2.11
"11" "tukd" 23 0.0805 NA 0.948 NA 15 5 15 6 2000 1.53
"12" "tuku" 0 1 NA 0.808 NA 0 1 0 0 2000 NA
"13" "tup" 104 0 0 1 NA 45 11 45 9 2000 2.31
"14" "tutd" 15 0.232 NA 0.825 NA 11 5 11 4 2000 1.36
"15" "tutu" 236 0 0 1 NA 167 17 166 16 2000 1.41
