"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 8 63 118 63 90 274 2 2 49 23 12 NA 28 9 161
"2" 8 38 110 47 91 314 15 7 52 19 12 1 47 10 135
"3" 8 50 151 61 101 280 10 8 63 14 21 2 53 7 161
"4" 24 65 137 88 126 289 10 8 55 17 6 NA 29 11 195
"5" 16 48 144 55 108 288 5 4 57 34 8 NA 39 17 159
"6" 10 37 138 47 125 370 8 3 57 19 21 NA 56 17 182
"7" 7 30 111 72 80 326 15 4 38 27 18 1 27 11 180
"8" 2 49 135 46 43 309 6 3 57 22 3 NA 51 5 198
"9" 5 36 97 51 98 314 7 1 55 20 11 NA 33 5 156
"10" 7 64 128 50 93 295 4 4 55 18 13 1 32 12 160
"11" 8 45 110 66 103 276 7 7 59 9 18 NA 56 7 181
"12" 9 44 144 59 97 295 7 7 53 12 9 NA 46 14 171
"13" 13 33 163 58 96 316 12 5 54 25 16 NA 33 5 197
"14" 21 56 142 57 107 289 6 1 37 10 14 NA 40 16 212
"15" 6 24 167 73 122 315 19 3 57 20 22 1 36 11 174
"16" 9 42 138 72 96 296 16 6 58 7 15 NA 55 13 183
"17" 22 56 149 30 119 311 13 2 49 21 8 4 53 13 151
"18" 15 68 139 53 109 268 6 2 47 10 17 NA 52 11 161
"19" 7 40 119 58 83 291 15 9 51 12 18 NA 44 9 144
"20" 16 39 140 57 130 278 8 12 58 18 18 NA 47 11 188
"21" 13 39 131 54 110 273 16 2 44 14 11 1 45 15 160
"22" 8 40 135 53 107 302 5 3 54 17 20 1 30 7 178
"23" 13 18 125 60 100 305 5 3 34 12 15 NA 38 16 159
"24" 9 48 133 65 98 327 8 4 60 24 25 1 55 9 189
"25" 14 48 150 68 135 268 5 5 55 15 16 NA 66 16 191
"26" 17 37 114 49 91 319 16 3 56 8 10 NA 32 18 157
"27" 16 45 129 67 119 307 15 5 50 17 18 NA 42 14 165
"28" 22 71 147 75 91 271 5 5 45 19 13 NA 48 9 162
"29" 16 40 172 40 113 316 9 1 40 8 14 NA 45 11 164
"30" 6 39 122 50 43 339 15 16 73 28 20 NA 52 12 156
"31" 20 48 137 53 86 295 13 7 47 20 11 NA 45 13 140
"32" 16 44 146 76 94 321 15 3 47 16 15 NA 28 6 161
"33" 3 38 133 51 111 340 2 4 53 12 20 NA 53 11 202
"34" 17 45 126 77 103 305 13 16 55 31 19 NA 36 13 162
"35" 25 50 122 61 85 354 11 3 57 12 10 NA 28 6 203
"36" 8 34 131 39 113 314 3 4 43 31 17 NA 48 4 162
"37" 10 46 142 48 119 283 17 12 57 27 11 NA 49 7 144
"38" 10 48 142 40 95 310 7 1 61 30 20 NA 42 9 155
"39" 6 57 118 60 48 280 7 1 57 12 21 4 32 9 187
"40" 14 43 130 49 107 302 11 5 57 10 15 2 45 7 173
"41" 5 30 127 44 81 284 7 6 64 13 9 NA 40 10 145
"42" 13 39 105 48 97 304 3 5 68 6 18 NA 53 11 158
"43" 11 33 126 63 93 337 6 NA 55 14 15 NA 50 14 143
"44" 11 52 137 55 88 250 8 3 55 24 15 NA 47 12 156
"45" 14 45 136 54 94 263 8 4 47 14 21 NA 19 10 174
"46" 14 45 117 54 83 266 14 5 41 13 14 NA 36 8 167
"47" 20 55 124 71 96 309 10 4 68 21 18 NA 57 14 145
"48" 15 37 106 45 89 287 9 10 46 14 6 NA 55 18 146
"49" 13 36 122 56 94 291 6 2 59 14 17 NA 49 5 169
"50" 17 52 144 62 103 302 7 7 49 18 14 NA 39 17 180
"51" 11 42 150 47 104 321 5 8 42 19 16 NA 27 5 161
"52" 10 48 132 52 100 320 10 6 50 17 14 NA 42 18 175
"53" 17 36 143 55 97 292 8 2 59 33 12 1 49 11 206
"54" 13 39 134 39 101 273 10 1 38 23 25 2 63 8 179
"55" 9 44 129 62 127 281 6 2 48 9 23 NA 45 16 160
"56" 16 60 144 60 114 320 9 3 45 7 22 NA 48 16 159
"57" 8 42 163 56 109 344 11 8 38 22 17 NA 47 14 159
"58" 17 54 130 61 114 306 9 5 51 10 19 NA 45 13 166
"59" 14 44 144 57 107 315 7 1 47 18 11 NA 26 5 172
"60" 22 56 137 39 95 324 11 8 42 13 12 NA 39 14 201
"61" 14 29 115 60 95 299 6 1 77 16 10 NA 67 13 189
"62" 10 32 141 79 120 306 14 8 59 9 8 NA 53 5 156
"63" 6 33 146 65 112 293 11 5 58 18 15 NA 41 10 156
"64" 9 55 162 70 95 315 7 NA 48 11 13 NA 42 13 159
"65" 15 39 168 56 97 303 12 4 35 11 13 1 43 10 169
"66" 12 47 125 63 91 283 12 5 50 8 11 NA 56 15 161
"67" 9 40 119 34 116 297 16 1 55 10 11 NA 47 11 194
"68" 30 49 137 63 96 314 3 4 49 9 18 NA 53 23 153
"69" 21 50 151 51 140 294 6 3 47 14 8 NA 41 12 182
"70" 12 37 111 40 87 316 15 6 52 25 13 NA 32 4 168
"71" 16 50 115 63 111 305 9 5 25 22 22 NA 64 10 181
"72" 7 49 131 69 113 282 9 1 48 26 13 NA 34 12 189
"73" 36 46 125 53 87 342 8 3 56 29 7 1 56 9 173
"74" 12 27 118 69 99 274 13 10 55 20 11 NA 45 2 169
"75" 8 51 135 55 104 245 5 5 46 9 14 NA 38 12 148
"76" 16 53 117 51 93 313 13 1 53 25 14 1 37 7 164
"77" 24 47 156 66 119 290 12 5 49 21 16 NA 50 14 205
"78" 17 65 136 64 105 288 11 4 50 16 16 NA 34 5 170
"79" 8 36 141 44 74 286 10 9 46 11 9 1 17 14 180
"80" 6 42 137 52 52 299 9 3 62 14 10 NA 49 7 166
"81" 13 40 147 48 82 311 13 3 56 22 11 NA 44 19 160
"82" 6 31 145 50 98 299 11 5 40 28 13 NA 46 8 136
"83" 6 55 125 77 106 340 8 1 38 13 17 NA 60 5 170
"84" 10 50 143 48 102 286 5 3 55 19 19 NA 54 10 141
"85" 9 56 178 61 121 328 10 5 53 18 16 NA 48 20 170
"86" 5 41 137 26 129 318 7 2 48 22 16 NA 27 8 152
"87" 16 39 136 62 88 250 12 4 44 20 19 NA 30 7 200
"88" 7 65 157 63 128 319 6 9 51 26 11 NA 42 13 206
"89" 16 43 134 58 101 311 13 6 59 17 12 NA 48 5 169
"90" 6 43 129 68 90 295 9 7 58 27 27 NA 59 11 167
"91" 16 39 115 45 116 306 6 2 58 16 15 NA 46 6 185
"92" 13 39 119 61 109 307 5 4 58 28 18 1 32 9 145
"93" 6 61 144 66 112 287 11 3 50 14 6 NA 41 16 177
"94" 10 46 125 49 103 327 6 3 61 20 11 NA 40 11 145
"95" 8 15 161 48 111 263 6 11 43 15 19 2 39 11 171
"96" 6 48 130 59 103 277 5 7 46 12 17 NA 49 11 174
"97" 15 45 125 41 90 284 3 1 41 10 14 1 37 12 151
"98" 9 50 117 54 104 309 2 3 52 21 12 NA 37 12 150
"99" 15 39 152 48 112 305 6 6 46 13 14 NA 49 16 169
"100" 21 66 164 66 101 284 17 11 46 24 15 NA 48 10 170
"101" 9 21 128 47 56 291 3 3 59 25 11 NA 45 8 169
"102" 18 53 151 52 103 326 11 5 44 14 10 1 43 13 166
"103" 10 34 135 58 114 294 18 7 56 18 15 1 44 14 162
"104" 12 26 132 57 101 292 6 7 44 20 13 NA 38 15 168
"105" 5 18 128 58 96 269 9 2 64 30 13 NA 33 4 176
"106" 13 52 102 62 91 282 11 6 49 30 12 1 51 13 160
"107" 6 54 153 61 122 268 21 3 62 17 16 NA 38 16 149
"108" 5 50 150 50 114 273 14 5 51 16 16 NA 43 12 175
"109" 21 56 142 49 97 284 8 9 41 17 25 NA 54 16 174
"110" 11 32 144 68 145 293 8 7 39 18 11 NA 41 18 155
"111" 9 58 137 65 97 338 4 5 61 10 14 NA 38 11 152
"112" 15 41 152 69 109 330 7 7 53 18 19 NA 57 16 198
"113" 9 51 111 63 97 305 10 5 56 19 26 NA 51 15 161
"114" 17 57 130 72 97 312 15 3 43 18 9 NA 54 11 181
"115" 7 34 142 61 108 304 12 4 43 6 9 NA 54 8 154
"116" 18 35 122 62 79 324 4 14 57 12 18 NA 48 11 177
"117" 6 45 127 24 116 361 19 5 62 16 18 1 63 9 164
"118" 18 64 181 42 128 312 8 2 53 17 25 1 35 20 164
"119" 18 43 142 55 101 263 11 3 35 13 19 NA 47 7 180
"120" 23 50 139 48 127 301 9 4 54 11 12 NA 44 5 177
"121" 11 32 107 54 84 282 7 3 48 25 7 1 39 7 154
"122" 12 54 112 45 103 327 10 7 57 21 16 NA 42 7 179
"123" 13 46 127 52 113 256 16 5 44 12 12 NA 51 18 166
"124" 7 53 138 66 82 284 15 3 56 13 14 NA 44 9 188
"125" 2 42 145 54 71 262 7 3 65 16 11 NA 36 13 169
"126" 10 42 114 67 92 316 3 3 50 22 17 NA 46 10 147
"127" 9 58 152 56 114 296 NA 5 51 22 14 NA 30 8 169
"128" 20 61 131 60 97 319 9 5 61 18 15 3 45 17 146
"129" 9 56 124 71 117 271 14 8 63 14 9 2 37 15 166
"130" 9 25 111 61 113 316 18 7 58 37 15 NA 34 9 171
"131" 14 59 131 53 99 319 2 3 57 37 22 NA 49 4 169
"132" 10 43 134 56 48 303 8 7 50 21 20 NA 32 12 160
"133" 19 53 148 29 82 320 9 2 63 12 22 1 39 15 160
"134" 14 44 150 56 88 289 9 1 46 14 28 NA 52 20 155
"135" 5 33 166 43 100 297 6 15 47 27 17 NA 39 10 160
"136" 15 53 149 58 99 309 17 9 66 17 23 NA 52 9 142
"137" 25 43 124 38 91 251 13 11 40 13 14 NA 41 8 181
"138" 15 65 160 60 90 271 16 6 62 19 9 NA 44 13 173
"139" 4 38 112 63 122 301 6 8 44 9 16 NA 47 14 169
"140" 8 57 156 66 108 329 8 3 43 13 11 2 39 10 173
"141" 8 49 149 41 99 293 16 7 50 14 20 NA 45 10 149
"142" 8 35 118 62 92 313 9 6 39 15 13 NA 46 6 150
"143" 11 46 125 73 90 294 11 6 47 13 16 1 44 15 175
"144" 21 49 150 46 97 284 13 1 61 7 12 NA 42 18 165
"145" 8 62 139 59 92 317 13 5 65 10 15 NA 33 8 185
"146" 19 22 132 53 119 287 4 2 57 17 15 NA 49 16 195
"147" 18 49 138 60 105 343 10 5 50 7 16 NA 18 11 170
"148" 12 37 142 37 101 345 8 12 53 21 18 NA 69 12 187
"149" 7 36 143 50 90 335 2 4 52 12 4 NA 39 15 186
"150" 12 40 123 57 90 310 11 6 58 14 21 NA 42 11 149
"151" 14 56 125 51 100 298 1 1 51 6 11 NA 41 5 174
"152" 9 41 127 65 114 322 8 1 49 25 18 4 35 13 169
"153" 14 51 138 57 102 301 15 8 62 19 16 NA 51 13 164
"154" 5 48 153 59 131 330 10 10 48 12 13 NA 59 12 151
"155" 5 34 150 45 117 279 13 3 55 10 17 NA 27 16 205
"156" 18 53 128 22 103 285 8 1 64 8 24 NA 46 9 174
"157" 2 36 119 37 103 308 9 5 47 26 19 NA 58 7 176
"158" 21 42 163 67 110 261 12 7 56 14 14 1 53 6 156
"159" 9 61 132 70 102 323 8 11 39 16 19 NA 30 13 152
"160" 11 18 114 47 105 290 7 6 37 11 13 NA 35 11 176
"161" 10 41 132 45 105 305 11 5 44 22 13 NA 53 8 145
"162" 15 41 124 81 120 284 4 1 44 18 30 NA 48 8 177
"163" 18 45 120 61 97 327 14 4 39 20 15 NA 45 8 169
"164" 10 63 145 54 109 351 18 3 56 10 24 NA 38 12 151
"165" 26 25 121 67 124 284 5 1 41 18 9 NA 33 5 166
"166" 10 57 159 56 103 380 12 7 53 24 6 NA 34 11 177
"167" 20 53 148 58 104 303 8 3 52 23 14 3 37 4 162
"168" 12 52 155 66 102 336 8 NA 58 12 18 NA 32 10 190
"169" 11 50 121 54 59 266 7 4 31 11 23 NA 47 5 173
"170" 18 51 139 44 106 313 10 3 46 15 15 NA 33 12 168
"171" 13 50 140 65 97 315 8 11 39 4 20 1 41 6 153
"172" 7 47 135 63 93 293 10 2 59 25 21 NA 39 19 184
"173" 8 36 139 51 79 313 9 1 49 25 15 1 40 11 152
