"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
11 47 139 47 111 279 4 6 53 22 17 1 46 8 164
38 53 157 91 121 347 7 6 59 12 9 1 57 7 195
16 49 150 64 103 328 5 5 59 10 17 1 44 10 177
22 51 118 72 112 286 19 9 53 19 17 1 17 18 165
14 57 168 58 115 323 8 7 65 12 11 1 18 25 172
10 40 144 58 96 296 6 10 53 11 17 1 47 11 172
7 37 131 62 104 333 8 5 54 6 9 NA 50 6 127
24 55 157 59 115 302 7 3 49 20 19 2 43 21 170
5 47 142 53 122 285 12 10 53 17 20 NA 60 9 182
17 31 120 63 113 301 6 10 53 18 9 NA 38 11 165
8 49 129 34 93 266 17 10 42 18 5 NA 39 12 141
12 50 108 22 89 307 3 5 38 15 9 NA 54 13 156
4 42 117 67 103 311 7 7 58 13 17 3 43 6 154
16 49 133 61 51 307 3 4 49 24 22 NA 48 11 180
11 44 108 55 76 317 14 7 46 14 10 NA 50 13 163
31 40 147 61 88 332 13 2 64 32 7 NA 38 16 154
14 57 139 77 106 329 4 1 53 14 16 NA 36 16 173
7 37 129 61 93 337 16 1 35 11 11 NA 41 11 167
14 59 154 54 117 313 9 10 69 19 8 NA 45 11 186
18 47 149 58 93 273 10 5 60 18 15 NA 48 12 199
6 55 136 51 97 314 5 10 53 22 11 NA 45 4 195
17 43 173 21 118 313 9 3 55 22 16 NA 43 24 168
24 72 135 69 107 285 13 6 55 31 23 NA 48 21 205
12 45 153 54 108 267 4 7 22 18 15 1 43 16 158
14 48 145 61 97 323 1 5 53 10 14 NA 44 18 140
13 51 102 52 94 278 5 5 45 25 20 1 47 8 120
29 40 150 63 118 278 8 7 52 19 7 NA 34 20 191
3 50 121 67 109 317 3 2 50 11 11 1 54 13 163
15 48 133 51 95 299 10 7 29 20 13 1 23 13 175
9 46 145 53 97 295 17 10 52 27 18 NA 46 4 189
12 54 141 57 90 309 9 8 61 28 11 NA 47 5 177
14 40 127 63 95 340 6 5 60 20 12 NA 44 4 148
10 45 155 54 95 298 8 4 50 21 20 NA 45 11 169
16 52 104 53 94 290 15 4 49 16 15 NA 52 11 150
11 49 147 53 84 328 7 9 36 17 11 NA 47 10 162
20 53 121 77 131 306 11 9 56 19 26 1 33 9 163
7 37 133 51 100 292 8 7 75 33 15 NA 43 9 176
21 56 135 58 95 310 11 3 46 11 12 NA 68 17 166
13 46 147 54 98 290 12 8 49 14 10 1 33 5 138
12 49 154 60 112 352 7 6 46 15 14 1 54 8 161
8 51 129 29 119 338 4 3 37 16 14 1 54 15 175
10 49 98 23 79 287 4 7 43 18 7 NA 43 8 199
10 48 146 63 118 327 13 2 64 19 21 NA 39 11 164
8 26 137 63 110 323 8 7 39 11 22 NA 59 16 164
5 19 157 69 109 336 12 2 54 14 21 NA 48 7 165
15 41 120 52 109 312 16 3 49 5 12 NA 47 12 169
14 12 119 65 115 308 9 9 49 20 13 NA 43 25 159
8 54 104 62 93 308 9 6 53 14 16 NA 32 11 187
4 53 178 56 135 280 15 2 37 17 11 NA 45 9 168
16 36 108 64 105 356 8 3 43 17 22 NA 42 12 159
22 22 142 55 79 315 10 6 45 24 14 NA 33 16 153
19 34 136 60 95 332 9 3 60 24 15 NA 62 13 160
16 33 132 54 102 260 11 9 30 23 19 NA 48 14 198
12 36 109 50 143 294 6 1 49 21 20 NA 35 13 145
12 33 138 57 100 303 9 11 49 18 19 NA 35 4 151
15 49 201 67 131 272 10 3 29 10 11 NA 42 11 146
21 44 112 40 99 276 8 2 57 20 9 NA 53 7 141
21 63 128 58 90 325 5 6 56 23 10 NA 52 17 168
12 33 118 49 88 301 5 5 51 19 18 NA 45 10 172
11 34 139 66 89 294 11 3 44 13 27 NA 36 10 171
10 44 115 51 100 286 6 5 63 11 19 NA 51 11 161
27 32 142 54 68 247 7 7 41 19 15 NA 51 11 155
16 56 153 52 127 296 7 12 41 23 15 2 57 14 153
10 45 132 56 100 298 6 2 50 15 17 NA 41 7 170
4 44 152 59 134 285 11 2 53 18 12 NA 71 16 195
9 46 125 31 122 306 5 1 63 18 12 1 49 8 200
14 54 153 54 112 298 17 12 61 24 14 NA 34 10 188
11 54 148 64 125 282 11 2 56 29 6 NA 43 14 168
17 50 136 75 114 324 15 4 23 24 18 NA 38 19 139
13 38 124 49 87 332 20 5 65 13 24 1 50 3 163
21 55 165 64 113 282 9 5 58 20 17 NA 40 12 159
18 36 132 71 119 358 8 NA 32 11 12 NA 63 9 159
15 32 157 79 134 301 17 7 46 9 11 NA 35 10 194
9 44 132 51 111 313 9 7 50 19 19 NA 43 7 181
4 58 152 54 92 284 7 5 51 26 19 3 60 13 187
10 42 117 57 104 306 3 3 44 17 15 NA 37 24 161
11 34 136 53 85 262 10 10 52 11 9 NA 28 12 165
9 52 157 45 87 291 8 5 46 15 22 1 51 11 173
6 60 156 36 102 293 7 8 54 22 24 NA 66 15 181
9 41 111 57 109 307 7 NA 55 9 11 NA 53 9 178
16 43 124 58 87 303 13 8 52 14 14 1 45 10 192
4 59 134 61 112 348 5 2 46 15 12 NA 55 22 177
8 40 117 44 91 293 13 18 37 17 6 NA 50 16 171
18 49 152 63 120 300 14 1 54 6 12 1 49 9 153
5 50 128 64 116 308 11 6 47 15 15 NA 36 8 157
7 40 112 21 85 260 10 9 64 27 16 NA 34 7 168
8 46 115 21 91 260 25 3 42 13 4 NA 53 14 155
9 49 166 56 86 303 4 6 54 18 6 NA 35 15 155
10 53 152 67 92 279 9 6 48 17 23 NA 41 12 153
4 40 139 57 102 282 9 3 54 20 17 NA 39 3 196
5 42 118 55 79 321 2 3 49 17 11 NA 44 7 146
6 40 133 60 118 289 16 11 53 21 19 4 36 7 165
6 44 121 54 92 281 11 2 40 21 15 NA 35 14 185
7 57 136 66 98 347 9 3 50 13 17 NA 54 7 189
9 57 182 55 89 334 7 8 51 41 16 NA 46 16 158
19 61 141 63 132 324 10 6 70 22 18 NA 43 7 173
10 35 107 55 89 333 10 6 39 13 19 NA 45 11 139
14 38 141 52 91 272 11 11 50 9 17 NA 40 13 171
35 60 147 76 113 313 7 7 57 24 21 NA 70 7 154
17 48 136 26 97 304 7 3 49 21 19 NA 36 24 189
