"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdku" "tuku"
12 45 143 58 100 345 10 53 13 6 44 5 169 NA NA
7 37 119 48 87 319 5 46 11 9 46 11 173 7 NA
7 46 125 49 101 291 9 41 31 6 48 9 170 9 NA
4 38 129 50 85 290 18 49 15 27 61 16 173 6 NA
7 48 121 52 95 285 3 57 22 9 40 10 190 4 NA
9 48 140 62 90 272 14 53 15 4 31 5 174 8 3
8 37 145 51 95 324 5 68 26 22 25 14 169 6 NA
6 22 143 59 103 344 9 65 10 23 47 7 160 6 NA
22 51 78 74 109 305 11 45 23 12 42 8 150 3 NA
5 37 138 54 97 300 9 34 10 17 44 18 180 2 NA
17 55 135 32 89 288 11 48 20 11 38 6 173 7 NA
24 58 125 83 98 287 7 50 15 26 44 18 179 1 NA
9 41 159 56 58 319 7 56 14 23 41 7 155 6 NA
3 40 158 54 91 320 16 45 17 25 36 14 187 7 NA
17 39 137 66 87 237 6 40 14 12 45 14 146 10 NA
7 17 123 67 94 307 14 64 17 21 67 5 161 9 NA
8 49 135 50 94 313 1 61 18 15 15 12 167 12 1
18 48 167 73 125 274 11 43 12 17 37 15 147 1 NA
9 47 166 47 78 326 9 44 23 31 38 17 209 6 NA
13 50 123 53 42 336 8 49 13 10 31 12 152 5 NA
12 57 120 88 108 255 17 57 14 9 43 8 217 7 1
15 45 130 48 111 291 10 64 28 15 66 11 149 1 NA
8 41 166 45 93 295 8 59 18 10 48 14 133 3 NA
20 71 165 60 76 276 18 39 24 16 65 18 161 2 NA
22 25 162 63 105 335 7 44 26 24 30 10 156 4 NA
8 55 117 43 90 340 4 47 18 21 45 9 160 2 NA
8 51 149 51 98 315 14 62 15 4 52 11 157 5 NA
3 52 142 58 102 331 7 51 19 14 33 7 148 1 NA
6 35 155 56 128 303 5 50 18 11 52 14 148 3 NA
12 50 123 39 106 303 9 50 4 16 56 8 163 3 NA
16 48 140 31 109 336 6 47 14 25 20 13 158 8 NA
7 15 128 54 142 281 13 46 21 22 55 8 187 5 2
13 61 141 37 81 282 15 52 23 9 51 10 160 9 NA
6 54 137 57 102 288 15 47 28 15 37 3 161 3 NA
4 47 132 45 98 325 17 49 14 9 61 9 163 3 NA
23 53 157 64 79 277 16 70 19 20 59 10 169 8 NA
6 38 119 53 93 305 6 51 11 25 57 23 176 7 NA
8 35 124 27 119 269 8 43 11 8 38 7 156 2 1
17 41 132 52 74 311 19 43 7 13 64 9 177 5 NA
5 47 140 66 101 272 11 44 24 19 54 17 177 11 NA
11 37 119 64 118 307 9 39 27 21 49 7 178 4 1
11 58 133 53 102 305 21 64 22 12 47 13 163 8 1
11 41 119 47 96 255 11 48 13 3 42 25 162 4 1
8 37 133 49 76 292 15 63 20 6 45 20 176 4 NA
17 37 138 45 81 292 6 51 17 19 36 13 180 4 4
20 23 105 47 113 304 5 59 13 11 45 8 177 2 NA
14 45 138 25 100 297 7 56 12 12 47 10 192 5 NA
10 56 128 61 105 275 12 57 12 18 39 13 178 6 NA
15 44 154 53 106 292 14 69 15 17 47 9 171 5 NA
28 69 162 60 100 312 18 48 29 17 47 9 151 7 NA
17 59 118 57 109 289 9 75 8 16 44 14 154 1 NA
8 47 132 59 110 325 3 47 17 19 50 11 173 8 NA
23 56 164 71 127 363 15 49 28 13 41 9 170 2 NA
7 38 136 60 97 298 6 55 38 6 25 8 177 11 NA
4 21 113 63 112 289 5 56 12 20 36 5 164 3 NA
3 30 121 69 84 286 9 47 19 8 42 9 175 NA NA
21 39 136 66 87 321 4 45 12 17 38 15 195 2 NA
16 51 127 72 97 294 14 50 27 12 54 9 167 10 1
10 43 136 28 94 274 11 54 30 16 43 6 165 1 NA
7 38 145 45 84 307 12 50 12 6 45 8 136 2 NA
26 52 152 35 106 327 15 48 23 26 38 4 160 10 NA
5 47 136 51 105 313 6 46 18 15 56 10 189 5 NA
28 15 118 29 54 335 3 50 14 9 46 13 192 2 NA
8 33 136 55 90 275 7 43 16 22 30 9 160 3 NA
6 50 143 56 126 323 10 47 33 5 33 8 157 7 NA
16 58 175 53 125 354 7 44 12 16 57 15 180 NA NA
6 55 132 49 95 324 5 46 20 9 56 7 188 4 NA
11 42 149 67 113 276 6 39 15 18 39 10 134 3 NA
11 53 177 67 105 295 11 55 27 18 39 9 163 3 NA
5 42 147 54 107 347 14 58 15 22 41 9 198 3 NA
20 42 119 44 87 311 5 36 14 20 42 13 225 6 NA
6 65 120 71 133 270 6 51 30 20 36 9 164 11 NA
17 62 123 66 67 321 9 47 10 19 55 9 159 3 1
16 40 156 62 94 315 7 49 23 10 42 20 184 1 NA
19 56 144 73 110 337 13 50 29 20 40 19 159 7 NA
20 25 149 59 100 307 16 54 15 22 55 10 155 10 NA
15 58 137 52 67 329 11 56 5 16 47 9 167 1 NA
22 19 117 65 85 312 6 69 20 13 44 8 192 2 NA
3 42 125 57 90 329 13 47 14 14 27 14 143 8 NA
15 49 114 53 52 304 16 51 29 22 42 8 178 5 NA
10 55 156 46 124 305 13 59 25 10 35 7 194 4 NA
18 53 155 58 113 295 14 56 19 16 44 13 197 1 NA
8 53 143 55 69 333 14 53 20 6 54 7 158 11 NA
12 48 144 59 89 267 11 68 17 13 44 8 156 3 NA
34 46 148 65 94 319 17 43 23 29 30 12 170 7 NA
12 36 133 41 85 315 13 39 6 21 52 13 174 7 NA
19 59 134 67 105 345 19 52 7 17 53 12 180 9 NA
8 41 144 60 109 286 13 67 29 16 35 14 131 4 NA
22 69 121 60 109 273 23 59 30 19 40 15 138 11 NA
15 49 146 36 109 291 10 51 26 19 23 15 181 2 NA
5 49 155 55 103 314 10 54 10 12 30 14 146 3 NA
11 37 153 54 111 333 9 72 24 11 40 7 142 3 NA
7 25 122 60 83 281 6 39 24 12 26 8 172 4 NA
9 37 138 47 101 318 15 42 31 17 22 16 173 8 NA
10 40 113 67 107 282 7 38 14 9 45 15 187 4 NA
14 43 140 48 83 376 11 56 17 24 54 4 167 1 NA
6 38 146 54 95 262 3 44 22 8 19 3 150 NA NA
28 52 165 61 80 276 9 48 30 17 41 14 177 4 1
22 60 156 66 136 287 10 53 20 23 25 24 177 3 1
28 67 142 65 77 283 16 43 20 23 32 6 142 4 NA
