"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
3 43 126 51 92 327 9 2 43 17 19 32 17 174 NA
15 52 135 49 97 252 20 8 52 21 21 46 16 165 NA
13 49 122 56 68 272 7 5 54 11 6 47 8 182 NA
13 31 139 60 54 309 11 3 59 11 13 27 4 179 NA
18 43 152 57 106 325 12 4 59 22 16 58 3 175 NA
10 33 116 63 102 314 11 5 49 18 16 52 9 138 NA
10 47 159 50 78 274 9 5 54 14 10 59 17 172 NA
9 51 113 61 112 278 15 4 39 10 17 39 10 155 NA
2 34 140 47 82 285 15 10 58 19 16 44 11 170 NA
12 36 160 50 72 276 7 4 47 27 17 29 6 156 NA
18 45 135 26 105 282 9 3 42 19 18 58 10 175 NA
20 47 150 71 103 286 10 3 40 18 10 33 17 150 NA
3 45 133 53 123 280 5 7 39 22 12 39 4 162 NA
10 39 138 50 90 264 11 9 46 16 14 46 16 176 NA
14 43 151 64 99 361 2 5 62 14 18 55 11 153 NA
6 22 153 61 107 326 11 14 42 23 15 25 16 163 NA
5 48 135 53 95 275 8 4 21 9 22 34 4 156 1
12 54 125 47 89 317 8 1 48 8 14 66 12 134 NA
5 49 132 63 116 282 4 6 54 30 15 22 13 179 3
14 25 120 58 93 299 10 4 49 4 18 41 9 187 1
17 40 145 62 94 275 9 5 58 21 12 36 6 154 2
8 29 148 50 107 322 6 6 56 22 11 44 7 167 NA
22 56 140 57 95 296 16 10 41 16 14 38 13 169 NA
12 43 174 59 101 266 13 3 37 9 14 48 12 172 NA
3 36 131 60 111 323 14 9 51 15 6 40 4 157 NA
9 41 129 57 111 308 6 1 24 15 11 46 13 188 NA
10 61 168 56 76 266 15 11 41 12 18 24 9 208 1
10 53 140 49 95 281 8 2 41 29 22 50 15 184 NA
15 33 137 49 79 273 11 3 59 12 12 49 13 176 NA
8 53 132 60 46 305 7 5 58 19 8 45 2 155 NA
21 43 120 53 86 247 12 3 43 11 11 31 14 158 1
10 20 141 67 92 263 7 3 44 16 11 15 16 168 2
9 40 132 60 95 313 6 12 35 12 23 43 7 170 NA
19 53 158 65 92 301 10 5 47 25 11 50 7 127 NA
20 42 123 74 109 287 5 5 60 20 18 26 5 172 NA
6 48 121 51 90 283 13 1 57 13 19 41 13 174 NA
12 44 131 63 88 265 16 8 57 13 12 48 2 157 NA
12 35 142 45 82 313 9 3 47 5 10 39 7 162 NA
2 31 153 62 98 350 6 4 54 10 9 34 17 170 NA
9 57 141 60 128 321 16 2 64 16 18 50 13 189 NA
15 49 151 48 89 291 8 5 44 25 14 42 18 182 1
12 50 115 60 105 295 14 5 45 21 18 48 25 180 NA
21 58 148 50 45 320 2 7 40 14 15 47 11 169 2
10 54 132 67 92 306 9 3 58 26 12 30 9 190 NA
13 45 113 45 51 265 9 6 55 8 20 36 14 172 NA
13 44 130 27 89 289 6 8 42 21 14 23 10 167 NA
16 39 149 66 107 322 5 7 59 8 19 60 5 170 NA
10 48 110 58 89 299 9 5 46 19 9 52 11 141 2
13 54 172 64 95 304 15 7 44 16 34 41 9 199 NA
21 50 144 49 84 325 7 7 43 14 8 43 8 157 NA
12 55 113 51 90 286 12 10 45 18 12 74 7 168 2
6 38 126 49 94 278 3 5 45 15 11 45 9 145 NA
16 19 146 46 108 312 7 6 59 20 18 69 13 160 NA
14 20 135 54 109 280 11 8 23 24 7 42 2 200 NA
21 64 142 60 103 309 10 1 54 7 29 40 11 141 NA
23 38 191 59 119 307 14 8 57 6 25 52 3 126 NA
7 60 155 42 122 297 8 9 67 14 16 44 19 180 1
20 39 135 67 94 287 16 7 68 27 13 44 16 177 NA
15 53 138 69 105 299 15 10 53 9 9 20 9 161 1
13 56 143 49 102 281 12 3 19 16 7 39 3 152 NA
4 42 119 54 94 319 5 5 48 22 16 54 10 187 NA
29 53 118 57 114 251 14 5 43 18 18 27 17 185 NA
16 27 154 71 99 331 10 11 41 11 15 49 11 190 2
24 70 140 59 113 337 13 7 56 21 18 37 14 191 NA
18 44 125 67 103 272 11 4 52 25 19 52 9 181 NA
23 39 134 58 52 315 13 4 47 24 22 49 13 162 NA
3 22 129 49 101 321 14 4 55 17 13 16 15 178 NA
17 47 130 66 98 297 5 10 73 13 18 55 15 192 NA
17 43 159 64 87 336 10 3 45 18 17 26 17 185 1
16 29 147 58 90 329 6 4 52 17 15 55 11 173 NA
18 38 146 67 118 279 4 5 47 21 7 44 3 171 NA
16 44 130 49 123 307 8 3 59 6 10 43 16 143 NA
10 43 125 49 102 303 10 2 53 22 22 37 9 155 NA
5 35 126 51 85 268 4 6 56 15 23 50 6 136 NA
5 49 98 59 118 298 8 5 64 29 24 45 7 150 NA
9 41 105 56 96 293 10 3 49 15 16 60 9 165 1
12 20 126 60 118 263 9 3 55 20 14 50 12 143 NA
9 39 149 54 97 290 15 5 56 15 22 44 15 135 NA
12 35 159 52 94 338 10 3 53 27 11 35 10 165 NA
17 52 137 39 95 306 6 1 55 14 16 46 19 173 1
7 32 136 65 110 330 3 8 47 41 21 45 8 156 NA
12 46 125 62 105 317 6 6 37 20 20 53 15 166 NA
12 28 139 51 86 262 14 6 44 19 18 39 14 154 1
17 44 125 41 103 334 5 4 55 19 19 35 16 163 3
19 39 111 60 97 316 13 4 52 12 19 42 10 152 1
10 55 168 59 130 325 8 4 48 15 10 51 12 152 NA
8 46 141 66 105 303 13 7 54 24 18 55 3 196 NA
16 44 92 62 69 308 9 7 45 16 5 54 9 167 NA
26 52 161 55 130 314 10 7 54 10 12 45 19 139 NA
7 44 173 56 107 270 7 3 39 24 6 47 9 167 NA
7 58 135 68 103 331 11 3 48 12 17 15 15 161 NA
9 53 158 68 120 304 8 1 44 16 14 42 4 162 NA
12 57 139 62 103 274 2 1 38 25 12 30 8 138 NA
4 40 126 54 105 281 15 3 58 17 6 50 20 161 NA
13 54 158 59 104 361 11 1 54 17 20 57 13 162 5
12 45 135 79 110 317 8 4 48 18 17 49 6 157 NA
4 22 110 53 88 343 9 2 49 27 9 36 10 170 NA
11 63 135 26 102 302 11 5 42 29 13 36 15 142 1
14 42 134 39 92 265 7 1 39 23 11 47 5 164 NA
13 54 159 27 111 291 6 5 51 29 11 50 17 204 NA
