"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 12 5 11 6 100 3
"2" "kukd" 95 0 0 1 NA 44 10 45 7 100 2.16
"3" "kuku" 324 0 0 1 NA 136 15 136 13 100 2.38
"4" "pkd" 175 0 0 1 NA 57 10 57 9 100 3.07
"5" "pku" 266 0 0 1 NA 97 16 97 15 100 2.74
"6" "pp" 1883 0 0 1 NA 303 26 301 21 100 6.21
"7" "tdkd" 33 0 0 1 NA 9 4 9 4 100 3.67
"8" "tdku" 15 0 0 1 NA 5 3 4 3 100 3
"9" "tdp" 101 0 0 1 NA 50 10 51 7 100 2.02
"10" "tdtd" 38 0 0 1 NA 18 6 17 7 100 2.11
"11" "tukd" 23 0.05 NA 0.97 NA 15 5 14 4 100 1.53
"12" "tuku" 0 1 NA 0.8 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 46 10 46 9 100 2.26
"14" "tutd" 15 0.19 NA 0.86 NA 11 5 10 4 100 1.36
"15" "tutu" 236 0 0 1 NA 166 17 164 16 100 1.42
