"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 4 0 0 1 NA 0 0 0 0 2000 Inf
"2" "kukd" 6 0 0 1 NA 0 0 0 0 2000 Inf
"3" "kuku" 20 0 0 1 NA 0 1 0 0 2000 Inf
"4" "pkd" 21 0 0 1 NA 0 1 0 0 2000 Inf
"5" "pku" 34 0 0 1 NA 0 1 0 0 2000 Inf
"6" "pp" 4826 0 0 1 NA 35 7 34 7 2000 137.89
"7" "tdp" 0 1 NA 0.9415 NA 0 0 0 0 2000 NA
"8" "tup" 0 1 NA 0.967 NA 0 0 0 0 2000 NA
"9" "tutd" 0 1 NA 0.9995 NA 0 0 0 0 2000 NA
"10" "tutu" 0 1 NA 0.9985 NA 0 0 0 0 2000 NA
