"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tup" "tutd" "tutu"
"1" NA NA NA NA NA 34 NA NA 0 NA
"2" NA NA NA NA NA 47 NA 1 0 NA
"3" NA NA NA NA NA 32 NA NA 0 NA
"4" NA NA 1 NA NA 22 NA NA 0 NA
"5" NA NA NA 1 NA 46 NA NA 0 NA
"6" NA NA NA 1 1 41 NA NA 0 NA
"7" NA 2 2 1 1 44 NA NA 0 NA
"8" NA NA NA NA NA 26 NA NA 0 NA
"9" NA NA NA NA NA 42 NA NA 0 NA
"10" NA NA 1 NA NA 41 NA NA 0 NA
"11" NA NA 3 NA 1 33 NA NA 0 NA
"12" NA NA 1 NA NA 15 NA NA 0 NA
"13" NA NA NA NA 1 35 NA NA 0 NA
"14" NA NA 1 NA 1 30 NA NA 0 NA
"15" NA 1 NA NA 1 22 NA NA 0 NA
"16" NA NA NA NA NA 29 NA NA 0 NA
"17" NA NA 1 NA NA 33 NA NA 0 NA
"18" NA NA NA NA NA 24 NA NA 0 NA
"19" NA NA NA NA 1 34 1 NA 0 NA
"20" NA NA NA NA NA 32 NA NA 0 NA
"21" NA NA NA 1 NA 33 NA NA 0 NA
"22" NA NA NA NA NA 48 NA NA 0 NA
"23" NA NA NA 1 NA 30 NA NA 0 NA
"24" NA NA 1 NA 1 26 1 NA 0 NA
"25" NA 1 1 NA NA 33 NA NA 0 NA
"26" NA NA NA NA 1 29 NA NA 0 NA
"27" NA NA 1 NA NA 29 NA NA 0 NA
"28" NA NA 1 NA 1 34 NA NA 0 NA
"29" NA NA NA NA NA 40 NA NA 0 NA
"30" NA NA 1 NA NA 37 NA NA 0 NA
"31" NA NA 1 NA 2 37 NA 1 0 NA
"32" NA NA NA NA NA 36 NA NA 0 NA
"33" NA NA 1 NA NA 53 NA NA 0 NA
"34" NA NA 1 NA 1 27 NA NA 0 NA
"35" NA 1 NA NA 1 39 NA NA 0 NA
"36" NA NA NA NA NA 36 NA NA 0 NA
"37" NA NA NA NA NA 31 NA NA 0 NA
"38" NA NA 1 NA 2 35 NA NA 0 NA
"39" NA NA 1 2 1 31 NA NA 0 NA
"40" NA NA NA NA NA 34 NA NA 0 NA
"41" NA NA NA NA 1 42 NA NA 0 NA
"42" NA NA NA NA NA 43 1 NA 0 NA
"43" NA NA 1 NA 1 34 NA NA 0 NA
"44" NA NA NA NA NA 31 NA NA 0 NA
"45" NA NA 2 NA 2 35 NA NA 0 NA
"46" NA NA NA NA NA 44 NA NA 0 NA
"47" NA NA NA NA NA 30 NA NA 0 NA
"48" NA NA NA NA NA 35 NA NA 0 NA
"49" NA NA 2 NA 1 46 NA NA 0 NA
"50" NA NA NA NA 1 49 1 NA 0 NA
"51" NA NA NA NA NA 31 NA NA 0 NA
"52" NA NA NA 1 1 34 NA NA 0 NA
"53" NA NA 1 1 1 34 NA NA 0 NA
"54" NA NA 1 NA NA 41 NA NA 0 NA
"55" NA NA NA 1 NA 21 NA NA 0 NA
"56" NA NA NA NA 1 43 NA NA 0 NA
"57" NA NA NA NA NA 28 NA NA 0 NA
"58" NA NA 1 1 1 29 NA NA 0 NA
"59" NA NA 3 NA NA 33 NA NA 0 NA
"60" NA NA 1 NA NA 44 NA NA 0 NA
"61" NA NA 1 NA NA 30 NA NA 0 NA
"62" NA NA NA NA NA 30 1 1 0 NA
"63" NA NA 1 NA NA 40 NA NA 0 NA
"64" NA NA NA NA NA 32 NA NA 0 NA
"65" NA NA NA 1 1 29 NA NA 0 NA
"66" NA NA NA 1 NA 50 NA NA 0 NA
"67" NA NA NA 1 NA 33 NA NA 0 NA
"68" NA NA NA NA NA 50 NA NA 0 NA
"69" NA NA NA NA NA 37 NA NA 0 NA
"70" NA NA NA NA NA 33 NA NA 0 NA
"71" NA NA NA NA NA 34 NA NA 0 NA
"72" NA NA NA NA NA 33 NA NA 0 NA
"73" NA NA NA NA NA 34 NA NA 0 NA
"74" NA NA NA NA 1 29 1 NA 0 NA
"75" NA NA NA 1 NA 32 1 NA 0 NA
"76" NA NA NA 1 NA 24 NA NA 0 NA
"77" NA NA 2 NA 1 29 NA NA 0 NA
"78" NA NA NA NA 1 21 NA NA 0 NA
"79" NA NA NA NA NA 58 NA NA 0 NA
"80" NA NA 1 1 NA 27 NA NA 0 NA
"81" NA NA NA NA NA 42 1 NA 0 1
"82" NA NA NA NA NA 42 NA NA 0 NA
"83" NA NA NA 1 NA 33 NA NA 0 NA
"84" NA NA 1 NA NA 54 NA NA 0 NA
"85" NA NA NA NA NA 55 NA NA 0 NA
"86" NA NA NA NA NA 21 NA NA 0 NA
"87" NA NA NA 1 NA 42 NA NA 0 NA
"88" NA NA 1 NA 1 35 NA NA 0 NA
"89" NA NA NA NA NA 29 NA NA 0 NA
"90" NA NA 1 NA 2 24 NA NA 0 NA
"91" NA NA 1 NA 1 25 NA NA 0 NA
"92" 1 1 NA NA NA 36 NA NA 0 NA
"93" NA NA NA NA 1 40 NA NA 0 NA
"94" NA NA NA 1 NA 34 1 NA 0 NA
"95" NA NA NA NA NA 31 NA NA 0 NA
"96" NA NA NA NA NA 25 NA NA 0 NA
"97" NA NA 1 NA NA 29 NA NA 0 NA
"98" NA NA 1 1 1 27 NA NA 0 NA
"99" NA NA NA NA NA 31 NA NA 0 NA
"100" NA NA NA NA NA 42 NA NA 0 NA
"101" NA NA NA NA NA 44 NA NA 0 0
"102" NA NA NA NA NA 36 NA NA 0 0
"103" NA NA NA 1 NA 32 NA NA 0 0
"104" NA NA 1 NA 3 30 NA 1 0 0
"105" NA NA 1 NA 1 31 NA NA 0 0
"106" NA NA NA NA 1 59 NA NA 0 0
"107" NA NA 1 NA NA 29 NA NA 0 0
"108" NA NA NA 1 NA 36 NA NA 0 0
"109" NA NA 1 NA NA 34 NA NA 0 0
"110" NA NA 1 NA 2 37 NA NA 0 0
"111" 1 NA NA NA NA 18 NA NA 0 0
"112" NA NA 1 NA NA 33 NA NA 0 0
"113" NA NA NA NA NA 28 NA NA 0 0
"114" NA NA 1 NA NA 33 NA NA 0 0
"115" NA NA NA NA NA 28 NA NA 0 0
"116" NA NA NA NA NA 31 NA NA 0 0
"117" NA NA NA 2 NA 32 NA NA 0 0
"118" NA NA NA NA NA 42 NA NA 0 0
"119" NA NA 2 NA 4 28 NA NA 0 0
"120" NA NA NA NA NA 39 NA NA 0 0
"121" NA NA NA 1 NA 32 NA NA 0 0
"122" NA NA NA NA NA 37 NA NA 0 0
"123" NA NA NA NA NA 42 1 NA 0 0
