"pp" "tup" "kuku" "pkd" "pku" "kukd" "tdp" "tutu" "kdkd"
34 NA NA NA NA NA NA NA NA
47 1 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA NA
22 NA 1 NA NA NA NA NA NA
46 NA NA 1 NA NA NA NA NA
41 NA NA 1 1 NA NA NA NA
44 NA 2 1 1 2 NA NA NA
26 NA NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA NA
41 NA 1 NA NA NA NA NA NA
33 NA 3 NA 1 NA NA NA NA
15 NA 1 NA NA NA NA NA NA
35 NA NA NA 1 NA NA NA NA
30 NA 1 NA 1 NA NA NA NA
22 NA NA NA 1 1 NA NA NA
29 NA NA NA NA NA NA NA NA
33 NA 1 NA NA NA NA NA NA
24 NA NA NA NA NA NA NA NA
34 NA NA NA 1 NA 1 NA NA
32 NA NA NA NA NA NA NA NA
33 NA NA 1 NA NA NA NA NA
48 NA NA NA NA NA NA NA NA
30 NA NA 1 NA NA NA NA NA
26 NA 1 NA 1 NA 1 NA NA
33 NA 1 NA NA 1 NA NA NA
29 NA NA NA 1 NA NA NA NA
29 NA 1 NA NA NA NA NA NA
34 NA 1 NA 1 NA NA NA NA
40 NA NA NA NA NA NA NA NA
37 NA 1 NA NA NA NA NA NA
37 1 1 NA 2 NA NA NA NA
36 NA NA NA NA NA NA NA NA
53 NA 1 NA NA NA NA NA NA
27 NA 1 NA 1 NA NA NA NA
39 NA NA NA 1 1 NA NA NA
36 NA NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA NA
35 NA 1 NA 2 NA NA NA NA
31 NA 1 2 1 NA NA NA NA
34 NA NA NA NA NA NA NA NA
42 NA NA NA 1 NA NA NA NA
43 NA NA NA NA NA 1 NA NA
34 NA 1 NA 1 NA NA NA NA
31 NA NA NA NA NA NA NA NA
35 NA 2 NA 2 NA NA NA NA
44 NA NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA NA
46 NA 2 NA 1 NA NA NA NA
49 NA NA NA 1 NA 1 NA NA
31 NA NA NA NA NA NA NA NA
34 NA NA 1 1 NA NA NA NA
34 NA 1 1 1 NA NA NA NA
41 NA 1 NA NA NA NA NA NA
21 NA NA 1 NA NA NA NA NA
43 NA NA NA 1 NA NA NA NA
28 NA NA NA NA NA NA NA NA
29 NA 1 1 1 NA NA NA NA
33 NA 3 NA NA NA NA NA NA
44 NA 1 NA NA NA NA NA NA
30 NA 1 NA NA NA NA NA NA
30 1 NA NA NA NA 1 NA NA
40 NA 1 NA NA NA NA NA NA
32 NA NA NA NA NA NA NA NA
29 NA NA 1 1 NA NA NA NA
50 NA NA 1 NA NA NA NA NA
33 NA NA 1 NA NA NA NA NA
50 NA NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA NA
33 NA NA NA NA NA NA NA NA
34 NA NA NA NA NA NA NA NA
33 NA NA NA NA NA NA NA NA
34 NA NA NA NA NA NA NA NA
29 NA NA NA 1 NA 1 NA NA
32 NA NA 1 NA NA 1 NA NA
24 NA NA 1 NA NA NA NA NA
29 NA 2 NA 1 NA NA NA NA
21 NA NA NA 1 NA NA NA NA
58 NA NA NA NA NA NA NA NA
27 NA 1 1 NA NA NA NA NA
42 NA NA NA NA NA 1 1 NA
42 NA NA NA NA NA NA NA NA
33 NA NA 1 NA NA NA NA NA
54 NA 1 NA NA NA NA NA NA
55 NA NA NA NA NA NA NA NA
21 NA NA NA NA NA NA NA NA
42 NA NA 1 NA NA NA NA NA
35 NA 1 NA 1 NA NA NA NA
29 NA NA NA NA NA NA NA NA
24 NA 1 NA 2 NA NA NA NA
25 NA 1 NA 1 NA NA NA NA
36 NA NA NA NA 1 NA NA 1
40 NA NA NA 1 NA NA NA NA
34 NA NA 1 NA NA 1 NA NA
31 NA NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA NA
29 NA 1 NA NA NA NA NA NA
27 NA 1 1 1 NA NA NA NA
31 NA NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA NA
