"pp" "pkd" "kuku" "pku" "tup" "kdkd" "tdp" "kukd"
44 NA NA NA NA NA NA NA
36 NA NA NA NA NA NA NA
32 1 NA NA NA NA NA NA
30 NA 1 3 1 NA NA NA
31 NA 1 1 NA NA NA NA
59 NA NA 1 NA NA NA NA
29 NA 1 NA NA NA NA NA
36 1 NA NA NA NA NA NA
34 NA 1 NA NA NA NA NA
37 NA 1 2 NA NA NA NA
18 NA NA NA NA 1 NA NA
33 NA 1 NA NA NA NA NA
28 NA NA NA NA NA NA NA
33 NA 1 NA NA NA NA NA
28 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
32 2 NA NA NA NA NA NA
42 NA NA NA NA NA NA NA
28 NA 2 4 NA NA NA NA
39 NA NA NA NA NA NA NA
32 1 NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
42 NA NA NA NA NA 1 NA
38 NA NA NA NA NA NA NA
49 NA NA NA NA NA NA NA
37 1 NA NA NA NA NA NA
26 1 NA 1 NA NA NA 1
35 NA NA NA NA NA NA NA
31 NA 1 2 NA NA 1 NA
41 NA NA NA NA NA NA NA
46 NA NA NA NA NA 1 NA
52 1 1 NA NA NA NA NA
43 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
27 1 NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
50 1 NA NA NA 1 NA 1
25 NA NA NA NA NA 1 NA
45 NA NA NA NA NA NA NA
37 NA 2 1 NA NA NA 1
43 NA 1 NA NA NA 1 NA
39 NA 1 1 NA NA NA NA
24 NA 3 3 NA NA NA 1
34 NA NA NA NA NA NA NA
38 2 NA NA NA NA NA NA
38 NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA
43 NA NA NA 1 NA NA NA
31 NA NA NA NA NA NA NA
48 NA NA 1 NA NA 1 NA
44 NA 1 NA NA NA NA NA
32 NA 1 NA NA NA NA NA
31 NA NA 1 NA NA NA NA
30 NA 2 1 NA NA NA NA
40 1 NA NA 1 NA 3 NA
47 NA NA 1 NA NA NA NA
34 1 1 NA NA NA NA NA
37 NA NA NA NA NA NA NA
29 1 1 NA NA NA 1 NA
27 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
37 1 NA 1 NA NA NA NA
41 NA NA NA NA NA NA NA
30 1 1 1 NA NA NA NA
25 NA NA NA NA NA NA NA
45 1 NA NA 2 NA NA NA
30 NA 1 1 NA NA NA NA
44 NA 1 NA NA NA NA NA
31 NA NA NA NA NA NA NA
40 1 NA NA NA NA NA NA
38 3 NA 1 NA NA NA NA
26 1 NA NA NA NA NA NA
29 NA NA 1 NA NA NA NA
43 NA NA NA NA NA 1 NA
35 1 NA NA NA NA NA NA
47 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
41 2 1 1 NA NA NA NA
29 NA NA NA NA NA NA NA
46 1 NA NA NA NA NA NA
36 NA NA NA NA NA NA NA
25 1 NA NA NA NA NA NA
38 NA NA NA NA NA NA NA
35 2 NA 1 NA NA NA 1
33 NA 1 NA NA NA NA NA
38 NA 2 NA NA NA NA NA
34 NA 1 1 NA NA NA NA
52 NA 1 1 NA NA NA NA
39 NA NA NA NA NA 1 NA
33 NA NA 1 NA NA NA NA
21 NA 1 NA NA NA NA NA
31 NA NA NA NA NA NA NA
39 1 NA NA NA NA NA NA
25 NA NA NA NA NA NA NA
36 NA NA 1 NA NA NA NA
35 NA NA NA NA NA NA NA
31 NA NA 1 NA NA NA NA
55 NA NA 1 NA NA NA NA
28 NA 1 NA NA NA NA NA
31 NA 1 NA NA NA NA NA
