"kuku" "pp" "kdkd" "pkd" "pku" "tdp" "kukd" "tup" "tutd"
1 18 NA NA NA NA NA NA NA
1 40 1 2 1 NA NA NA NA
NA 37 NA 1 NA NA NA NA NA
NA 39 NA NA NA NA NA NA NA
NA 33 NA NA NA 1 NA NA NA
NA 34 NA NA NA NA NA NA NA
NA 35 NA 1 NA NA 1 NA NA
1 32 NA NA 1 NA NA NA NA
1 38 NA 1 1 NA NA 2 NA
NA 39 NA NA NA NA NA NA NA
1 22 NA NA NA NA NA NA NA
1 36 NA NA 1 NA NA NA NA
NA 26 1 1 NA NA 1 NA NA
1 27 NA NA NA NA NA NA NA
NA 28 NA 1 1 NA NA NA NA
NA 32 NA NA 1 NA NA NA NA
NA 34 NA NA NA NA NA NA NA
1 45 NA 1 1 NA NA NA NA
1 29 NA NA NA NA NA NA NA
1 43 NA NA 1 NA NA NA NA
NA 39 NA NA NA NA NA NA NA
NA 29 1 NA NA NA NA NA NA
1 21 NA NA NA NA NA NA NA
NA 40 NA NA NA NA NA NA NA
NA 37 NA NA NA NA NA NA NA
NA 27 NA NA NA NA NA NA NA
1 45 NA NA NA NA NA NA NA
NA 30 NA NA 2 NA NA NA NA
NA 35 NA 1 NA NA NA NA NA
NA 22 NA 1 1 NA NA NA NA
NA 35 NA NA NA NA NA NA NA
NA 29 NA NA 1 NA NA 1 NA
NA 24 NA NA NA NA NA NA NA
1 51 NA NA NA NA NA NA NA
NA 45 NA NA 1 NA NA NA NA
3 38 NA 2 1 NA NA NA NA
1 19 NA 1 NA NA NA NA NA
1 45 NA 1 NA NA NA NA NA
1 40 NA NA 2 NA NA NA NA
NA 36 NA NA 2 NA NA NA NA
1 27 NA 1 1 NA NA NA NA
NA 41 NA NA 1 NA NA NA NA
NA 30 NA NA NA NA NA NA NA
1 41 NA 1 NA NA NA NA NA
1 36 NA NA 1 NA NA NA 1
NA 28 NA NA NA NA NA NA NA
1 28 NA NA 1 NA 1 NA NA
NA 28 NA NA NA NA NA NA NA
NA 34 NA 2 2 NA NA NA NA
NA 29 NA NA NA NA NA NA NA
NA 22 NA NA NA NA NA NA NA
NA 41 NA 1 NA NA 1 NA NA
NA 46 NA 1 NA NA NA NA NA
1 40 NA NA NA NA NA NA NA
NA 47 1 4 NA NA 1 NA NA
NA 25 NA NA NA NA NA NA NA
NA 42 NA NA NA NA NA NA NA
2 33 1 3 1 NA 1 NA NA
NA 41 NA NA NA NA NA NA NA
2 26 NA 1 NA NA NA NA NA
NA 36 NA NA NA NA 1 NA NA
NA 39 NA NA NA NA NA NA NA
1 50 NA NA 2 NA NA NA NA
NA 40 NA NA NA NA NA NA NA
NA 43 NA NA NA NA NA NA NA
3 35 NA NA 1 NA NA NA NA
NA 28 NA NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA NA
NA 40 NA NA NA NA NA NA NA
NA 41 NA NA 1 NA NA NA NA
1 23 NA 1 1 NA NA NA NA
1 42 NA NA 1 NA NA NA NA
NA 37 NA 1 NA NA NA NA NA
NA 50 NA NA NA NA NA NA NA
NA 41 NA 3 NA NA NA NA NA
NA 50 NA NA NA NA NA NA NA
NA 37 NA NA NA NA NA NA NA
1 23 NA NA 2 NA NA NA NA
1 42 NA NA NA NA NA NA NA
NA 39 NA 1 NA NA NA NA NA
NA 39 NA NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA NA
NA 43 NA NA 1 NA NA NA NA
NA 32 NA 1 NA NA NA NA NA
1 36 NA NA 1 NA NA NA NA
NA 38 NA NA NA NA NA NA NA
NA 37 NA NA NA NA NA NA NA
1 35 NA 1 1 NA NA NA NA
NA 34 NA NA 1 1 NA 1 NA
1 32 NA 1 2 NA 2 NA NA
NA 26 NA 1 1 NA NA NA NA
NA 49 NA NA 1 NA NA NA NA
NA 47 NA NA NA NA NA NA NA
NA 33 NA NA NA NA NA NA NA
NA 45 NA NA NA NA NA NA NA
NA 36 NA NA NA NA NA NA NA
1 27 NA NA 1 NA NA NA NA
NA 35 NA 1 NA NA NA NA NA
NA 36 NA NA NA NA NA NA NA
NA 31 NA NA NA NA NA NA NA
