"pp" "kuku" "pkd" "pku" "tup" "kukd" "tdp" "kdkd"
29 NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA
20 1 1 3 1 NA NA NA
34 NA NA 3 NA NA NA NA
30 1 NA NA NA NA NA NA
25 NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA
38 NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA
29 NA 1 NA NA NA NA NA
28 1 1 1 NA 1 NA NA
27 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
40 1 NA 1 NA NA NA NA
36 NA NA NA NA NA NA NA
21 1 NA 1 NA NA NA NA
27 NA NA NA NA NA 1 NA
33 NA NA NA NA NA NA NA
36 NA NA 2 NA NA NA NA
44 NA NA NA NA NA NA NA
32 NA 1 NA NA NA NA NA
38 NA 1 1 NA NA NA NA
29 NA NA NA NA NA NA NA
29 1 NA NA NA NA NA NA
34 NA NA NA NA NA NA NA
34 NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA
25 NA 1 NA NA NA NA NA
22 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
49 2 NA 2 NA NA NA NA
41 NA NA 1 NA NA NA NA
23 2 1 1 NA NA NA NA
30 1 NA NA NA NA NA NA
26 1 NA 1 NA NA NA NA
44 1 NA NA NA NA NA NA
34 NA NA NA NA NA NA NA
34 1 NA 1 NA NA NA NA
35 NA NA 1 NA NA NA NA
47 NA NA NA NA NA NA NA
33 3 NA 1 NA NA NA NA
45 1 NA NA NA NA NA NA
26 NA NA NA NA NA NA NA
43 NA NA 1 NA NA NA NA
36 NA NA NA NA NA NA NA
18 NA 1 1 NA NA NA NA
33 NA NA NA NA NA NA NA
41 1 1 NA NA NA NA NA
34 NA NA NA NA NA NA NA
34 1 NA NA NA NA NA NA
30 NA 1 NA NA NA NA NA
43 2 NA NA NA NA NA NA
21 NA NA NA NA NA NA 1
37 NA NA NA NA NA NA NA
41 NA NA 1 NA NA NA NA
29 NA NA NA NA NA NA NA
22 1 NA 1 NA NA NA NA
27 NA NA 1 NA NA NA NA
41 NA NA NA NA NA NA NA
36 1 NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
37 1 NA 1 NA NA NA NA
30 NA NA NA NA NA NA NA
29 NA NA NA NA NA NA NA
50 NA NA 1 NA NA NA NA
38 1 1 1 NA NA NA 1
40 NA NA 1 NA NA NA NA
34 NA 1 NA NA NA NA NA
43 1 NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
44 NA NA NA NA NA NA NA
37 2 NA 2 NA NA NA NA
25 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
32 1 NA NA NA NA NA NA
24 1 NA NA NA NA NA NA
32 NA 2 NA NA NA NA NA
38 NA NA 2 NA NA NA NA
46 1 NA NA NA NA NA 1
25 NA NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
26 NA 1 NA NA NA NA NA
22 NA NA NA NA NA NA NA
24 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
43 NA 1 NA NA NA NA NA
31 NA NA NA NA NA NA NA
32 1 1 NA NA 1 NA 2
34 NA NA 1 NA NA NA NA
35 NA NA NA NA NA NA NA
36 NA 1 NA NA NA NA NA
31 2 NA NA NA NA NA NA
44 NA NA NA NA NA NA NA
36 1 NA NA NA NA NA NA
35 NA 1 NA NA NA NA NA
26 1 NA NA NA 1 NA NA
32 NA NA NA NA NA 1 NA
37 1 1 NA NA 1 NA 2
23 NA NA 1 NA NA 1 NA
37 NA NA NA NA NA 1 NA
