"kuku" "pkd" "pku" "pp" "tdp" "tup" "kukd" "kdkd"
1 1 1 21 NA NA NA NA
NA 1 NA 33 1 NA NA NA
NA NA 1 22 NA NA NA NA
NA NA NA 26 NA NA NA NA
NA NA NA 16 NA 1 NA NA
NA 1 NA 37 NA NA NA NA
NA NA NA 34 NA NA NA NA
NA NA NA 21 NA NA NA NA
NA NA 1 38 NA NA NA NA
NA NA NA 33 NA NA NA NA
NA NA NA 33 NA NA NA NA
NA NA NA 19 NA NA NA NA
2 NA 1 42 NA NA NA NA
NA NA NA 35 NA NA NA NA
1 NA NA 35 NA NA NA NA
1 NA NA 34 NA NA NA NA
1 2 NA 33 NA NA NA NA
NA NA NA 27 NA NA NA NA
NA NA 1 40 NA NA 1 NA
1 NA 2 30 NA NA NA NA
NA NA 1 36 NA NA NA NA
NA 1 NA 37 NA NA NA NA
NA NA NA 46 NA NA NA NA
NA 1 NA 25 NA NA NA NA
NA NA NA 30 NA NA NA NA
NA 1 NA 42 NA NA NA NA
NA NA 1 39 NA NA NA NA
1 NA NA 39 NA NA NA NA
NA NA NA 36 NA NA NA NA
NA NA NA 53 NA NA NA NA
NA NA NA 33 NA NA NA NA
NA NA 1 33 NA NA NA NA
NA 1 1 25 NA NA NA NA
1 1 NA 29 NA NA NA NA
2 1 1 25 NA NA NA NA
NA NA 1 25 NA NA NA NA
NA NA NA 32 NA 1 NA NA
1 1 1 37 NA NA NA NA
3 2 2 24 NA NA NA NA
NA NA 1 31 NA NA NA NA
NA 1 NA 32 NA NA NA NA
NA NA 1 26 NA NA NA NA
NA NA NA 32 NA NA NA NA
NA NA 1 26 1 NA NA NA
NA NA NA 33 NA NA NA NA
NA NA NA 32 NA NA NA NA
NA NA NA 31 NA NA NA NA
NA 1 NA 37 NA NA NA NA
NA NA 1 36 NA NA NA NA
NA NA NA 30 NA NA NA NA
NA NA NA 41 NA NA NA NA
1 NA 1 39 NA NA NA NA
NA NA NA 34 NA NA NA NA
1 NA 1 28 NA NA NA NA
NA NA NA 38 NA NA NA NA
NA NA NA 37 NA NA NA NA
NA NA NA 33 NA NA NA NA
NA NA NA 36 NA NA NA NA
NA 1 NA 41 NA NA NA NA
1 1 1 35 NA NA NA NA
NA NA NA 28 NA NA NA NA
NA NA 1 31 NA 1 NA NA
1 NA NA 29 NA NA NA NA
1 NA NA 31 NA NA NA NA
NA 1 NA 30 NA NA NA NA
NA 1 NA 28 NA NA NA NA
NA NA NA 20 1 NA NA NA
NA NA NA 32 NA NA NA NA
1 NA NA 48 NA NA NA NA
NA NA 3 26 NA NA 1 NA
NA 2 1 30 NA NA NA NA
NA 1 NA 27 NA NA NA NA
NA NA NA 35 NA NA NA NA
1 NA NA 34 NA NA 1 NA
NA NA NA 43 NA NA NA NA
NA NA NA 33 NA NA NA NA
NA NA NA 26 NA NA NA NA
NA 1 1 31 NA NA NA NA
2 NA 1 45 NA 1 NA NA
2 NA NA 26 NA NA NA NA
NA NA NA 40 NA NA NA NA
NA NA NA 29 NA NA NA NA
NA NA NA 34 NA NA NA NA
NA NA NA 28 NA NA NA NA
NA NA NA 39 NA NA NA NA
NA NA 1 39 NA NA NA NA
NA NA NA 41 NA NA NA NA
NA NA NA 32 NA NA NA NA
1 NA NA 34 NA NA NA NA
NA NA NA 32 NA NA NA NA
NA 2 3 39 NA NA NA NA
1 NA 1 25 NA NA NA NA
2 2 3 36 NA NA 1 NA
NA NA NA 43 NA NA NA NA
NA NA NA 34 NA NA NA 1
1 NA 1 24 1 NA 2 NA
1 NA 1 34 NA NA NA NA
NA NA NA 34 2 NA NA NA
NA NA NA 26 NA NA NA NA
NA NA NA 34 NA NA NA NA
