"kuku" "pku" "pp" "kukd" "pkd" "kdkd" "tdp" "tup"
2 1 38 NA NA NA NA NA
1 NA 26 NA NA NA NA NA
NA NA 41 NA NA NA NA NA
NA 1 34 NA NA NA NA NA
1 NA 27 NA NA NA NA NA
NA NA 51 NA NA NA NA NA
NA NA 43 NA NA NA NA NA
NA NA 32 NA NA NA NA NA
2 4 41 NA NA NA NA NA
NA 1 24 NA NA NA NA NA
NA NA 31 NA NA NA NA NA
NA 1 44 NA NA NA NA NA
NA NA 41 NA NA NA NA NA
NA NA 40 NA NA NA NA NA
NA 1 30 NA NA NA NA NA
NA NA 31 NA NA NA NA NA
NA NA 43 1 1 NA NA NA
NA 1 32 NA NA NA NA NA
1 NA 38 NA 1 1 NA NA
1 1 30 NA NA NA NA NA
NA NA 35 NA NA NA NA NA
2 1 35 NA NA NA NA NA
NA NA 29 NA NA NA NA NA
NA NA 23 NA NA NA NA NA
2 1 29 NA 1 NA NA NA
NA NA 22 NA NA NA NA NA
NA NA 25 NA 1 NA NA NA
NA NA 27 1 NA 1 NA NA
NA NA 33 NA 1 NA NA NA
NA NA 39 NA NA NA NA NA
NA NA 40 NA NA NA NA NA
1 NA 16 NA 1 NA NA NA
1 NA 34 NA NA NA NA NA
NA NA 50 NA 1 NA NA NA
NA NA 32 NA NA 1 1 1
NA 1 37 NA NA NA NA NA
NA 1 22 NA NA NA NA NA
NA NA 34 NA 1 NA NA NA
1 NA 24 NA NA NA NA NA
NA NA 36 NA NA NA NA NA
1 1 39 NA NA NA NA NA
NA NA 27 NA NA NA NA NA
NA NA 31 NA NA NA NA NA
NA NA 42 NA NA NA NA NA
NA NA 19 NA NA NA NA NA
NA NA 29 NA NA NA NA NA
NA NA 32 NA NA NA NA NA
NA NA 45 NA NA NA NA NA
3 1 33 1 NA NA NA NA
NA 1 35 NA NA NA NA NA
NA NA 42 NA NA NA NA NA
NA NA 33 NA 1 NA NA NA
NA NA 34 NA NA NA NA NA
1 NA 45 NA NA NA NA NA
NA 1 23 NA 1 NA NA NA
1 NA 35 1 NA NA NA NA
NA NA 39 NA NA NA NA NA
1 NA 43 NA NA NA NA NA
NA 1 41 NA NA NA NA NA
1 NA 38 NA NA NA NA NA
NA 1 39 NA NA NA NA NA
1 NA 41 NA NA NA NA NA
NA NA 31 NA NA NA NA 1
1 NA 40 1 1 NA NA NA
NA NA 37 NA NA NA NA NA
2 1 44 NA 1 NA NA NA
NA NA 43 NA NA NA NA 1
NA NA 27 NA 2 1 NA NA
NA NA 39 NA NA NA NA 1
1 1 21 NA 3 NA NA NA
NA NA 37 NA NA NA NA NA
NA 1 33 1 NA NA NA NA
NA 1 32 NA NA NA NA NA
NA 1 34 NA NA NA NA NA
NA NA 27 NA NA NA NA NA
NA NA 45 NA NA NA NA NA
NA NA 43 NA NA NA NA NA
NA NA 17 NA NA NA NA NA
NA 1 39 NA 1 NA NA NA
1 NA 28 NA 1 NA NA NA
NA NA 32 NA NA NA NA NA
1 3 30 NA NA NA NA NA
1 NA 44 NA NA NA NA NA
NA NA 47 NA NA NA NA NA
NA NA 40 NA NA NA NA NA
NA NA 45 NA 1 NA NA NA
NA 1 35 NA NA NA NA NA
1 NA 30 NA 1 1 NA NA
1 NA 21 NA NA NA NA NA
1 NA 27 1 1 1 NA NA
NA NA 51 NA NA NA NA NA
NA NA 28 NA NA NA NA NA
2 2 37 NA NA NA NA NA
1 NA 34 NA 1 NA NA NA
NA NA 40 NA NA NA NA NA
NA NA 44 NA 1 NA NA NA
1 1 24 NA NA NA NA NA
NA NA 39 NA NA NA NA NA
NA NA 23 NA NA NA NA NA
1 1 37 1 NA NA NA NA
