"kukd" "kuku" "pku" "pp" "tdp" "pkd" "kdkd" "tup"
1 1 1 39 NA NA NA NA
NA 2 4 31 NA NA NA NA
NA 1 1 43 1 NA NA NA
NA NA NA 34 NA NA NA NA
NA NA NA 40 NA NA NA NA
NA NA NA 26 NA NA NA NA
NA 1 NA 33 NA NA NA NA
NA NA NA 37 NA 3 NA NA
NA 2 NA 32 NA NA NA NA
NA NA NA 27 NA NA 1 1
NA NA NA 31 NA 1 NA NA
NA 2 1 38 NA 1 NA NA
NA NA NA 33 NA NA NA NA
NA NA 1 44 NA 1 NA NA
NA NA NA 32 NA NA NA NA
NA NA NA 35 NA NA NA NA
1 1 NA 28 NA 2 NA NA
NA 1 NA 36 NA NA NA NA
NA 1 NA 39 NA NA NA NA
NA 1 NA 47 NA NA NA NA
NA NA NA 26 NA NA NA NA
NA 2 1 37 NA NA NA NA
NA NA 1 27 NA NA NA NA
NA NA NA 32 NA 1 NA NA
NA NA NA 30 NA 2 NA NA
NA NA 2 33 NA NA NA NA
NA NA 1 38 NA 3 NA NA
NA 1 NA 40 NA NA NA NA
NA 1 NA 28 NA NA NA NA
NA 2 NA 31 NA NA NA NA
NA NA 1 48 NA NA NA NA
NA NA 1 27 NA NA NA NA
NA NA NA 42 NA NA NA NA
NA NA NA 37 NA NA NA NA
NA NA 1 34 NA NA NA NA
NA NA NA 26 NA NA NA NA
NA NA NA 43 NA NA NA NA
NA 1 NA 36 NA NA NA NA
NA NA NA 38 NA NA NA NA
NA NA 1 37 NA NA NA NA
NA 2 1 35 NA NA NA NA
NA NA NA 26 NA 1 NA NA
NA NA NA 32 NA NA NA NA
NA 1 NA 22 NA 1 NA NA
NA NA NA 46 NA NA NA NA
1 1 NA 35 NA NA NA NA
NA NA NA 29 NA 2 NA NA
NA NA NA 43 NA NA NA NA
NA 2 NA 29 NA NA NA NA
NA NA NA 33 NA 1 1 NA
NA NA 1 31 NA NA NA NA
NA NA 1 34 NA NA NA NA
NA NA NA 43 1 NA NA NA
NA NA 1 35 NA 1 NA NA
NA 2 2 37 NA NA NA NA
NA 1 NA 30 NA NA NA NA
NA 1 1 35 NA NA NA NA
NA NA 1 37 NA NA NA NA
NA NA 1 30 NA 1 NA NA
NA NA NA 35 NA NA NA NA
NA 1 NA 35 NA NA NA NA
NA 1 NA 43 NA 1 NA NA
NA NA NA 56 NA NA NA NA
NA 1 NA 56 NA NA NA NA
NA NA NA 34 NA NA NA NA
NA NA NA 37 NA NA NA NA
NA 1 1 28 NA NA NA NA
NA NA 1 36 1 NA NA NA
NA NA NA 34 NA 1 NA NA
NA NA NA 29 NA NA NA NA
NA NA NA 35 NA NA NA NA
2 2 NA 32 NA NA NA NA
NA NA NA 31 NA NA NA 1
NA 1 1 39 NA 1 NA NA
NA 2 1 39 NA 1 NA NA
NA 1 1 27 NA NA NA NA
NA NA NA 39 NA NA NA NA
NA NA 1 30 NA 1 NA NA
NA NA NA 32 1 NA NA NA
NA NA 1 37 NA NA NA NA
NA NA NA 35 NA NA NA NA
NA NA NA 49 1 NA NA NA
NA NA NA 16 NA 1 NA NA
NA 2 1 42 NA NA NA NA
NA 1 NA 33 NA NA NA NA
NA NA 1 30 NA NA NA NA
NA NA 2 34 NA 1 NA NA
NA 1 NA 47 NA NA NA NA
NA NA NA 34 NA 1 NA NA
NA NA NA 38 NA NA NA NA
NA 1 NA 34 NA NA NA NA
NA 1 1 37 NA NA NA NA
NA NA NA 34 NA NA NA NA
NA NA 2 32 NA NA NA NA
1 NA 1 40 1 NA NA NA
NA NA NA 27 1 1 NA NA
NA NA NA 46 NA NA NA NA
NA NA NA 46 NA NA NA NA
NA 2 4 33 NA NA NA NA
1 NA NA 41 NA NA 1 NA
