"pp" "pkd" "kuku" "pku" "kdkd" "tup" "tdp" "kukd"
23 NA NA NA NA NA NA NA
41 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
29 NA NA NA NA NA NA NA
29 NA NA NA NA NA NA NA
29 2 NA NA NA NA NA NA
32 1 NA NA NA NA NA NA
53 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
33 NA 1 3 NA NA NA NA
47 NA 1 NA NA NA NA NA
25 NA NA NA NA NA NA NA
36 NA 2 1 NA NA NA NA
32 NA 2 NA NA NA NA NA
43 NA 1 2 NA NA NA NA
32 1 1 NA NA NA NA NA
35 NA NA NA NA NA NA NA
25 NA NA 1 NA NA NA NA
48 1 NA NA NA NA NA NA
36 NA NA NA 1 NA NA NA
22 1 NA NA NA NA NA NA
27 NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA
47 NA 1 1 NA NA NA NA
52 1 2 2 NA 1 NA NA
47 NA NA 1 NA NA NA NA
35 NA NA NA NA NA NA NA
38 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA
37 2 NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
32 1 NA 1 1 NA NA NA
36 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
34 NA NA NA NA NA 1 NA
50 NA NA 1 NA NA NA NA
19 NA NA 1 NA NA NA NA
46 NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
25 1 NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
32 1 NA 1 NA NA 1 NA
38 NA 2 1 NA NA NA NA
39 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
36 NA 2 NA NA NA NA NA
38 NA NA NA NA NA NA 1
40 NA NA 1 NA NA NA NA
43 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
37 NA 1 NA NA NA 1 NA
37 1 NA NA NA NA NA NA
24 NA NA 1 NA NA 1 NA
31 1 NA NA NA NA NA NA
36 NA NA 1 NA NA NA 1
33 1 1 1 NA NA NA 1
33 1 NA 1 NA NA NA NA
43 NA NA NA NA NA NA NA
43 NA NA 1 NA NA NA NA
30 1 NA 1 NA NA NA NA
39 NA NA NA NA NA NA NA
36 1 NA NA NA NA NA NA
24 NA NA NA NA NA NA NA
36 1 NA NA NA NA NA NA
30 2 1 NA NA NA NA NA
49 2 1 NA NA NA NA NA
34 1 1 1 1 NA NA NA
41 1 NA NA 1 NA NA NA
28 NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA
24 NA NA NA NA NA 1 NA
36 NA NA NA NA NA NA NA
41 NA NA NA NA NA NA NA
38 NA NA 1 NA NA NA NA
43 NA 1 1 NA NA NA NA
41 NA NA NA NA NA NA NA
38 NA 1 NA NA NA NA NA
42 NA 1 1 NA NA NA NA
32 NA NA NA NA NA NA NA
23 NA 1 1 NA NA NA NA
31 2 1 1 NA NA NA NA
31 NA NA NA NA NA 2 NA
34 NA 1 1 NA NA NA NA
40 1 NA NA NA NA NA NA
37 NA 1 NA NA 1 NA NA
38 NA NA NA NA NA NA NA
27 1 NA NA NA NA NA NA
19 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
52 NA 1 3 NA NA NA 1
43 NA NA NA NA NA NA 1
42 NA NA NA NA NA NA NA
28 NA NA NA NA 1 NA 1
34 NA 1 2 NA NA NA NA
39 NA 1 1 NA NA NA NA
