"pp" "kuku" "pkd" "pku" "kukd" "kdkd" "tup" "tdp"
55 NA NA NA NA NA NA NA
31 1 1 1 NA NA NA NA
33 NA NA NA 1 NA NA NA
33 NA NA 1 NA NA NA NA
49 NA NA NA NA NA NA NA
37 NA 1 NA NA NA NA NA
38 NA NA NA NA NA NA NA
36 NA NA NA 1 NA NA NA
28 NA 1 1 NA NA NA NA
41 1 1 NA NA NA NA NA
37 NA NA NA NA NA NA NA
32 NA 1 1 NA NA NA NA
50 1 1 NA NA 1 NA NA
39 NA NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
45 NA 2 NA NA 1 NA NA
24 NA NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
24 NA NA NA NA NA NA NA
35 NA 1 NA NA NA NA NA
36 NA NA NA NA NA NA NA
36 NA NA 1 NA NA NA NA
28 NA NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
37 3 1 1 NA NA NA NA
43 NA NA NA NA NA NA NA
24 NA 1 NA NA NA NA NA
29 NA NA NA 1 NA 1 NA
38 NA NA NA NA NA NA NA
38 NA 1 NA NA NA NA NA
39 1 1 NA NA 1 NA NA
33 NA NA NA NA NA NA NA
36 1 NA 1 NA NA NA NA
28 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
42 1 NA NA NA NA NA NA
51 NA NA NA NA NA NA NA
42 1 1 4 NA NA NA NA
49 NA 1 NA NA NA NA NA
36 1 NA 1 NA NA NA NA
42 NA NA NA NA NA NA NA
37 1 NA NA NA NA NA NA
39 NA NA 1 NA NA 1 NA
25 1 NA 1 NA NA NA 1
39 NA NA 1 NA NA NA NA
40 NA NA 1 NA NA NA NA
36 NA 1 1 NA NA NA NA
31 1 NA 1 NA NA NA NA
32 NA 1 NA NA NA NA NA
39 3 NA 1 NA NA NA NA
47 NA NA 1 NA NA NA NA
27 NA NA NA NA NA NA NA
35 NA 1 NA NA NA NA NA
44 NA NA NA NA NA NA NA
43 NA NA 1 NA NA NA NA
51 2 NA 1 NA NA NA NA
36 NA NA 1 NA NA NA NA
38 3 NA 1 NA NA NA NA
40 2 NA NA NA NA NA NA
34 1 2 NA NA NA NA NA
27 NA NA NA NA NA NA NA
34 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
29 NA 1 NA NA NA NA NA
34 1 1 NA 1 NA NA 1
32 NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA
32 NA NA 1 NA NA NA NA
32 NA NA 1 NA NA NA NA
29 NA NA NA NA NA NA NA
37 NA 2 NA NA NA NA NA
53 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA
25 1 NA NA NA NA NA NA
52 NA 1 NA NA NA NA NA
27 NA 1 1 NA NA NA NA
24 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
37 NA NA NA NA NA 1 1
25 NA NA 1 NA NA NA NA
35 NA NA 1 NA NA NA NA
25 NA NA NA NA NA NA NA
39 1 NA NA NA NA NA NA
33 NA 1 NA NA 1 NA NA
26 NA 2 NA NA NA NA NA
30 NA NA 1 NA NA NA NA
28 1 NA NA NA NA NA NA
36 NA 1 3 NA NA NA NA
34 NA 1 1 NA 1 NA NA
42 NA NA NA 1 NA NA NA
39 2 1 NA NA NA NA NA
35 NA NA NA NA NA NA NA
40 1 NA 1 1 NA NA NA
44 NA NA NA NA NA NA NA
27 NA 1 NA NA NA NA NA
19 NA 1 NA NA NA NA NA
28 1 1 1 NA NA NA NA
