"kuku" "pp" "tup" "pku" "pkd" "kukd" "tdp" "kdkd"
2 28 1 NA NA NA NA NA
NA 26 NA NA NA NA NA NA
NA 37 NA 1 NA NA NA NA
NA 25 NA 1 NA NA NA NA
NA 33 NA NA 1 NA NA NA
NA 36 NA 3 1 NA NA NA
NA 41 NA 1 2 NA NA NA
NA 46 NA NA 1 NA NA NA
NA 31 NA NA NA NA NA NA
NA 34 NA NA NA NA NA NA
NA 44 NA NA NA NA NA NA
NA 25 NA 1 NA NA NA NA
1 38 NA 1 NA 1 NA NA
NA 30 NA NA NA NA NA NA
NA 36 NA NA NA NA NA NA
1 37 NA 1 NA 1 NA NA
1 30 NA 1 NA NA NA NA
NA 35 NA NA NA NA NA NA
NA 50 NA NA 1 NA NA NA
NA 39 NA NA NA NA NA NA
NA 45 NA NA NA NA NA NA
1 26 NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 46 NA NA NA NA NA NA
NA 51 NA NA NA NA NA NA
NA 29 NA NA NA NA NA NA
1 38 NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 38 NA NA NA NA NA NA
NA 36 NA NA NA NA NA NA
NA 37 NA NA NA NA NA NA
NA 49 1 NA NA NA NA NA
NA 34 NA 1 NA NA NA NA
NA 30 NA NA NA NA NA NA
1 31 NA 1 NA NA NA NA
NA 41 NA NA NA 1 NA NA
NA 35 NA NA NA NA NA NA
NA 35 NA NA NA NA NA NA
1 36 NA NA NA NA NA NA
NA 43 NA NA 1 NA 1 NA
NA 34 NA NA NA NA NA NA
NA 26 NA 2 NA 1 NA NA
1 36 NA 1 NA NA NA NA
NA 54 NA 1 1 NA NA NA
NA 36 NA NA 1 NA 1 NA
NA 43 NA NA NA NA NA NA
1 33 1 NA NA NA NA NA
NA 39 NA 1 1 NA NA NA
1 39 NA NA NA NA NA NA
NA 32 NA NA NA NA NA NA
2 40 NA 1 NA NA NA NA
NA 38 NA NA NA NA NA NA
NA 22 NA NA NA NA NA NA
1 31 NA 1 NA NA NA NA
NA 40 NA NA NA NA 1 NA
NA 21 NA NA NA NA NA NA
NA 38 NA NA NA NA NA NA
NA 44 NA NA NA NA NA NA
NA 22 NA 1 1 NA NA NA
NA 36 NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 25 NA NA NA 1 NA NA
1 48 NA NA NA NA 1 NA
NA 39 NA 1 NA NA NA NA
1 29 1 NA 1 NA NA 2
NA 36 NA NA NA NA NA NA
NA 25 NA NA NA NA NA NA
NA 34 NA NA NA NA NA NA
1 32 NA NA NA NA NA NA
1 27 NA NA 1 NA NA NA
1 61 NA NA NA NA NA NA
NA 30 NA 1 1 NA NA NA
1 35 NA NA NA NA NA NA
1 27 NA NA 1 NA NA NA
NA 36 NA 1 1 NA NA 1
NA 28 NA NA NA NA NA NA
NA 51 NA NA NA NA NA 1
NA 27 NA NA 1 NA NA NA
2 39 NA NA NA NA NA NA
NA 41 NA NA NA NA NA NA
1 26 NA NA NA NA NA NA
NA 34 NA NA 1 NA NA NA
NA 49 NA NA NA NA NA NA
NA 26 NA 1 1 NA NA NA
1 27 NA 1 NA NA NA NA
NA 35 NA NA NA NA NA NA
1 29 NA 1 NA NA NA NA
2 30 NA NA NA NA NA NA
NA 46 1 NA NA NA NA NA
2 44 NA 3 1 NA NA NA
1 39 NA NA NA 1 NA NA
NA 33 NA 1 NA NA NA NA
2 41 NA 2 NA NA NA NA
NA 36 NA NA NA NA NA NA
1 36 NA NA NA NA NA NA
3 36 NA 3 1 NA NA NA
NA 57 NA NA NA NA 3 NA
1 22 NA NA NA 1 NA NA
NA 48 NA NA NA NA NA NA
NA 26 NA NA NA NA NA NA
