"pp" "kukd" "kuku" "tup" "pku" "tdp" "pkd" "kdkd"
24 NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA
32 1 1 1 NA NA NA NA
46 NA NA NA 1 NA NA NA
38 NA NA NA NA NA NA NA
36 NA NA NA NA NA NA NA
31 NA NA NA 1 NA NA NA
42 NA NA NA 2 1 NA NA
23 NA NA NA NA NA NA NA
34 NA 1 NA 1 NA NA NA
27 NA 1 NA 2 NA NA NA
35 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
32 NA NA NA 1 NA NA NA
42 NA NA NA 2 NA NA NA
42 NA 1 NA 1 NA 1 NA
24 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
36 NA NA NA NA NA 1 NA
30 NA 1 NA 1 NA NA NA
48 NA NA NA NA NA NA NA
27 NA NA NA 1 NA NA NA
25 NA NA NA NA NA NA NA
32 NA NA NA NA 1 NA NA
37 NA NA NA NA NA NA NA
27 NA NA NA NA NA NA NA
36 NA 3 NA 1 NA NA NA
20 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
28 NA 1 NA NA NA NA NA
37 NA 1 NA NA NA 1 1
44 NA 1 NA 1 NA NA NA
33 NA NA NA 1 NA NA NA
35 NA 1 NA 1 NA 1 NA
38 NA NA NA 1 NA NA NA
33 NA NA NA 1 NA 1 NA
35 NA NA NA 1 NA 1 NA
36 NA NA NA NA NA NA 1
21 NA NA NA 1 NA NA NA
29 NA NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
32 NA NA NA NA NA 1 NA
29 NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA
44 NA NA NA NA NA NA NA
28 NA NA NA NA 2 NA NA
29 1 1 NA 2 NA 1 NA
28 NA NA NA NA NA NA NA
21 NA 1 NA 1 NA NA NA
44 NA 1 NA 1 NA 1 NA
36 NA NA NA NA NA 1 NA
20 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
27 NA NA NA NA NA 1 NA
39 NA NA NA NA NA 1 NA
36 NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA
50 NA 1 NA NA NA 1 1
36 NA NA NA 2 NA NA NA
30 NA NA NA NA NA NA NA
33 NA NA NA NA NA NA 1
39 NA NA NA NA NA NA NA
53 NA NA NA NA NA NA NA
29 NA NA NA NA NA NA NA
33 NA 1 NA NA NA NA NA
38 NA 1 NA 1 NA NA NA
43 NA 1 NA 1 NA NA NA
30 NA NA NA 1 NA 1 NA
26 NA NA NA NA NA NA NA
31 NA 1 NA NA NA NA NA
39 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA 1
27 1 NA NA NA NA NA NA
37 NA 3 NA 1 NA 1 NA
37 NA NA NA 1 NA 1 NA
31 NA NA NA NA 1 NA NA
34 NA NA NA 1 NA 1 1
42 NA 1 NA NA NA NA NA
50 NA NA NA NA NA NA NA
31 NA NA NA 1 NA NA NA
23 NA 1 NA NA 1 NA NA
33 NA NA NA NA NA 1 NA
37 NA 2 NA 3 NA NA NA
40 NA NA NA 1 NA 1 NA
37 NA NA NA NA NA NA NA
38 NA NA 1 NA NA NA NA
30 NA NA NA 1 NA NA NA
21 NA 1 NA 1 NA NA NA
51 NA 2 NA 1 NA 1 NA
39 NA NA NA NA NA NA NA
21 NA 1 NA NA NA NA NA
42 NA NA NA 1 NA NA NA
36 NA NA NA 1 NA 1 NA
26 NA NA NA 1 NA 2 NA
40 NA NA NA NA 1 NA NA
26 NA NA NA NA NA 1 NA
37 NA NA NA 1 NA 1 NA
26 NA NA 1 NA NA NA NA
36 NA 1 NA NA NA NA NA
