"pp" "tdp" "tup" "pkd" "kuku" "pku" "kukd" "kdkd"
45 1 1 NA NA NA NA NA
50 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
31 NA NA 1 NA NA NA NA
32 NA NA NA NA NA NA NA
36 NA NA 1 1 1 NA NA
27 NA NA NA 1 NA NA NA
39 NA NA 1 NA NA NA NA
34 NA NA NA 5 NA NA NA
32 NA NA 1 NA 1 NA NA
34 NA NA NA NA NA NA NA
39 NA NA 2 NA NA NA NA
45 NA NA NA NA 1 NA NA
51 NA NA NA NA NA NA NA
46 NA NA NA NA NA 1 NA
40 NA NA NA 1 1 NA NA
44 1 NA NA NA NA NA NA
37 NA NA NA NA 1 NA NA
35 NA NA NA NA NA NA NA
34 NA NA 1 1 1 NA NA
44 NA NA NA NA 1 NA NA
34 NA NA 1 NA NA NA NA
30 NA NA NA NA NA NA NA
31 NA NA 1 NA NA NA NA
34 NA NA 2 1 2 NA NA
26 NA NA NA NA NA NA NA
29 NA NA NA NA NA NA NA
41 NA NA NA NA NA NA NA
32 NA NA 1 NA NA NA 1
41 NA NA NA 1 2 NA NA
38 NA NA NA NA 1 NA NA
37 NA NA NA 1 NA NA NA
30 NA NA NA NA 1 NA NA
33 NA NA NA NA NA NA NA
45 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
28 NA 1 NA 2 NA 1 NA
29 NA NA NA 2 1 NA NA
45 NA NA NA 1 NA NA NA
29 NA NA NA NA NA NA NA
26 NA NA NA NA NA NA NA
31 NA NA NA 1 1 NA NA
32 NA NA NA NA 1 NA NA
48 1 NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
38 NA NA NA 2 1 NA NA
32 NA NA 1 NA NA NA NA
34 1 NA 1 NA NA NA NA
36 NA NA 1 NA NA NA NA
38 NA NA NA NA NA NA NA
32 NA NA 1 NA 1 NA NA
33 NA NA NA NA NA NA NA
44 NA NA 1 1 1 NA NA
29 NA NA NA 1 NA NA NA
38 NA NA NA 1 NA NA NA
45 NA NA NA 1 NA NA NA
31 NA NA NA NA NA NA NA
24 NA NA NA 1 NA NA NA
33 NA NA NA 2 1 NA NA
25 1 NA 1 NA 1 NA NA
21 NA NA 1 1 NA NA NA
22 NA NA NA 1 NA NA NA
44 NA NA 4 1 NA NA 1
34 NA NA 1 NA 2 NA NA
34 NA NA 3 NA NA NA NA
41 NA NA 1 NA 1 NA NA
27 NA NA NA 1 NA NA NA
38 NA NA NA NA 1 NA NA
32 NA NA NA NA 1 NA NA
20 NA NA NA NA 1 NA NA
32 NA NA NA NA NA NA NA
43 NA NA NA 1 3 NA NA
26 NA NA 1 2 NA NA NA
27 1 NA NA NA 1 NA NA
44 NA NA NA NA 1 NA NA
40 NA NA NA NA NA NA NA
30 NA NA 1 NA NA NA NA
33 NA NA NA NA NA NA NA
27 1 NA NA NA NA 1 NA
30 NA NA 1 NA 1 NA NA
34 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
28 NA NA NA NA 1 NA NA
33 NA NA NA 3 2 NA NA
31 NA NA NA 1 3 NA NA
51 NA NA 1 1 1 NA NA
34 NA 1 NA NA NA NA NA
39 NA NA 2 NA NA NA NA
23 NA NA NA 1 NA NA NA
33 NA NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
45 NA NA 1 1 NA NA NA
44 NA NA NA NA 1 NA NA
29 NA NA NA NA NA NA NA
21 NA NA NA NA 1 NA NA
33 NA NA 1 1 1 NA NA
47 NA NA NA NA NA NA NA
31 NA NA 2 1 NA NA NA
27 NA NA NA NA 1 NA NA
38 NA NA NA NA NA NA 1
