"kukd" "kuku" "pp" "pku" "pkd" "kdkd" "tdp" "tup"
1 2 43 NA NA NA NA NA
NA 1 27 1 NA NA NA NA
NA NA 25 NA NA NA NA NA
NA NA 56 1 2 NA NA NA
NA 1 45 1 NA NA NA NA
NA NA 22 NA NA NA NA NA
NA 4 33 3 NA NA NA NA
NA 1 31 NA NA 1 1 NA
NA NA 34 NA NA NA NA NA
NA NA 24 NA 1 NA NA NA
NA NA 36 1 NA NA NA NA
NA NA 33 NA NA NA NA NA
NA NA 25 NA NA NA NA NA
NA 1 29 NA 1 1 NA NA
NA NA 22 NA NA NA NA NA
NA NA 36 NA NA NA NA NA
NA NA 34 NA 1 NA NA NA
NA NA 43 1 NA NA NA NA
NA NA 40 NA NA NA NA NA
NA NA 30 1 NA NA NA NA
NA NA 36 NA NA NA NA NA
NA NA 30 NA NA NA NA NA
NA NA 28 NA 1 NA NA NA
NA NA 27 1 NA NA NA NA
NA NA 35 NA 1 NA NA NA
NA NA 36 1 1 NA NA NA
NA 1 42 1 1 NA NA NA
NA NA 25 NA NA NA NA NA
NA 1 48 NA NA NA NA NA
NA NA 22 NA NA NA NA NA
NA 2 41 1 NA NA NA NA
NA NA 25 NA NA NA NA NA
NA NA 39 NA NA NA NA NA
NA NA 32 NA NA NA NA NA
NA 1 37 NA NA NA 1 NA
NA NA 29 NA 1 NA NA NA
NA NA 27 NA 1 NA NA NA
1 2 29 NA NA NA NA NA
NA NA 34 NA NA NA NA NA
NA 1 31 1 NA NA NA NA
NA NA 36 1 NA NA NA NA
1 NA 35 NA NA NA NA NA
NA 1 25 1 NA 1 NA NA
NA NA 36 NA 1 NA NA NA
NA 1 36 1 NA NA NA NA
NA 2 39 NA NA NA NA NA
NA NA 26 1 NA NA NA NA
NA 1 41 NA NA NA NA NA
NA NA 40 NA 1 NA NA NA
NA NA 33 NA 1 1 NA NA
NA 1 33 1 1 NA NA NA
NA NA 40 NA NA NA NA 1
NA 1 37 NA NA NA NA NA
NA NA 33 NA 1 NA NA NA
NA NA 41 NA NA NA NA NA
NA NA 28 NA NA NA NA NA
NA 1 31 3 NA NA NA NA
NA NA 18 NA NA NA NA NA
NA 2 45 1 NA NA NA NA
NA NA 27 1 NA NA NA NA
NA NA 41 1 1 NA NA NA
NA NA 24 NA NA NA NA NA
NA 1 40 NA NA NA 1 NA
NA NA 32 1 NA NA NA NA
NA NA 51 NA NA NA NA NA
NA NA 41 NA NA NA NA NA
NA 1 30 1 1 NA NA NA
NA NA 39 NA NA NA NA NA
NA NA 42 NA NA NA NA NA
NA NA 40 NA NA NA NA NA
NA NA 34 NA NA NA NA NA
NA NA 30 NA NA NA NA NA
NA NA 32 NA NA NA NA NA
NA 1 34 NA NA NA NA NA
NA NA 36 NA NA NA NA NA
NA NA 35 NA 1 NA NA NA
NA NA 20 NA NA NA NA NA
NA 1 31 1 NA NA NA NA
NA NA 24 NA NA NA NA NA
NA NA 28 NA NA NA NA NA
NA 1 17 NA NA NA NA NA
NA 1 25 1 NA NA NA NA
NA NA 27 NA NA NA NA NA
NA 1 36 1 NA NA NA NA
NA NA 20 1 NA NA NA NA
NA NA 31 NA NA NA NA NA
NA NA 24 NA 1 NA NA NA
NA NA 44 1 NA NA NA NA
NA NA 36 NA 1 NA NA NA
NA 1 37 NA NA NA NA NA
NA NA 31 1 NA NA NA NA
NA NA 35 NA NA NA NA NA
NA 1 18 1 NA NA NA NA
NA 1 41 NA NA NA NA NA
NA 1 40 NA NA NA NA NA
NA NA 43 NA NA NA NA NA
NA 3 23 1 NA NA 1 NA
NA NA 30 NA NA NA NA NA
NA NA 33 NA NA NA NA NA
NA NA 38 1 NA NA NA NA
