"pp" "pku" "kuku" "pkd" "kukd" "tdp" "kdkd" "tup"
37 NA NA NA NA NA NA NA
31 1 NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
27 NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA
29 1 2 NA NA NA NA NA
38 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
28 1 NA NA NA NA NA NA
30 NA 1 NA NA NA NA NA
29 3 NA 2 NA NA NA NA
35 1 NA NA NA NA NA NA
42 1 1 1 1 NA NA NA
33 1 NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
36 1 NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
27 3 2 NA NA NA NA NA
47 NA NA NA NA NA NA NA
39 NA 1 NA NA NA NA NA
45 1 1 NA NA NA NA NA
27 NA NA NA NA NA NA NA
31 1 NA 1 NA NA NA NA
35 NA 1 1 NA 1 NA NA
33 NA NA 1 NA NA NA NA
29 1 NA NA NA NA NA NA
38 1 1 NA 1 NA NA NA
41 NA NA NA NA NA NA NA
49 NA NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
26 NA NA NA NA NA NA NA
24 NA NA 1 NA NA NA NA
27 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
28 NA NA NA 1 NA NA NA
32 NA NA NA NA NA NA NA
43 NA 1 NA NA NA NA NA
30 NA NA NA NA NA NA NA
26 NA 2 NA NA NA NA NA
42 NA NA NA NA 3 NA NA
50 NA NA NA NA NA NA NA
30 NA NA 1 NA NA NA NA
31 1 NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA
48 1 1 NA 1 NA NA NA
36 NA 1 NA NA 1 NA NA
39 NA NA 1 NA NA NA NA
32 NA NA NA 1 NA NA NA
42 1 1 NA NA NA NA NA
29 NA NA NA NA NA NA NA
35 1 1 NA NA 1 NA NA
27 NA NA 1 NA NA 1 NA
31 NA NA NA NA NA NA NA
45 1 2 1 NA NA NA NA
28 1 2 NA NA NA NA NA
24 NA NA 1 NA NA NA 1
31 1 2 NA NA NA NA NA
38 NA NA NA NA NA NA NA
46 1 NA NA NA NA NA NA
39 NA 1 NA NA NA NA NA
34 NA NA NA NA NA NA NA
48 1 NA NA NA NA NA NA
40 NA 2 1 NA NA NA NA
30 2 NA NA NA NA NA NA
30 NA NA NA NA NA NA 1
26 NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA
45 NA NA NA NA NA NA NA
49 1 NA NA NA NA NA NA
36 1 1 NA NA NA NA NA
42 NA NA NA NA NA NA NA
44 NA NA 2 NA NA NA NA
27 NA NA NA NA NA NA NA
22 1 1 1 NA NA NA NA
40 NA NA 1 NA NA NA NA
44 NA 1 NA NA NA NA NA
35 NA NA NA NA NA NA NA
30 NA NA 1 NA NA NA NA
37 NA NA NA NA NA NA NA
44 1 NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
36 NA 1 1 NA NA NA NA
35 1 1 1 NA NA NA NA
30 1 NA NA NA NA NA NA
35 NA NA 1 NA NA 1 NA
32 NA NA 1 NA NA 1 NA
35 1 NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
41 1 1 NA NA NA NA NA
35 NA 2 NA NA NA NA NA
26 1 1 NA NA NA NA NA
33 1 1 NA NA NA NA NA
50 1 2 NA NA NA NA NA
35 NA NA NA NA NA NA NA
44 NA NA 1 NA NA NA NA
27 NA NA NA NA NA NA NA
