"pp" "kuku" "pku" "tdp" "tup" "pkd" "kdkd" "kukd"
28 NA NA NA NA NA NA NA
29 1 NA NA NA NA NA NA
29 NA NA NA NA NA NA NA
36 1 NA NA NA NA NA NA
37 NA 1 NA NA NA NA NA
33 NA NA 2 1 NA NA NA
32 1 NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
34 NA NA NA NA 1 NA NA
33 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
33 2 NA NA NA 1 1 NA
19 NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
26 NA 1 NA 1 NA 1 NA
42 NA 1 NA NA 1 NA NA
41 NA 1 NA NA NA NA NA
30 NA NA NA NA NA NA NA
35 NA 1 NA NA NA NA NA
42 NA NA NA NA NA NA NA
22 NA NA NA NA NA NA NA
38 NA NA NA NA NA NA NA
36 1 1 NA NA NA NA NA
29 NA NA NA NA NA NA NA
35 NA NA NA NA NA NA NA
27 NA NA 1 NA NA NA NA
38 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA
42 2 NA NA NA NA NA NA
36 NA NA NA NA 2 NA NA
42 NA NA NA NA 1 NA NA
37 NA NA NA NA NA NA NA
34 NA 1 NA NA NA NA NA
30 NA NA NA NA NA NA NA
43 NA NA NA 1 NA NA NA
48 NA NA 2 1 NA NA NA
29 1 2 NA NA NA NA 1
40 NA NA NA NA NA NA NA
22 NA NA NA NA NA NA NA
40 NA 1 1 NA NA NA NA
31 1 NA NA NA NA NA NA
30 2 1 NA NA NA NA NA
30 1 NA NA NA NA NA NA
28 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
38 NA NA NA NA NA NA NA
46 NA NA NA NA NA NA NA
40 1 1 NA NA 1 NA NA
33 NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
30 NA 1 NA NA NA NA NA
29 NA NA NA NA NA NA 1
42 NA NA NA NA NA NA NA
36 2 NA NA NA NA NA NA
29 1 1 NA NA NA NA NA
18 NA NA NA NA NA 1 NA
46 NA NA NA NA NA NA NA
54 1 1 NA NA NA NA NA
38 NA NA NA NA NA NA NA
32 NA NA NA NA 1 1 1
58 NA NA NA NA NA NA NA
30 NA NA NA NA NA NA NA
24 NA 1 NA NA NA 1 NA
45 NA NA NA NA NA NA NA
36 NA 1 NA NA NA NA NA
29 1 1 NA NA NA NA NA
36 2 1 NA NA NA NA NA
30 NA NA 1 NA NA NA NA
38 NA 1 NA NA NA NA NA
31 NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA
18 NA NA 1 NA 1 NA NA
46 1 NA NA NA NA NA NA
26 NA NA NA NA 1 NA NA
42 NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA
32 NA 1 NA NA NA NA NA
25 1 1 NA NA NA NA NA
42 1 NA NA NA NA NA NA
35 NA 1 NA NA NA NA NA
33 NA NA NA NA NA NA NA
37 NA 1 NA NA NA NA 1
34 NA NA NA NA NA NA NA
42 1 NA NA NA NA NA NA
32 NA NA NA NA 1 NA 1
39 1 NA NA NA NA NA NA
31 NA NA NA NA 1 NA NA
27 NA NA 1 NA NA NA NA
34 NA NA NA NA NA NA NA
28 NA NA NA 1 NA NA NA
33 NA NA NA NA NA NA NA
31 NA NA NA NA 1 NA NA
22 1 NA NA NA NA NA NA
42 NA 1 NA NA NA NA NA
34 NA NA NA NA NA NA NA
16 NA NA 1 NA NA NA NA
47 NA NA NA NA 1 NA NA
56 1 1 NA NA 1 NA NA
25 NA NA 1 NA NA NA NA
