"pp" "kuku" "pku" "pkd" "tup" "kdkd" "tdp" "kukd" "tutu"
44 NA NA NA NA NA NA NA NA
27 1 1 NA NA NA NA NA NA
27 NA NA 3 NA NA NA NA NA
30 NA NA NA NA NA NA NA NA
31 NA 1 NA NA NA NA NA NA
29 1 NA NA NA NA NA NA NA
29 NA NA 1 NA NA NA NA NA
41 2 1 NA NA NA NA NA NA
27 NA 1 NA NA NA NA NA NA
39 NA NA NA NA NA NA NA NA
30 2 3 NA NA NA NA NA NA
35 1 NA NA 1 NA NA NA NA
32 NA NA NA 1 NA NA NA NA
41 NA NA 1 NA NA NA NA NA
33 NA NA NA NA NA NA NA NA
18 NA NA NA NA NA NA NA NA
37 1 NA NA NA NA NA NA NA
27 NA NA NA NA NA NA NA NA
28 1 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA NA
31 2 1 1 NA NA NA NA NA
47 NA 3 NA NA NA NA NA NA
46 1 NA 1 NA NA NA NA NA
38 NA NA NA NA NA NA NA NA
27 NA NA NA NA NA NA NA NA
32 NA 1 1 NA 1 NA NA NA
32 NA 1 NA NA NA NA NA NA
27 NA NA NA NA NA NA NA NA
35 NA NA NA NA 1 NA NA NA
30 1 1 NA NA NA NA NA NA
26 NA NA NA NA NA NA NA NA
37 NA 1 NA NA NA NA NA NA
32 NA NA 1 NA NA NA NA NA
54 NA 1 2 NA NA NA NA NA
39 NA 1 1 NA NA NA NA NA
35 NA 1 NA NA NA NA NA NA
31 1 2 1 1 NA NA NA NA
28 1 NA NA NA NA NA NA NA
36 NA NA NA NA NA 1 NA NA
34 1 NA 1 NA NA NA NA NA
42 NA 1 NA NA NA NA NA NA
28 NA NA NA NA NA NA NA NA
34 NA 1 NA NA NA NA NA NA
36 NA NA NA NA NA NA NA NA
30 1 1 2 NA NA NA NA NA
31 NA NA 1 NA NA NA 1 NA
24 NA NA NA NA NA NA NA NA
44 2 NA 1 NA NA NA 1 NA
36 1 NA 1 NA NA NA NA NA
43 NA NA NA NA NA NA NA NA
35 NA 1 1 NA NA NA NA NA
27 NA NA NA 1 NA NA NA NA
43 NA NA 1 NA NA NA NA NA
41 1 1 NA NA 1 NA NA NA
35 NA NA NA NA NA NA NA NA
27 NA NA NA NA NA NA NA NA
36 NA NA NA NA NA NA NA NA
28 1 1 1 NA NA NA NA NA
29 NA NA NA NA NA NA NA NA
33 1 1 NA NA NA NA NA NA
43 NA NA NA NA NA NA NA NA
28 NA 1 NA NA NA NA NA NA
32 1 1 NA NA NA NA NA NA
35 2 1 NA NA NA NA NA NA
34 NA 1 1 NA NA NA NA NA
23 2 NA NA NA NA NA NA NA
27 NA NA NA NA NA NA NA NA
32 NA 1 1 1 NA NA NA NA
47 2 2 1 NA NA NA NA NA
41 NA NA NA NA NA NA NA 1
35 NA NA NA NA NA NA NA NA
24 2 NA 1 NA NA NA NA NA
27 NA NA NA NA NA NA NA NA
23 3 NA NA NA NA NA NA NA
21 1 NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA NA
35 1 NA NA NA NA NA NA NA
40 2 NA NA NA NA NA NA NA
38 1 1 NA NA NA NA NA NA
35 NA NA NA NA NA NA NA NA
30 NA NA 1 NA 2 1 NA NA
25 NA NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA NA
34 NA NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA NA
37 NA NA NA NA NA NA NA NA
28 NA 1 NA NA NA NA NA NA
43 NA NA NA NA NA NA NA NA
34 NA NA 1 NA NA NA NA NA
24 1 1 NA NA NA NA NA NA
32 1 1 1 NA NA NA NA NA
42 NA 2 1 NA NA NA NA NA
34 1 1 NA 1 NA 1 NA NA
27 NA NA 1 NA NA NA NA NA
33 NA NA NA NA NA NA NA NA
38 NA NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA NA
42 1 1 NA NA NA NA NA NA
34 1 NA 1 NA NA NA NA NA
