"kuku" "pp" "pkd" "kdkd" "pku" "tup" "kukd" "tdp"
1 21 NA NA NA NA NA NA
1 30 2 NA NA NA NA NA
NA 54 NA NA NA NA NA NA
NA 28 NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 42 1 1 NA NA NA NA
2 31 NA NA 1 NA NA NA
NA 39 NA NA NA NA NA NA
NA 37 1 NA NA NA NA NA
NA 52 NA NA 2 NA NA NA
1 27 1 NA NA NA NA NA
1 36 1 NA 1 NA NA NA
1 37 1 NA 1 NA NA NA
NA 48 NA NA NA NA NA NA
2 39 NA NA 1 NA NA NA
NA 33 NA NA NA NA NA NA
NA 36 NA NA NA NA NA NA
1 46 NA NA NA NA NA NA
NA 33 NA NA NA 1 NA NA
NA 41 NA NA NA NA NA NA
NA 48 1 1 NA NA NA NA
1 41 NA NA NA NA NA NA
NA 31 1 1 NA NA NA NA
NA 41 NA NA NA NA 1 NA
NA 38 NA NA NA NA NA NA
1 41 NA NA NA NA NA 1
NA 40 NA NA NA NA NA 1
2 52 NA NA 1 NA NA NA
NA 28 NA NA 1 NA NA 1
NA 21 NA NA 1 NA NA NA
NA 42 NA NA NA NA NA NA
NA 38 NA NA NA NA NA NA
NA 40 NA NA NA NA NA NA
NA 32 NA 1 NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 42 NA NA NA NA NA NA
1 36 NA NA 1 NA NA NA
1 43 1 1 1 NA NA NA
1 37 NA NA NA NA NA NA
1 35 NA NA NA NA NA NA
NA 33 1 NA 1 NA NA NA
1 43 1 NA 1 NA NA NA
NA 39 NA NA NA NA NA NA
1 43 NA NA NA NA NA NA
NA 34 NA NA NA NA NA NA
NA 31 1 NA NA NA NA NA
NA 40 NA NA NA NA NA NA
NA 54 1 NA NA NA NA NA
NA 38 NA NA NA NA NA NA
1 52 NA NA NA NA NA NA
NA 43 NA NA 1 NA NA NA
1 40 NA NA NA NA NA NA
NA 43 NA NA NA NA NA NA
NA 28 NA NA 1 NA NA NA
NA 18 NA NA NA NA NA NA
NA 33 NA NA NA NA NA NA
NA 33 2 NA NA NA NA NA
NA 31 NA NA NA NA NA NA
NA 41 NA NA 1 NA NA NA
NA 29 NA NA NA NA NA NA
1 49 NA NA NA NA NA 1
NA 33 NA NA NA NA 1 NA
NA 24 NA NA NA NA NA NA
1 37 1 NA NA NA NA NA
NA 32 NA NA NA NA NA NA
NA 35 NA NA NA NA NA NA
NA 33 1 NA NA NA NA NA
NA 24 NA NA NA NA NA NA
NA 29 NA NA NA NA NA 1
NA 43 1 NA NA NA NA NA
1 32 NA NA NA NA NA NA
NA 24 2 NA NA NA NA 1
NA 31 1 NA NA NA NA NA
2 32 NA NA 1 NA NA NA
NA 43 NA NA NA NA NA NA
NA 39 1 NA NA NA NA NA
1 37 1 NA NA NA NA NA
NA 41 NA NA 1 NA NA NA
NA 43 NA NA NA NA NA NA
NA 34 NA NA NA 1 NA 1
1 28 NA NA 1 NA NA NA
NA 41 NA NA 1 NA NA NA
NA 50 NA NA 1 NA NA NA
NA 34 NA NA 1 NA NA NA
2 27 NA NA NA NA NA NA
NA 27 1 NA 1 NA NA NA
NA 41 NA NA NA NA NA NA
NA 42 NA NA 1 NA NA NA
NA 36 NA NA NA NA NA NA
NA 38 1 NA 1 NA 1 NA
NA 31 NA NA 1 NA NA NA
1 24 NA NA NA NA NA NA
NA 31 2 NA NA NA NA NA
NA 36 NA NA 1 NA NA NA
NA 32 1 NA NA NA NA NA
NA 35 NA NA 1 NA NA NA
NA 41 NA NA NA NA NA NA
1 37 NA NA 1 NA NA 1
NA 27 NA NA 1 NA NA NA
NA 30 NA NA NA NA NA 2
