"kuku" "pp" "pkd" "pku" "tdp" "kdkd" "kukd" "tup"
1 33 NA NA NA NA NA NA
2 51 2 1 NA NA NA NA
1 38 NA NA NA NA NA NA
1 39 NA 1 NA NA NA NA
1 38 NA 1 NA NA NA NA
NA 50 NA NA 1 NA NA NA
1 43 NA NA NA NA NA NA
1 26 NA NA NA NA NA NA
NA 35 NA 1 NA 1 NA NA
1 30 NA 1 NA NA 1 NA
NA 32 1 NA NA 1 NA NA
NA 38 1 NA NA NA NA NA
NA 44 NA NA NA NA NA NA
NA 40 1 NA NA NA NA NA
NA 30 NA NA NA NA NA NA
1 23 1 1 NA NA NA NA
2 26 1 NA NA NA NA NA
NA 32 NA 1 NA NA NA NA
NA 39 NA NA 1 NA NA NA
NA 24 NA 1 NA NA NA NA
NA 37 1 1 NA NA NA 1
NA 24 1 NA NA NA NA NA
NA 38 NA 2 NA NA NA NA
NA 28 NA 2 NA NA NA NA
NA 29 NA 1 NA NA NA NA
1 30 NA NA NA NA NA NA
NA 35 NA 1 NA NA NA NA
NA 40 NA 1 NA NA NA NA
NA 33 NA NA NA NA NA NA
1 37 NA 1 NA NA NA NA
NA 27 NA NA NA NA NA NA
2 42 NA 1 NA NA NA NA
NA 41 1 1 NA NA NA NA
NA 34 NA NA NA NA NA NA
2 26 NA 1 NA NA NA NA
1 43 NA 1 NA NA NA NA
NA 40 NA NA NA NA NA NA
1 39 NA NA NA NA NA NA
NA 28 NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 38 NA 1 NA NA NA NA
1 27 5 NA NA NA NA NA
NA 39 1 NA NA NA NA NA
NA 33 NA 1 NA NA NA NA
NA 42 NA 1 NA NA NA NA
NA 37 NA 1 NA NA NA NA
1 35 NA 1 NA NA NA NA
NA 37 NA 1 NA NA NA NA
1 41 NA 1 NA NA NA NA
1 24 NA NA NA NA NA 1
1 27 NA NA NA NA NA NA
1 26 NA 1 NA NA NA NA
1 35 NA 3 1 NA 1 NA
1 41 NA 1 NA NA NA NA
NA 36 NA NA 1 NA NA 1
NA 31 NA NA NA NA NA NA
1 33 NA NA NA 1 1 NA
NA 45 NA 1 NA NA NA NA
2 44 2 NA NA NA NA NA
1 26 NA NA NA NA NA NA
NA 31 1 NA 1 NA NA NA
NA 33 NA NA NA NA 1 NA
NA 37 NA NA NA NA NA NA
NA 27 NA NA NA NA NA NA
NA 22 NA NA NA NA NA NA
NA 41 NA NA NA NA NA NA
NA 29 NA NA NA NA NA NA
NA 27 NA NA NA NA NA NA
NA 28 NA 1 NA NA NA 1
1 32 NA 1 NA NA NA NA
1 32 NA NA NA NA NA NA
NA 35 NA 1 NA NA NA NA
NA 40 NA NA 1 NA NA NA
1 32 NA 1 NA NA NA NA
NA 34 NA NA NA NA NA NA
1 30 NA NA NA NA NA NA
NA 32 NA 1 NA NA NA NA
2 31 1 2 NA NA NA NA
1 37 NA 1 NA NA NA NA
1 33 NA NA NA NA NA NA
1 30 NA NA NA NA NA NA
NA 30 NA 1 NA NA NA 1
1 32 NA NA NA NA NA NA
NA 27 1 1 NA NA NA NA
NA 36 1 NA NA NA NA NA
NA 29 NA NA NA NA NA NA
NA 39 NA NA NA NA NA NA
NA 36 NA 1 NA NA NA NA
NA 34 NA NA NA 1 1 NA
NA 31 NA NA NA NA NA NA
2 31 1 1 NA NA NA NA
1 31 NA NA NA 1 NA 1
NA 24 1 NA 1 NA NA NA
2 38 NA NA NA NA NA NA
NA 27 NA 1 NA NA NA NA
NA 21 NA NA NA NA NA NA
1 32 NA 1 NA NA NA NA
NA 36 1 1 NA NA NA NA
NA 40 NA NA NA NA NA NA
NA 35 NA 1 NA NA NA NA
