"pp" "pku" "tdp" "tup" "kuku" "pkd" "kukd" "kdkd"
38 NA NA NA NA NA NA NA
26 1 NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
37 NA 1 NA NA NA NA NA
33 NA NA NA NA NA NA NA
33 1 NA NA NA NA NA NA
40 NA NA NA NA NA NA NA
39 NA NA 2 NA NA NA NA
26 NA NA NA 1 NA NA NA
21 NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA
23 NA NA NA NA 1 NA NA
28 NA NA NA NA NA NA NA
31 1 NA NA NA NA NA NA
33 NA NA NA NA NA NA NA
27 1 NA NA NA 1 NA NA
63 NA NA 1 2 NA 1 NA
36 NA NA NA NA NA NA NA
38 1 NA NA 1 NA 1 NA
29 NA NA NA NA NA NA NA
43 NA NA NA NA NA NA NA
42 NA NA NA NA 1 NA NA
24 NA 2 NA NA NA NA NA
42 NA NA NA NA 1 NA NA
35 1 1 NA 1 NA 1 NA
23 NA NA NA NA NA NA NA
37 NA 1 NA 1 NA NA NA
43 NA NA NA NA NA NA NA
23 1 NA NA 1 NA NA NA
30 NA NA NA NA NA NA NA
43 2 NA NA NA NA NA NA
46 NA NA NA NA NA NA NA
36 NA NA NA NA 1 NA NA
46 1 NA NA NA NA NA NA
43 NA NA NA 1 NA NA NA
32 NA NA NA NA NA NA NA
26 NA NA NA 1 NA 1 NA
35 NA NA NA NA NA 1 NA
36 NA NA NA NA NA NA NA
31 1 NA NA NA 1 NA NA
37 NA NA NA 1 NA NA NA
27 1 NA NA 1 NA NA NA
38 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
30 NA NA NA 1 1 2 NA
27 NA NA NA 1 NA NA NA
50 1 NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
39 NA NA NA NA NA NA NA
50 NA NA NA NA NA NA NA
45 1 NA NA NA 1 NA NA
29 NA NA NA NA NA 1 NA
28 NA NA NA 1 NA NA NA
40 1 NA NA NA NA 1 NA
33 1 NA NA NA NA NA NA
18 NA NA NA NA 1 NA NA
43 1 NA NA 1 NA NA NA
34 NA NA NA NA NA NA NA
35 NA 1 NA NA NA NA NA
40 NA NA NA 1 NA NA NA
32 NA NA NA NA NA NA NA
32 1 NA NA 1 NA NA NA
33 NA NA NA NA NA NA NA
26 NA NA NA NA NA NA NA
36 NA NA NA NA NA NA NA
36 NA NA NA NA NA NA 1
29 NA NA NA 2 NA NA NA
32 NA NA NA NA NA NA NA
36 NA 1 1 NA NA NA NA
37 NA NA NA NA NA NA NA
34 1 NA NA 1 NA NA NA
37 NA NA NA 2 NA NA NA
42 1 NA NA NA NA NA NA
27 1 1 NA NA NA NA NA
54 3 3 NA 1 3 NA NA
33 3 NA NA 3 NA NA NA
37 NA NA NA NA NA NA NA
31 1 NA 1 NA 1 NA NA
45 NA NA NA NA NA NA NA
31 NA NA NA NA 1 NA NA
35 1 NA NA 1 1 NA NA
23 NA NA NA 1 NA 1 NA
34 4 NA NA 2 NA NA NA
35 NA NA NA NA NA NA NA
35 NA NA NA 1 NA NA NA
32 1 NA 1 1 NA NA NA
43 NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA
50 1 NA NA 1 NA NA NA
28 NA NA NA NA NA NA NA
29 NA NA NA 2 NA NA NA
29 1 1 NA NA NA NA NA
38 NA NA NA 1 NA NA NA
26 1 NA NA NA NA NA NA
26 NA 1 NA 1 2 NA NA
31 NA NA NA NA NA NA NA
54 NA NA NA NA NA NA NA
