"pp" "tdp" "pkd" "pku" "kukd" "kuku" "kdkd" "tup" "tutu"
56 1 NA NA NA NA NA NA NA
59 NA NA NA NA NA NA NA NA
53 NA 1 NA NA NA NA NA NA
58 NA NA 1 NA NA NA NA NA
31 NA NA NA NA NA NA NA NA
31 NA 1 NA 1 NA NA NA NA
40 NA NA NA NA NA NA NA NA
31 NA 1 NA NA NA NA NA NA
37 NA NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA NA
36 NA NA NA NA NA NA NA NA
21 NA NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA NA
45 NA 1 NA NA NA NA NA NA
29 NA NA NA NA 1 NA NA NA
42 NA NA 2 NA NA NA NA NA
36 NA NA 2 NA 2 NA NA NA
29 NA NA NA NA 1 NA NA NA
25 NA NA NA 1 NA NA NA NA
37 NA NA 1 NA NA NA NA NA
38 NA 1 NA NA 1 NA NA NA
26 NA NA NA 1 NA NA NA NA
34 NA NA NA NA 1 NA NA NA
36 NA NA 1 NA 1 NA NA NA
35 NA NA 1 NA NA NA NA NA
30 NA NA 2 NA NA NA NA NA
34 NA NA NA NA NA NA NA NA
42 NA NA NA NA 1 NA NA NA
28 NA NA NA NA NA NA NA NA
34 NA NA 1 NA 1 NA NA NA
32 NA NA NA NA NA NA NA NA
44 NA NA NA NA NA NA NA NA
50 NA NA NA NA NA NA NA NA
26 NA NA NA NA NA NA NA NA
36 1 1 NA NA NA 1 NA NA
30 NA NA 1 NA NA NA NA NA
33 NA NA NA NA NA NA NA NA
40 NA NA 1 NA 1 NA NA NA
34 NA NA 1 NA NA NA NA NA
28 NA NA NA NA NA NA NA NA
34 NA 1 NA NA NA NA NA NA
30 NA NA 1 NA 1 NA NA NA
30 NA NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA NA
41 NA NA 1 NA NA NA NA NA
29 NA NA 1 NA 2 NA NA NA
42 NA NA NA NA NA NA NA NA
47 NA NA 1 NA 1 NA NA NA
39 NA NA 1 1 NA 1 NA NA
36 NA NA NA NA 1 NA NA NA
23 NA NA NA NA NA NA NA NA
33 NA NA 2 NA NA NA NA NA
38 NA NA NA 1 NA NA NA NA
35 NA NA 1 NA 1 NA NA NA
32 NA 2 NA NA 1 NA NA NA
31 NA 1 NA NA NA NA NA NA
46 NA NA NA NA 1 NA NA NA
35 1 NA 1 NA NA NA NA NA
40 NA NA NA NA 1 NA NA NA
35 1 NA 2 NA NA NA NA NA
29 NA NA NA 1 NA NA NA NA
48 NA NA NA NA NA NA NA NA
38 NA NA NA NA NA NA NA NA
42 NA NA NA NA NA NA NA NA
21 NA NA NA NA NA NA NA NA
33 NA NA 1 NA 1 NA NA NA
33 NA NA NA NA NA NA NA NA
51 NA NA 1 NA 1 1 NA NA
33 NA NA NA NA NA NA NA NA
38 NA NA NA NA 1 NA NA NA
28 1 NA NA NA NA NA NA NA
35 NA NA 1 NA 1 NA NA NA
36 NA NA NA NA 2 NA NA NA
38 NA 1 NA NA NA NA NA NA
22 NA NA NA NA NA 1 NA NA
21 NA NA NA 1 NA NA NA NA
31 NA NA 1 NA NA NA NA NA
34 NA NA NA NA 1 NA NA NA
29 NA NA NA 1 NA NA NA NA
41 NA NA NA NA NA NA 1 1
41 NA NA 1 NA 1 NA NA NA
28 1 1 1 NA 1 NA NA NA
31 NA NA 1 NA 1 NA NA NA
40 NA NA 1 NA NA NA NA NA
24 NA NA NA NA NA NA NA NA
43 NA NA 1 NA 1 NA NA NA
44 NA NA NA NA NA NA NA NA
29 NA NA NA NA NA NA NA NA
26 NA NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA NA
31 NA NA NA NA NA NA NA NA
36 NA NA NA NA NA NA NA NA
49 NA NA NA NA NA NA NA NA
28 NA NA NA NA NA NA NA NA
33 NA NA NA NA NA NA NA NA
32 NA NA NA NA NA NA NA NA
46 NA NA NA NA NA NA NA NA
36 NA NA NA NA 2 NA NA NA
41 NA NA NA 1 NA NA NA NA
32 NA 1 NA NA NA NA NA NA
