"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
1 30 244 104 317 1033 10 7 156 21 24 98 19 600 NA
10 45 270 99 287 1101 10 1 128 43 22 117 26 606 NA
16 45 267 101 300 1003 4 4 131 57 22 90 31 641 NA
8 52 277 96 334 1065 28 7 133 12 25 94 17 652 NA
12 60 244 88 354 1174 14 5 141 13 25 102 23 635 NA
2 39 244 100 288 1076 1 10 151 52 18 109 23 663 1
10 52 208 106 308 1074 17 3 143 31 20 113 24 586 NA
4 30 281 84 295 1111 43 7 138 31 29 96 10 670 1
11 45 229 89 301 1090 3 10 137 17 20 108 20 721 NA
6 55 239 99 303 1031 9 6 139 68 22 113 28 582 1
15 66 227 138 335 1095 14 5 108 39 22 78 19 657 NA
13 54 270 103 310 1084 6 4 128 20 26 111 27 622 NA
5 46 231 105 312 1147 23 8 154 10 18 96 25 579 NA
14 38 241 111 275 1033 9 9 172 32 26 103 33 680 1
6 42 254 112 297 1022 7 8 115 15 18 95 20 617 NA
1 39 243 128 329 1089 12 13 158 76 14 106 23 609 NA
7 42 266 87 350 1108 1 5 139 17 22 90 23 568 NA
19 50 241 111 344 1159 9 12 179 87 22 126 13 632 NA
8 42 253 91 339 1179 8 8 143 22 25 48 17 625 NA
17 51 283 126 353 1070 12 9 158 83 16 98 28 669 NA
13 40 274 121 332 1070 10 6 128 55 20 91 21 626 NA
10 35 225 101 298 1113 4 6 149 78 23 90 14 659 NA
13 46 217 106 289 1129 9 9 124 22 21 102 26 604 2
6 38 254 98 280 1184 11 9 165 82 23 104 14 623 NA
19 30 216 103 283 1121 24 7 121 46 20 91 20 686 NA
36 44 220 134 293 1196 7 10 151 34 30 109 15 584 NA
3 35 237 85 300 1089 16 12 153 17 15 73 14 645 1
35 53 248 107 329 1033 7 NA 101 16 22 48 23 629 NA
23 58 226 88 363 1054 5 6 117 39 28 121 17 682 NA
28 54 256 97 281 1125 9 6 116 41 24 95 12 659 NA
24 56 226 106 305 1086 19 3 156 74 19 100 22 636 NA
9 53 247 118 323 1029 4 5 171 56 23 97 21 637 1
8 42 242 113 333 1104 44 3 137 11 19 80 25 632 NA
NA 35 230 111 306 1082 9 6 117 67 24 105 13 652 NA
10 36 198 82 311 1146 13 7 164 57 21 86 24 629 1
6 37 227 84 154 1079 21 6 157 36 21 90 14 635 NA
9 29 234 94 308 1126 6 15 115 15 15 84 28 632 NA
6 44 216 99 288 1087 13 6 128 21 25 51 9 655 NA
8 45 258 94 319 1105 20 18 162 51 19 93 19 624 1
21 47 263 101 346 1107 3 8 126 18 17 114 21 607 NA
7 48 229 89 327 1080 21 12 156 59 21 87 23 669 NA
21 49 246 92 339 1088 22 10 145 56 21 90 23 663 NA
11 17 252 126 313 1023 16 7 173 12 20 59 12 633 NA
12 37 268 95 306 1006 19 3 129 62 21 134 5 617 NA
6 37 233 94 326 1166 14 6 109 35 23 96 22 569 1
16 52 256 37 324 1046 15 15 145 68 27 104 13 638 NA
1 44 238 76 306 1061 14 8 134 29 20 100 14 661 NA
3 37 240 113 290 1059 7 7 110 65 22 106 27 620 NA
5 31 180 110 347 1116 16 3 137 33 19 106 24 598 NA
41 64 294 122 364 1105 5 8 157 44 19 106 24 672 NA
2 48 235 112 148 1066 9 5 119 28 19 94 15 654 NA
15 41 274 95 322 1103 4 13 108 20 18 100 17 620 NA
15 58 241 111 311 1071 13 4 134 14 12 104 18 608 1
14 39 232 54 322 1137 8 10 156 16 25 106 23 655 NA
9 32 200 82 333 1089 3 2 134 27 21 103 14 582 1
22 68 206 118 324 1092 10 7 141 108 28 99 23 642 1
