"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
39 208 1074 447 1331 4817 75 33 615 156 84 1 456 78 2756
50 227 1087 512 1473 4946 74 27 634 160 107 1 473 85 2738
37 190 1066 423 1441 5000 52 28 669 143 121 1 468 95 2681
46 191 1036 447 1341 4731 60 58 590 242 114 1 421 96 2748
37 240 1091 441 1453 4951 78 25 643 131 91 NA 434 90 2886
97 237 1054 477 1311 4807 42 32 635 127 84 1 395 100 2736
40 201 1075 407 1425 4884 59 44 607 139 93 6 519 70 2760
37 193 1068 484 1441 4906 101 36 667 152 113 1 458 57 2740
33 181 1113 445 1452 4935 54 40 654 111 99 NA 411 90 2894
71 177 1121 413 1383 4949 31 40 601 134 109 1 452 94 2844
39 231 1060 484 1371 4973 47 47 611 168 119 1 491 76 2826
67 222 1153 526 1457 4961 61 33 623 95 104 4 432 95 2730
37 229 1069 458 1327 5069 46 10 604 180 132 1 487 81 2857
48 226 1118 435 1316 4773 58 24 558 126 138 NA 410 78 2961
63 207 1051 483 1328 4689 68 27 596 110 122 4 546 88 2790
61 239 1035 500 1308 4868 48 37 692 70 114 NA 461 110 2669
61 205 1087 483 1502 4794 40 32 639 164 83 NA 396 111 2869
66 180 1169 476 1550 4992 73 33 604 206 92 4 474 83 2685
49 220 1135 473 1433 4852 31 53 695 247 92 3 448 76 2881
38 184 1159 439 1448 5067 41 35 659 139 72 NA 466 109 2903
46 199 1125 493 1457 4906 67 56 624 195 96 NA 395 104 2714
59 216 1164 471 1295 4946 86 42 667 283 95 1 506 114 2854
59 240 1186 469 1544 4883 61 34 663 160 110 1 197 85 2751
69 221 1179 486 1425 4926 53 45 586 138 111 1 498 88 2740
50 185 1100 441 1349 4747 46 23 638 102 100 4 515 102 2876
61 212 1145 442 1342 5036 63 44 612 176 98 1 421 125 2871
46 250 1158 414 1451 4824 53 35 663 112 96 NA 480 115 2768
60 206 1155 421 1513 4878 54 20 594 175 121 1 481 106 2857
66 213 1094 449 1315 4826 85 30 667 131 93 NA 436 107 2849
87 249 1232 512 1471 5039 46 32 672 229 81 NA 480 86 2865
40 183 1164 480 1481 4840 54 34 624 197 104 NA 500 97 2816
80 193 1158 523 1453 4668 50 25 576 155 97 1 433 83 2853
58 102 1018 456 1301 4910 76 29 644 157 128 NA 447 89 2684
41 196 1070 461 1418 5122 48 34 642 96 112 2 475 119 2776
59 197 1074 462 1349 4779 63 30 646 132 92 2 436 111 2676
65 216 973 522 1387 4919 53 32 578 136 104 NA 398 78 2719
22 205 1144 437 1320 4985 76 18 637 132 96 NA 415 61 2808
47 213 1120 490 1319 4873 56 37 643 163 89 1 430 86 2907
51 228 1150 483 1421 4859 55 34 606 167 107 1 471 66 2704
67 251 1158 470 1440 4846 69 40 654 136 97 3 421 94 2888
30 189 1180 449 1414 4906 72 23 602 71 124 NA 412 91 2879
64 196 1060 467 1355 4800 51 42 579 136 51 1 384 99 2785
47 221 1158 459 1399 4944 85 35 668 122 104 NA 460 97 2753
56 216 1108 422 1396 4816 61 29 543 190 112 NA 416 113 2947
35 206 1213 449 1462 4775 60 43 636 169 104 NA 445 109 2738
56 180 1096 215 1558 4835 48 36 572 133 114 1 428 87 2805
58 227 1230 522 1545 4866 59 41 616 121 106 4 451 134 2886
59 205 1089 453 1366 4923 50 30 586 209 105 NA 456 73 2871
22 201 1241 430 1503 4910 87 44 632 165 106 NA 430 52 2954
25 210 1153 444 1382 4842 53 27 637 148 98 4 411 84 2867
40 193 1165 451 1438 5015 34 23 715 157 117 7 433 82 2937
36 203 1161 458 1482 4819 52 41 587 148 93 2 474 81 2621
40 179 1123 418 1533 5115 95 40 659 150 92 NA 423 106 2901
51 173 1073 464 1360 4698 36 29 637 179 101 5 433 106 2768
60 219 1103 488 1232 4815 89 16 587 132 122 3 471 87 2920
58 216 1259 467 1407 4804 54 23 603 133 105 1 457 81 3018
39 205 1196 477 1472 4951 72 37 655 109 109 NA 475 120 2849
49 216 1177 434 1400 4999 37 31 615 165 86 NA 412 101 2865
58 223 1212 461 1427 5091 70 27 647 240 96 NA 491 87 2892
68 252 1061 508 1403 4935 69 55 637 69 104 1 216 108 2862
90 214 1024 558 1554 5003 32 32 727 118 91 1 529 108 2839
35 205 1074 468 1468 5170 64 36 630 120 112 1 435 125 2837
37 189 1087 451 1257 4859 59 24 672 186 108 3 393 95 2964
41 193 1141 495 1413 5000 26 35 585 180 109 2 428 85 2731
25 185 1085 412 1388 5032 55 27 571 146 107 NA 483 85 2663
40 202 1087 442 1497 4943 31 38 621 84 89 3 524 83 2872
73 233 1170 448 1490 4839 25 25 586 175 101 1 353 80 2870
50 252 1154 460 1465 4967 49 57 575 127 104 3 475 114 2815
23 222 1082 460 1417 5137 47 34 606 190 111 NA 425 71 2835
50 228 1063 479 1353 4942 51 39 616 163 87 2 414 102 2787
36 182 1051 463 1380 4760 77 40 635 119 106 NA 499 103 2757
82 260 1030 452 1498 5146 79 29 584 236 86 1 485 107 2806
36 203 1026 449 1435 5020 42 53 603 113 100 3 423 109 2939
57 206 960 426 1265 4878 66 49 606 131 96 4 430 89 2806
33 192 1196 466 1436 4851 53 23 650 160 89 2 436 94 2811
35 197 1125 407 1324 4841 106 47 610 226 106 NA 463 112 2745
40 204 1193 441 1390 4745 52 36 676 147 93 1 455 78 3039
38 206 1156 478 1633 4994 64 32 718 113 101 1 462 108 2947
50 176 1158 464 1407 5025 64 43 662 167 79 1 423 130 2926
95 248 1086 442 1366 4836 34 27 657 109 110 NA 484 139 2695
41 224 1113 434 1425 4941 57 49 558 127 95 1 497 96 2911
84 207 1088 471 1371 4937 80 24 648 135 126 NA 394 100 2668
40 182 1184 491 1453 4796 51 43 591 167 100 1 483 86 2815
50 234 1057 468 1409 5022 51 32 607 186 107 NA 454 98 2935
64 257 1129 488 1395 5005 55 52 602 137 93 5 498 125 2951
85 213 1105 474 1426 5184 39 29 643 120 90 1 502 111 2928
33 195 1067 439 1517 4987 57 41 616 116 104 NA 467 100 2798
39 202 1104 476 1438 4718 57 36 521 98 78 3 464 88 2775
39 213 1167 498 1375 4941 71 17 639 140 107 NA 435 100 2860
45 215 1150 478 1397 4901 28 28 644 221 104 NA 443 87 2821
41 191 1163 451 1442 4978 90 50 679 143 85 1 421 109 3006
57 118 1076 473 1379 4920 50 31 578 118 92 1 445 101 2826
51 180 1075 468 1393 5042 56 14 635 124 127 NA 420 107 2629
67 247 1105 514 1547 4931 30 33 563 147 97 1 458 79 2812
39 174 1091 488 1355 4983 39 43 615 220 91 NA 425 104 2812
63 168 1111 453 1338 4842 45 27 620 88 94 6 482 97 3069
58 234 1124 492 1305 4777 47 19 648 103 96 1 482 102 2893
44 245 1114 489 1311 4848 56 46 624 160 111 NA 429 86 2824
