"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
70 262 1164 531 1479 5349 54 33 660 223 101 1 433 116 3353
70 273 1288 527 1544 5331 71 47 682 169 125 NA 398 101 3153
53 294 1224 522 1479 5372 51 44 721 202 94 NA 538 108 3381
44 243 1279 533 1648 5691 67 46 761 177 112 3 542 106 3181
64 248 1325 508 1733 5688 60 23 709 175 110 3 526 123 3060
43 251 1393 546 1738 5413 72 36 704 133 129 3 510 122 3165
38 247 1180 539 1538 5202 55 47 681 221 87 3 491 104 3029
48 262 1253 531 1564 5680 69 27 647 256 115 NA 501 94 3134
51 239 1232 519 1499 5621 69 21 733 185 114 1 530 108 3081
86 309 1096 571 1310 5363 86 29 745 131 111 NA 483 75 3032
74 197 1239 482 1378 5436 38 20 678 179 118 6 493 90 2902
92 220 1251 583 1537 5445 53 36 687 111 94 3 499 105 3141
95 222 1246 478 1424 5302 54 35 711 206 122 5 513 81 2882
60 218 1169 472 1493 5647 79 65 677 233 114 NA 568 84 3123
77 252 1333 557 1686 5534 47 47 688 188 109 1 548 103 3161
51 254 1274 558 1740 5395 72 33 663 202 99 1 465 86 3172
77 194 1123 565 1509 5547 54 49 631 242 97 NA 456 142 3231
64 238 1278 543 1654 5513 42 35 721 154 145 2 488 121 3205
69 218 1280 269 1564 5465 55 40 776 108 108 NA 479 123 3347
50 228 1168 474 1594 5409 41 20 689 153 85 1 513 122 3375
66 249 1194 532 1514 5217 74 33 649 127 117 5 501 119 3103
85 248 1262 482 1534 5479 51 65 706 152 120 1 519 120 2817
46 259 1067 484 1436 5390 106 26 671 177 143 NA 487 114 3264
50 238 1238 511 1707 5566 69 38 659 179 93 1 466 131 3111
47 224 1292 560 1536 5499 49 40 720 133 100 5 476 111 3185
61 227 1232 521 1640 5518 120 55 682 185 124 3 532 105 3136
82 243 1272 535 1543 5532 100 48 746 171 117 3 479 102 3082
51 234 1118 531 1490 5437 73 32 657 217 106 4 557 93 3189
62 252 1262 487 1534 5568 59 45 623 87 121 1 462 119 3050
67 213 1158 569 1695 5429 50 51 699 154 118 NA 495 117 3140
51 196 1176 481 1495 5560 47 36 709 149 108 3 509 101 3267
71 228 1294 540 1553 5327 75 33 692 187 93 1 467 111 3001
73 197 1093 532 1481 5388 51 36 652 197 77 1 538 83 3035
