"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
50 251 1241 547 1450 5522 60 47 725 177 112 543 83 2992 NA
76 252 1142 549 1561 5346 106 61 816 187 107 516 93 3195 NA
54 199 1272 501 1513 5580 55 39 664 109 104 498 123 3056 NA
65 252 1324 518 1554 5467 49 24 683 197 113 503 145 3181 2
68 190 1198 479 1631 5549 75 30 626 111 128 481 109 3062 NA
43 219 1235 540 1383 5367 82 36 649 146 104 510 107 3192 NA
58 225 1268 497 1550 5336 45 39 647 158 111 521 111 3234 NA
50 223 1301 510 1622 5491 66 33 667 192 110 447 124 3247 NA
147 259 1187 519 1569 5489 65 41 701 189 107 588 114 3025 NA
58 257 1302 515 1652 5438 51 53 671 354 99 491 80 3020 2
52 227 1280 501 1735 5365 84 35 783 248 134 506 117 3092 2
68 235 1299 567 1538 5284 145 41 645 142 104 509 117 2943 NA
75 256 1265 529 1522 5496 74 63 710 146 116 562 93 3248 NA
46 201 1237 494 1613 5547 96 20 717 227 117 502 124 3289 1
34 199 1052 460 1494 5636 58 32 669 135 107 566 99 3097 NA
51 247 1260 554 1658 5479 89 53 653 172 96 541 99 3173 NA
47 198 1252 481 1619 5457 72 48 669 137 122 526 107 2902 1
83 221 1394 463 1613 5538 46 42 682 263 116 533 107 3096 1
56 198 1241 492 1532 5310 76 32 689 151 99 539 117 3286 6
58 211 1243 523 1498 5436 50 37 698 186 106 509 104 3226 NA
80 277 1320 525 1652 5456 76 39 671 203 133 470 91 3133 3
56 212 1153 502 1456 5369 53 67 659 165 140 579 92 3090 NA
79 223 1246 530 1592 5368 66 43 728 202 90 494 101 3146 NA
45 277 1262 538 1521 5400 93 38 749 212 113 524 101 3090 1
91 227 1196 543 1466 5373 51 35 659 139 112 502 123 3239 1
73 211 1204 546 1532 5457 83 50 709 202 113 558 135 3211 5
33 193 1188 513 1641 5320 49 39 688 276 68 494 50 3110 NA
52 236 1227 534 1541 5398 74 41 723 191 88 521 129 3136 NA
64 249 1166 622 1669 5590 57 33 714 217 119 539 92 3009 1
61 226 1228 572 1618 5646 40 31 611 116 100 507 130 3388 4
56 238 1170 508 1583 5429 57 43 670 144 85 558 118 2924 1
94 235 1139 532 1498 5478 58 22 639 184 130 499 48 3147 2
48 216 1310 496 1536 5339 37 41 691 251 105 477 124 2895 2
74 243 1248 514 1599 5477 60 43 714 266 102 527 93 3043 2
51 261 1167 507 1522 5112 102 32 721 177 97 420 127 3141 1
91 229 1305 485 1671 5345 25 47 670 72 122 487 117 3178 1
52 245 1179 524 1613 5347 82 23 685 157 87 539 96 3251 3
41 224 1119 462 1546 5530 58 34 650 166 108 505 109 3076 NA
54 217 1251 464 1538 5341 83 36 661 238 90 528 115 3266 1
77 274 1379 518 1606 5607 71 25 698 159 117 574 104 3115 2
79 215 1279 565 1516 5407 58 41 657 222 81 514 101 3308 2
56 257 1299 561 1642 5412 79 40 693 180 97 419 115 2885 6
51 232 1157 542 1411 5595 89 28 723 191 121 488 115 3335 4
26 235 1108 503 1396 5284 47 24 690 206 96 473 94 3063 6
68 195 1222 572 1452 5503 85 37 749 153 60 561 136 3081 1
41 187 1236 432 1522 5332 67 46 776 208 112 462 82 3232 3
67 264 1254 523 1637 5590 87 18 753 268 122 536 93 3102 NA
91 252 1232 513 1645 5467 50 35 689 205 94 488 63 3152 6
77 270 1318 500 1532 5599 68 33 636 176 92 441 83 3159 NA
45 194 1239 517 1620 5581 70 48 737 182 88 476 122 2933 NA
81 253 1228 525 1530 5198 78 45 682 194 97 462 117 3058 1
71 259 1411 523 1568 5449 54 44 643 226 102 559 137 3082 1
21 233 1311 481 1641 5468 69 19 677 180 90 556 130 3242 3
54 236 1367 502 1637 5407 75 38 659 201 120 493 109 3119 2
73 319 1222 591 1683 5698 31 40 664 153 107 466 84 3279 NA
76 217 1122 501 1500 5305 66 36 710 170 104 461 101 3245 NA
38 269 1351 491 1620 5372 84 41 670 170 127 509 116 3229 2
63 260 1171 502 1567 5458 54 44 692 289 90 463 109 3077 1
46 201 1272 502 1523 5387 44 41 627 209 126 462 137 3278 NA
74 293 1213 527 1541 5496 86 34 700 134 123 465 93 3167 1
38 254 1277 520 1688 5579 65 44 719 143 107 515 83 3202 NA
48 258 1186 526 1668 5556 86 24 602 236 130 487 148 3225 1
55 227 1225 474 1570 5335 45 32 708 186 111 454 122 2907 3
66 233 1268 532 1602 5533 82 39 720 173 128 463 112 3215 NA
37 262 1368 569 1667 5384 57 50 704 114 108 493 97 3178 2
51 238 1321 497 1526 5429 32 59 670 141 129 541 129 2956 3
62 277 1330 511 1600 5550 103 20 709 240 121 482 133 3226 3
55 229 1258 529 1528 5314 50 33 688 169 57 489 121 3130 3
49 229 1237 516 1564 5529 83 31 617 185 115 473 126 3206 NA
53 222 1234 534 1615 5432 66 38 635 186 98 518 81 2942 1
74 203 1145 492 1489 5566 67 36 642 211 110 500 137 3127 4
50 251 1222 511 1756 5561 88 28 708 205 111 522 99 3409 1
44 231 1171 494 1515 5317 55 31 638 135 121 495 107 3136 2
68 247 1253 525 1562 5330 79 28 671 130 104 460 87 3177 4
94 274 1247 574 1567 5331 73 30 686 228 134 453 117 3195 1
45 194 1200 505 1596 5457 54 51 680 120 100 511 107 2902 1
90 244 1195 513 1447 5374 63 19 701 254 90 478 112 3040 2
39 204 1266 511 1500 5473 115 55 709 351 125 441 108 3113 NA
68 245 1277 494 1549 5426 90 35 695 164 106 530 119 3165 NA
65 207 1239 511 1641 5575 88 42 684 250 128 488 135 3238 1
69 269 1165 511 1627 5417 61 51 635 187 119 533 99 3231 1
95 202 1287 520 1677 5594 51 19 681 117 88 424 113 2876 6
89 260 1315 507 1582 5397 55 39 683 159 119 471 79 3032 1
90 248 1182 482 1597 5433 59 35 651 236 104 512 133 3050 NA
48 221 1256 509 1622 5594 78 45 691 202 149 529 114 3089 1
34 150 1168 519 1537 5578 52 49 685 133 131 564 100 3135 NA
51 251 1243 549 1602 5437 62 51 664 124 112 497 113 3109 2
73 275 1240 509 1626 5486 44 29 716 152 115 475 135 3346 8
94 239 1251 519 1597 5603 72 17 691 217 94 516 139 3072 1
22 128 1195 536 1594 5569 106 40 714 140 122 487 103 3069 1
46 216 1345 556 1688 5520 29 26 657 123 124 468 116 3071 NA
63 225 1307 513 1695 5454 63 54 756 161 127 479 99 3195 NA
56 276 1288 547 1633 5276 48 31 658 163 125 487 97 3298 1
54 215 1216 513 739 5616 56 31 679 172 146 514 109 3221 NA
50 242 1201 520 1441 5247 39 35 659 217 135 500 97 3161 2
56 259 1261 557 1595 5563 85 44 658 192 91 487 127 2887 2
50 239 1295 521 1550 5652 57 34 646 285 134 514 87 3038 1
51 246 1265 552 1675 5674 52 52 732 193 93 515 103 3152 4
59 193 1196 496 1460 5553 67 38 724 206 101 511 106 3148 NA
45 259 1322 478 1579 5338 62 17 752 261 95 536 124 3236 3
