"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
217 449 2248 1030 2457 18425 90 80 1250 254 124 1 650 131 5129
216 464 2249 1030 2460 18436 95 79 1264 245 125 1 659 129 5131
193 455 2244 1028 2473 18473 91 80 1254 249 130 1 660 133 5102
220 453 2230 1021 2431 18417 89 76 1237 250 132 2 649 134 5110
217 453 2257 1014 2469 18357 92 82 1264 246 121 1 655 137 5167
218 457 2264 1007 2459 18425 92 80 1238 241 130 1 653 145 5066
215 464 2268 1045 2480 18437 92 79 1241 242 129 1 649 140 5096
217 472 2249 1044 2463 18507 91 76 1250 252 121 1 667 143 5124
218 454 2269 1037 2468 18443 97 79 1246 248 140 2 652 133 5128
223 468 2258 1016 2461 18472 89 80 1259 236 130 1 646 141 5108
219 464 2255 1026 2472 18407 91 79 1236 237 127 1 654 129 5102
222 470 2273 1032 2506 18475 88 79 1255 241 129 1 660 135 5126
221 463 2262 1037 2464 18455 93 78 1256 242 122 1 651 140 5139
217 464 2271 1032 2491 18439 93 78 1254 248 125 1 652 131 5160
214 460 2253 1019 2457 18372 96 80 1271 264 130 1 655 141 5136
217 458 2268 1022 2455 18418 96 79 1257 248 127 1 659 134 5121
220 471 2244 1033 2459 18477 94 78 1243 262 131 1 652 140 5104
214 453 2247 1027 2479 18477 96 78 1259 243 125 1 650 129 5169
215 455 2267 1008 2495 18422 88 84 1248 237 129 1 657 140 5100
216 454 2235 1012 2455 18471 88 80 1265 243 118 2 646 137 5142
218 462 2264 1024 2491 18495 89 76 1248 241 135 1 670 141 5122
216 460 2229 1012 2444 18422 91 78 1251 264 132 1 659 134 5140
227 472 2266 1038 2479 18375 95 81 1249 259 128 1 650 131 5095
225 458 2257 1032 2461 18420 99 77 1245 241 125 2 648 139 5132
257 461 2273 1047 2505 18487 89 77 1262 239 122 2 636 138 5088
216 475 2272 1020 2490 18466 97 77 1251 236 138 1 648 143 5140
214 457 2250 1013 2459 18421 102 79 1254 238 126 1 670 136 5090
214 456 2262 1008 2484 18348 92 78 1251 235 124 1 659 136 5123
216 455 2244 1016 2470 18465 92 84 1266 249 126 1 669 133 5117
214 468 2279 1034 2488 18468 89 78 1270 243 125 1 639 135 5101
217 465 2258 1017 2480 18438 88 76 1249 241 129 1 326 135 5151
219 462 2268 1021 2488 18430 91 79 1233 246 124 1 663 140 5156
217 458 2241 1026 2424 18455 91 80 1247 246 122 2 654 152 5152
214 461 2256 1028 2468 18426 98 81 1260 257 125 1 338 149 5145
217 474 2272 1016 2502 18474 93 78 1237 245 126 1 666 136 5140
228 460 2225 1017 2446 18462 90 80 1257 243 121 2 648 134 5156
223 460 2254 1037 2455 18423 90 77 1247 239 125 1 656 139 5151
217 462 2247 1023 2466 18475 93 84 1260 306 139 1 660 143 5112
224 467 2246 1017 2443 18471 90 81 1250 249 139 1 665 137 5135
230 467 2264 1046 2498 18353 103 80 1253 236 142 1 657 142 5101
215 462 2230 1021 2467 18422 89 77 1249 233 131 1 648 137 5093
218 470 2257 1045 2469 18488 88 79 1255 264 120 1 650 134 5111
220 462 2258 1022 2482 18490 88 82 1211 246 124 1 646 136 5123
220 461 2267 1036 2482 18432 95 78 1252 235 126 1 651 133 5135
222 458 2276 1018 2507 18411 92 79 1253 224 123 1 666 135 5150
219 467 2257 1023 2464 18353 100 79 1287 236 132 2 655 129 5113
220 466 2249 1038 2452 18414 93 83 1263 233 131 2 654 139 5101
216 457 2275 1000 2469 18478 93 78 1247 241 129 2 663 137 5109
217 469 2240 1035 2455 18404 90 77 1252 244 127 1 644 129 5089
216 473 2255 1054 2454 18492 90 76 1248 235 119 1 642 140 5122
221 457 2237 1016 2462 18368 92 78 1237 247 145 1 653 130 5107
216 469 2245 1039 2467 18500 91 79 1254 248 121 1 650 136 5147
223 463 2255 1018 2464 18440 92 83 1262 246 135 1 665 135 5102
228 460 2244 1031 2458 18435 92 85 1239 253 125 1 659 136 5085
214 461 2243 1016 2445 18410 92 77 1236 235 120 1 643 133 5107
264 474 2250 1060 2464 18438 104 81 1243 237 123 1 663 138 5167
221 465 2293 1018 2480 18469 90 81 1248 238 127 2 651 135 5167
221 468 2242 1043 2457 18400 90 77 1261 245 129 1 661 142 5126
224 464 2248 1027 2468 18429 96 79 1249 243 121 1 650 136 5151
214 460 2236 1007 2442 18364 92 78 1254 235 132 1 649 136 5095
215 460 2245 1014 2446 18466 92 76 1250 244 128 1 657 136 5056
214 461 2269 1040 2495 18511 93 81 1245 235 127 1 646 133 5158
217 469 2282 1037 2486 18419 91 77 1264 241 129 1 660 141 5114
216 470 2264 1008 2467 18394 95 79 1237 237 125 1 640 140 5081
214 453 2238 1019 2449 18425 88 77 1236 238 126 NA 641 131 5113
216 464 2264 1024 2478 18401 104 82 1266 249 123 1 643 133 5077
220 450 2233 1018 2465 18420 88 77 1247 251 128 2 662 135 5098
217 464 2259 1012 2482 18481 93 77 1239 221 122 1 663 139 5102
217 455 2237 1005 2459 18402 92 79 1256 254 129 1 648 128 5123
216 462 2276 1020 2493 18416 90 80 1258 247 123 1 649 141 5101
220 454 2251 1010 2466 18483 91 77 1253 241 120 1 647 147 5135
212 456 2254 1021 2473 18407 89 80 1247 249 133 1 644 138 5108
222 470 2241 1023 2454 18463 95 79 1238 249 128 1 643 137 5128
