"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
45 173 808 349 892 7774 40 33 588 65 43 230 58 1775 NA
78 176 910 418 957 7351 34 27 481 131 51 222 46 1697 NA
74 176 814 395 885 7127 35 23 413 56 43 217 52 1770 1
103 195 899 386 1007 7176 49 42 532 92 44 214 52 1741 NA
103 160 878 389 952 7494 41 21 505 66 20 234 58 1734 NA
76 160 855 422 938 7190 37 29 475 91 42 211 40 1723 1
62 73 808 344 880 6936 29 25 453 105 32 199 41 1808 NA
44 166 836 376 922 7242 35 32 498 92 49 246 51 1801 NA
128 162 836 422 916 7313 38 37 478 113 49 232 52 1710 NA
57 171 820 367 886 7114 39 16 505 68 43 229 53 1769 NA
82 195 849 431 955 7457 28 35 478 101 42 239 18 1766 NA
81 187 869 409 940 7293 29 31 411 116 46 245 48 1774 NA
79 193 821 389 936 7277 60 43 485 153 52 232 53 1785 1
160 182 832 218 937 7308 37 24 481 113 52 221 48 1727 NA
95 185 852 395 931 7196 49 33 463 67 36 229 44 1715 1
59 169 860 400 919 7668 22 42 440 99 40 229 50 1783 NA
48 173 869 403 909 7296 43 29 479 113 52 247 52 1711 NA
111 190 874 394 932 6959 42 34 474 84 34 210 41 1729 1
147 203 864 385 943 7083 24 35 464 136 45 117 52 1732 NA
99 206 907 431 938 7203 16 30 476 59 50 248 47 1744 NA
96 180 870 408 913 7418 29 23 471 133 53 252 44 1818 NA
92 170 849 411 953 7356 40 39 432 113 52 243 40 1728 NA
58 193 908 377 978 7372 18 33 450 50 53 230 48 1764 1
94 180 863 420 923 7500 36 33 465 155 52 253 51 1760 NA
72 177 874 351 937 7335 42 15 505 83 45 228 24 1760 NA
73 166 862 428 923 7165 32 25 487 65 48 223 49 1757 1
108 197 816 412 907 7070 39 39 486 108 44 233 48 1777 1
76 171 845 377 947 7396 27 26 450 69 50 250 46 1687 1
91 177 797 418 884 7512 27 32 502 117 34 227 37 1757 NA
97 175 843 387 948 7091 49 33 516 64 42 233 25 1703 NA
83 192 815 431 892 7019 35 27 531 54 46 205 48 1751 NA
60 166 811 394 911 7323 28 23 519 131 45 232 53 1775 1
124 173 794 365 847 7099 22 25 500 68 41 237 49 1769 1
94 156 839 382 922 7169 28 29 409 66 48 256 44 1779 NA
75 197 799 421 899 7148 50 31 514 102 42 233 55 1752 1
90 147 771 346 868 7377 28 20 445 49 44 212 41 1735 NA
70 175 838 396 922 7342 39 21 480 138 48 232 46 1776 NA
128 183 839 418 930 7458 28 30 503 84 37 216 53 1767 1
38 152 830 337 892 7200 30 26 492 123 44 249 47 1734 NA
88 192 854 385 926 7250 31 26 458 33 49 210 54 1819 NA
91 171 798 418 863 7300 41 15 493 88 37 233 50 1799 1
104 178 858 381 988 7231 16 25 526 83 36 225 33 1781 NA
113 183 823 415 910 7161 32 38 494 87 51 242 62 1747 NA
78 170 801 400 887 7295 30 36 400 59 43 243 53 1724 1
51 177 844 378 917 7255 37 41 416 116 43 215 51 1783 NA
146 188 865 398 964 7242 28 28 455 69 45 271 59 1728 NA
50 200 861 422 899 7177 53 39 487 83 49 214 34 1792 NA
88 195 880 412 993 7222 26 29 481 75 47 244 50 1739 1
113 174 855 379 940 7102 46 30 546 75 45 214 49 1754 NA
19 141 831 349 913 7135 14 23 460 85 35 226 52 1768 1
48 154 819 356 905 7081 37 23 491 119 33 231 55 1736 NA
65 155 842 390 917 7416 47 38 450 111 43 248 46 1788 NA
122 182 853 423 942 7660 37 23 522 142 42 219 53 1839 1
163 171 878 401 957 7634 46 30 482 102 41 237 55 1765 NA
114 157 834 342 894 7256 27 32 459 77 48 241 54 1779 1
93 170 814 371 882 7071 46 32 451 101 42 219 51 1758 NA
74 148 854 380 927 7378 37 16 453 67 52 257 47 1710 NA
84 180 770 392 864 7142 33 30 470 65 44 242 52 1720 NA
65 158 826 392 911 7313 36 30 554 64 41 221 51 1755 1
64 178 828 352 923 7128 27 30 431 108 40 263 43 1765 NA
105 164 847 383 922 7229 35 34 525 96 40 231 48 1691 NA
68 139 850 332 931 7205 17 29 497 60 41 220 43 1691 NA
86 171 877 441 975 7502 36 36 455 61 38 237 41 1769 NA
44 173 876 339 923 7566 40 32 452 119 33 235 47 1847 1
140 189 817 437 916 7314 32 32 506 90 48 248 46 1777 NA
130 169 766 430 856 7167 45 19 486 78 44 245 49 1766 1
52 159 827 370 930 7418 32 23 509 56 45 217 51 1773 NA
99 213 855 438 938 7280 37 26 433 130 51 228 51 1705 1
70 195 883 399 965 7435 53 41 485 82 50 259 46 1784 NA
91 212 901 428 985 7195 33 42 506 128 42 232 50 1760 NA
55 163 831 375 896 7205 18 30 453 78 47 238 65 1755 1
117 181 888 424 934 7507 20 35 465 97 53 243 41 1741 NA
85 167 833 362 921 7295 20 19 454 126 45 224 54 1715 1
139 154 842 435 907 7478 38 33 587 60 44 232 50 1812 NA
59 153 888 326 924 7188 33 27 461 83 47 241 26 1804 NA
83 215 884 442 959 7307 21 25 415 108 38 234 39 1766 1
78 173 849 405 936 7070 25 25 489 62 37 227 52 1759 1
84 177 863 459 947 7168 36 27 494 163 50 252 25 1759 NA
120 193 822 402 900 6970 23 29 438 93 50 239 45 1712 1
74 180 847 412 917 7292 34 25 573 61 39 241 44 1765 1
63 192 864 397 951 7336 46 35 528 92 53 236 64 1729 1
51 168 820 354 912 7332 47 36 473 133 36 241 49 1868 NA
40 151 817 367 877 7381 44 34 501 80 46 241 37 1782 1
77 169 786 364 861 7519 39 20 517 119 46 240 56 1753 NA
79 167 831 438 937 7215 15 14 593 123 44 217 61 1740 1
69 144 817 371 890 7343 42 35 507 84 50 250 46 1818 NA
62 189 875 409 964 7447 10 39 520 123 44 228 43 1747 NA
133 194 831 428 931 7141 36 25 474 76 36 209 52 1732 NA
101 171 865 388 923 7408 29 31 412 126 49 242 56 1798 NA
56 164 846 378 931 7329 30 35 497 55 48 116 49 1777 1
93 161 850 410 922 7452 26 28 508 97 47 231 46 1767 NA
62 156 831 342 932 7212 26 24 475 121 35 233 52 1703 1
125 172 893 406 972 7174 37 34 471 78 42 239 48 1706 NA
56 185 865 406 967 7383 47 31 423 68 43 212 47 1714 1
19 149 832 364 924 7138 44 31 576 99 38 222 52 1830 1
80 170 816 330 880 7294 44 23 481 96 47 235 41 1746 NA
110 171 875 367 944 7108 51 39 522 130 57 248 46 1722 1
93 178 836 403 926 7293 32 29 512 64 39 120 39 1773 1
106 164 852 364 939 7376 46 27 508 115 48 235 61 1761 NA
97 159 827 383 966 7538 34 34 471 86 37 244 56 1813 1
