"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.0475 NA 0.9685 NA 24 5 24 4 2000 1.38
"2" "kukd" 305 0 0 1 NA 200 24 201 18 2000 1.52
"3" "kuku" 1719 0 0 1 NA 1140 57 1138 58 2000 1.51
"4" "pkd" 538 0 0 1 NA 407 29 409 22 2000 1.32
"5" "pku" 2067 0 0 1 NA 1536 95 1538 85 2000 1.35
"6" "pp" 6202 0 0 1 NA 4759 92 4757 90 2000 1.3
"7" "tdkd" 35 0.3855 NA 0.6785 NA 32 7 33 6 2000 1.09
"8" "tdku" 52 0.072 NA 0.9445 NA 37 10 37 9 2000 1.41
"9" "tdp" 545 0.1955 NA 0.813 NA 524 23 524 24 2000 1.04
"10" "tdtd" 44 0.6485 NA 0.408 NA 46 7 46 7 2000 0.96
"11" "tukd" 102 0.5755 NA 0.457 NA 104 13 104 12 2000 0.98
"12" "tuku" 1 0.6695 NA 0.6645 NA 1 2 1 1 2000 1
"13" "tup" 541 0.087 NA 0.9185 NA 493 40 493 34 2000 1.1
"14" "tutd" 114 0.646 NA 0.3795 NA 120 18 120 16 2000 0.95
"15" "tutu" 4146 0 0 1 NA 3043 104 3043 103 2000 1.36
