"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
24 178 1060 432 1433 4734 37 56 539 49 112 1 455 135 3297
30 212 1090 390 1405 4579 31 32 495 38 99 2 545 151 3093
27 191 1157 420 1621 4727 27 23 538 42 99 1 438 122 2885
24 198 1096 419 1567 4696 31 28 506 50 112 2 518 154 3057
24 218 1110 419 1474 4768 22 44 538 53 104 NA 521 105 3149
17 185 1224 400 1536 4680 38 30 539 47 94 NA 498 129 2886
23 216 1084 470 1637 4909 33 32 535 48 117 1 521 129 3063
30 197 1200 375 1540 4670 33 20 522 55 100 5 500 132 2934
19 175 1116 391 1564 4504 18 30 514 50 109 NA 510 96 3038
24 210 1166 439 1593 4706 34 36 496 54 112 1 423 118 3065
28 238 1126 409 1514 4782 37 29 548 31 109 NA 506 117 3182
29 173 1101 380 1600 4661 29 39 521 37 115 3 488 116 3291
22 237 1048 420 1394 4723 33 50 541 50 108 NA 602 128 3107
35 208 1217 422 1588 4601 32 43 495 45 127 3 490 108 2882
15 191 1219 386 815 4740 40 36 518 49 106 1 473 105 3008
25 179 1139 357 1376 4781 44 57 591 57 97 NA 490 112 2868
20 188 1037 397 1387 4664 32 31 514 36 109 5 503 145 3099
19 214 1146 414 1526 4670 13 42 532 37 109 8 466 158 2909
27 186 1163 422 1438 4849 36 20 530 44 111 1 451 126 3208
22 175 1082 420 1480 4626 31 45 529 47 104 2 481 127 2894
24 196 1059 374 1410 4693 31 35 550 53 49 NA 515 128 3114
26 223 1118 412 1458 4790 37 49 553 49 91 2 503 115 3203
21 197 1123 444 1466 4675 23 26 511 44 93 1 470 106 3191
20 170 1091 376 1442 4869 27 38 492 45 90 2 512 133 3002
19 186 1179 389 1569 4749 42 41 482 51 88 1 539 130 3234
27 207 1205 425 1549 4629 28 38 510 50 109 NA 455 111 2986
22 218 1165 408 1482 4801 15 51 536 49 100 1 474 122 3151
22 215 1034 410 1524 4700 29 21 536 62 115 NA 439 89 3155
28 194 1093 442 1528 4821 32 34 538 43 92 1 521 116 3255
22 196 1061 425 1442 4727 29 23 503 34 105 1 470 138 3118
23 211 1189 431 1519 4673 33 44 528 38 103 1 482 104 3009
28 218 1080 382 1614 4964 41 51 518 43 105 NA 511 95 2899
19 199 1195 404 1528 4775 18 33 487 50 106 1 488 127 3111
33 190 1051 402 1446 4743 41 43 531 46 113 NA 500 125 3095
29 209 1273 426 1650 4872 35 33 503 46 103 NA 529 148 3173
28 232 1268 393 1521 4748 22 23 503 52 123 1 484 142 2877
26 235 1129 413 1548 4897 27 32 476 38 48 1 517 108 2996
31 204 1071 436 1509 4859 33 39 501 46 84 NA 533 148 3220
27 182 1161 394 1611 4712 35 27 545 60 92 2 522 116 2906
29 207 1245 423 1615 4886 21 34 473 43 107 1 502 139 3218
26 222 1226 433 1681 4701 38 48 530 51 96 1 500 97 2977
20 219 1160 408 1523 4654 35 53 546 38 121 4 584 111 3007
20 176 1144 432 1424 4615 27 30 514 43 111 2 444 109 3212
22 209 1137 429 1530 4708 31 31 517 43 45 5 441 105 3327
28 226 1081 425 1656 4899 39 52 521 26 115 2 455 126 3006
22 159 1095 405 1497 4744 30 39 552 57 117 5 499 140 3206
27 211 1173 409 1530 4616 32 39 553 40 88 1 486 111 3051
20 196 1207 390 1501 4813 36 33 495 47 90 NA 560 126 2890
28 226 1220 400 1524 4690 28 52 516 36 107 NA 425 134 3158
28 214 1197 419 1575 4627 35 24 479 58 110 2 505 143 3031
