"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.04 NA 0.96 NA 23 4 22 4 50 1.43
"2" "kukd" 305 0 0 1 NA 203 20 204 21 50 1.5
"3" "kuku" 1719 0 0 1 NA 1137 55 1134 48 50 1.51
"4" "pkd" 538 0 0 1 NA 396 52 402 15 50 1.36
"5" "pku" 2067 0 0 1 NA 1520 88 1522 86 50 1.36
"6" "pp" 6202 0 0 1 NA 4745 89 4753 76 50 1.31
"7" "tdkd" 35 0.36 NA 0.72 NA 32 8 32 7 50 1.09
"8" "tdku" 52 0.0600000000000001 NA 0.94 NA 36 9 37 6 50 1.44
"9" "tdp" 545 0.26 NA 0.74 NA 529 24 528 24 50 1.03
"10" "tdtd" 44 0.58 NA 0.46 NA 46 8 45 8 50 0.96
"11" "tukd" 102 0.66 NA 0.34 NA 105 13 106 14 50 0.97
"12" "tuku" 1 0.66 NA 0.64 NA 1 2 1 1 50 1
"13" "tup" 541 0.0600000000000001 NA 0.94 NA 485 35 486 30 50 1.12
"14" "tutd" 114 0.76 NA 0.28 NA 124 15 124 13 50 0.92
"15" "tutu" 4146 0 0 1 NA 3046 99 3039 96 50 1.36
