"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
32 211 1152 435 1556 4722 37 11 492 39 111 471 110 3233 NA
22 206 1099 389 1583 4837 25 29 531 57 95 454 119 3115 3
18 186 1141 435 1456 4615 33 15 512 38 103 553 109 3018 2
30 169 1152 203 1632 4932 30 36 496 58 87 493 128 3115 3
27 197 1148 433 1377 4689 16 36 521 40 100 515 107 2883 NA
23 180 1186 430 1548 4763 28 39 487 52 113 502 97 2917 NA
23 191 1168 446 1583 4832 27 53 525 47 91 498 148 3250 1
15 188 1199 424 1605 4849 41 27 529 49 95 518 149 3028 NA
21 182 1067 414 1609 4877 35 42 547 36 97 475 143 2931 NA
28 218 1131 419 1531 4806 36 27 520 37 117 448 120 3140 NA
25 220 1083 407 1484 4728 42 48 530 44 103 412 110 3085 1
20 208 1144 411 1535 4766 35 45 556 49 108 539 125 3118 NA
26 226 1183 443 1588 4780 35 45 539 39 114 529 100 2915 NA
26 180 1116 404 1642 4869 37 38 543 47 100 543 120 3057 8
26 193 1120 372 1435 4748 31 59 518 49 97 514 107 3214 NA
13 187 1107 398 1524 4734 31 46 530 51 105 472 149 3010 4
20 200 1061 415 1428 4659 35 36 534 49 99 423 100 3126 NA
35 219 1080 407 1576 4800 23 35 513 34 87 458 112 3091 NA
27 183 1135 377 1563 4692 35 37 584 52 104 610 103 3195 4
20 194 1344 395 1677 4839 33 30 540 49 117 490 115 3200 NA
27 176 1152 396 1447 4627 33 17 549 58 84 456 127 3130 2
23 205 1149 431 1518 4718 42 50 539 34 130 482 119 3062 1
30 214 1183 439 1693 4778 29 33 507 53 120 484 127 3022 1
21 213 1145 406 1576 4689 13 17 515 57 100 509 92 2906 3
32 209 1206 404 1562 4807 25 12 523 47 113 555 111 3125 3
21 146 1175 345 1497 4602 36 41 558 51 102 468 117 3185 3
20 191 1132 389 1495 4636 45 46 556 45 101 488 93 3187 4
25 229 1044 409 1558 4726 33 36 495 48 90 504 107 2813 NA
24 178 1160 370 1558 4838 37 49 501 43 123 235 117 2928 4
30 233 1052 424 1432 4630 35 30 519 49 104 514 108 3140 1
24 231 1187 411 1422 4840 25 39 541 39 106 487 120 3103 1
26 229 1204 417 1560 4690 30 46 511 52 105 498 121 3275 NA
24 178 1257 397 1652 4791 35 36 503 41 100 514 138 3070 1
23 226 1161 420 1454 4545 25 37 535 47 96 498 96 2956 NA
26 208 1062 393 1481 4692 35 34 509 50 106 500 105 3095 NA
17 238 1125 443 1530 4719 45 33 511 55 102 507 152 2993 4
25 206 1163 459 1692 4815 38 29 508 35 106 505 121 3064 NA
14 196 1056 389 1436 4519 36 44 543 48 111 514 108 2998 1
25 206 1218 375 1658 4653 28 18 550 41 102 493 93 3107 NA
25 199 1167 417 1559 4768 31 28 543 29 106 449 109 2892 4
26 223 1083 410 1541 4901 35 41 533 46 96 503 134 2831 1
19 209 1086 403 1608 4669 31 45 495 48 109 520 115 3156 NA
26 191 1108 369 1531 4806 34 44 541 52 99 467 136 3091 NA
29 203 1119 434 1574 4728 29 40 527 46 96 378 111 2926 2
25 200 1261 392 1718 4853 21 25 500 38 109 500 143 3171 5
23 199 1152 418 1608 4797 32 32 551 46 88 526 161 3030 1
26 199 1104 408 1538 4712 28 46 537 50 122 562 124 3107 1
28 216 1151 435 1493 4755 34 43 564 50 89 493 129 2989 1
24 88 1134 375 1585 4770 29 34 518 33 105 531 133 3057 1
28 212 1204 444 1541 4774 34 49 586 42 108 512 132 3177 1
