"motif_type" "counts" "total_count"
"others" 2 118
"others" 3 49
"others" 4 14
"others" 5 7
"others" 6 7
"others" 7 5
"others" 8 3
"others" 9 1
"others" 10 2
"others" 11 1
"others" 12 3
"others" 13 2
"others" 14 3
"others" 20 1
"others" 22 1
"others" 24 1
"others" 31 1
"others" 32 1
"others" 47 1
"protein_complexes" 2 916
"protein_complexes" 3 500
"protein_complexes" 4 302
"protein_complexes" 5 235
"protein_complexes" 6 192
"protein_complexes" 7 148
"protein_complexes" 8 105
"protein_complexes" 9 90
"protein_complexes" 10 67
"protein_complexes" 11 61
"protein_complexes" 12 53
"protein_complexes" 13 48
"protein_complexes" 14 38
"protein_complexes" 15 31
"protein_complexes" 16 15
"protein_complexes" 17 18
"protein_complexes" 18 13
"protein_complexes" 19 7
"protein_complexes" 20 7
"protein_complexes" 21 5
"protein_complexes" 23 2
"protein_complexes" 24 2
"protein_complexes" 25 1
"protein_complexes" 26 1
"protein_complexes" 31 1
"protein_complexes" 34 1
"protein_complexes" 60 1
"protein_complexes" 88 1
"regulatory_triplets" 2 306
"regulatory_triplets" 3 49
"regulatory_triplets" 4 28
"regulatory_triplets" 5 15
"regulatory_triplets" 6 2
"regulatory_triplets" 7 3
"regulatory_triplets" 8 3
"regulatory_triplets" 9 5
"regulatory_triplets" 10 1
"regulatory_triplets" 11 2
"regulatory_triplets" 12 5
"regulatory_triplets" 13 3
"regulatory_triplets" 14 2
"regulatory_triplets" 15 2
"regulatory_triplets" 16 2
"regulatory_triplets" 18 2
"regulatory_triplets" 28 1
"regulatory_triplets" 30 1
"signaling_triplets" 2 315
"signaling_triplets" 3 99
"signaling_triplets" 4 40
"signaling_triplets" 5 22
"signaling_triplets" 6 7
"signaling_triplets" 7 4
"signaling_triplets" 8 2
"signaling_triplets" 9 1
"signaling_triplets" 10 2
"signaling_triplets" 11 1
"signaling_triplets" 12 1
"signaling_triplets" 14 1
"signaling_triplets" 15 1
"signaling_triplets" 16 2
"signaling_triplets" 25 1
