"group" "motif_type" "counts" "total_count"
"1" "others" 2 55
"1" "others" 3 30
"1" "others" 4 7
"1" "others" 5 7
"1" "others" 6 2
"1" "others" 8 2
"1" "others" 9 3
"1" "others" 12 1
"1" "others" 13 1
"1" "others" 15 2
"1" "others" 16 1
"1" "protein_complexes" 2 394
"1" "protein_complexes" 3 78
"1" "protein_complexes" 4 27
"1" "protein_complexes" 5 11
"1" "protein_complexes" 6 6
"1" "protein_complexes" 7 1
"1" "protein_complexes" 8 1
"1" "protein_complexes" 12 1
"1" "regulatory_triplets" 2 166
"1" "regulatory_triplets" 3 27
"1" "regulatory_triplets" 4 17
"1" "regulatory_triplets" 5 4
"1" "regulatory_triplets" 6 2
"1" "regulatory_triplets" 7 2
"1" "regulatory_triplets" 8 1
"1" "regulatory_triplets" 11 1
"1" "regulatory_triplets" 22 1
"1" "regulatory_triplets" 28 1
"1" "signaling_triplets" 2 223
"1" "signaling_triplets" 3 40
"1" "signaling_triplets" 4 12
"1" "signaling_triplets" 5 2
"1" "signaling_triplets" 6 3
"1" "signaling_triplets" 8 1
"1" "signaling_triplets" 9 2
"1" "signaling_triplets" 10 1
"1" "signaling_triplets" 13 1
"2" "others" 2 75
"2" "others" 3 12
"2" "others" 4 8
"2" "others" 5 8
"2" "others" 6 4
"2" "others" 7 2
"2" "others" 8 2
"2" "others" 9 1
"2" "others" 10 2
"2" "others" 11 1
"2" "others" 12 1
"2" "others" 14 2
"2" "others" 21 1
"2" "protein_complexes" 2 414
"2" "protein_complexes" 3 70
"2" "protein_complexes" 4 17
"2" "protein_complexes" 5 6
"2" "protein_complexes" 6 4
"2" "protein_complexes" 7 2
"2" "protein_complexes" 8 2
"2" "protein_complexes" 9 1
"2" "regulatory_triplets" 2 185
"2" "regulatory_triplets" 3 26
"2" "regulatory_triplets" 4 5
"2" "regulatory_triplets" 5 2
"2" "regulatory_triplets" 6 1
"2" "regulatory_triplets" 8 1
"2" "regulatory_triplets" 12 1
"2" "signaling_triplets" 2 237
"2" "signaling_triplets" 3 40
"2" "signaling_triplets" 4 14
"2" "signaling_triplets" 5 1
"2" "signaling_triplets" 6 1
"2" "signaling_triplets" 7 1
"2" "signaling_triplets" 8 1
"2" "signaling_triplets" 12 1
"3" "others" 2 67
"3" "others" 3 21
"3" "others" 4 10
"3" "others" 5 2
"3" "others" 6 3
"3" "others" 7 3
"3" "others" 8 1
"3" "others" 9 1
"3" "others" 10 1
"3" "others" 12 2
"3" "others" 13 1
"3" "others" 15 2
"3" "others" 37 1
"3" "protein_complexes" 2 418
"3" "protein_complexes" 3 70
"3" "protein_complexes" 4 19
"3" "protein_complexes" 5 5
"3" "protein_complexes" 6 7
"3" "protein_complexes" 7 1
"3" "protein_complexes" 9 1
"3" "regulatory_triplets" 2 186
"3" "regulatory_triplets" 3 26
"3" "regulatory_triplets" 4 8
"3" "regulatory_triplets" 5 3
"3" "regulatory_triplets" 7 2
"3" "regulatory_triplets" 16 1
"3" "signaling_triplets" 2 205
"3" "signaling_triplets" 3 47
"3" "signaling_triplets" 4 18
"3" "signaling_triplets" 5 5
"3" "signaling_triplets" 6 1
"3" "signaling_triplets" 17 1
"4" "others" 2 60
"4" "others" 3 15
"4" "others" 4 5
"4" "others" 5 7
"4" "others" 6 1
"4" "others" 7 2
"4" "others" 8 3
"4" "others" 9 2
"4" "others" 10 2
"4" "others" 11 1
"4" "others" 12 1
"4" "others" 19 1
"4" "others" 20 1
"4" "others" 39 1
"4" "protein_complexes" 2 440
"4" "protein_complexes" 3 79
"4" "protein_complexes" 4 19
"4" "protein_complexes" 5 7
"4" "protein_complexes" 6 7
"4" "protein_complexes" 7 3
"4" "protein_complexes" 9 2
"4" "protein_complexes" 21 1
"4" "regulatory_triplets" 2 189
"4" "regulatory_triplets" 3 28
"4" "regulatory_triplets" 4 8
