"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
"1" 22 197 1237 408 1575 4829 30 41 509 44 115 3 491 101 3220
"2" 22 209 1202 418 1464 4834 38 41 504 38 112 5 508 92 2987
"3" 22 183 1094 400 1591 4814 24 35 562 55 106 NA 509 129 3000
"4" 36 185 1079 413 1512 4849 31 33 525 40 107 6 509 131 3162
"5" 28 198 1155 430 1603 4880 45 47 516 41 104 1 469 122 3000
"6" 28 199 1137 419 1529 4754 36 46 546 57 84 NA 463 161 2885
"7" 21 253 1123 462 1493 4683 15 54 482 47 90 5 511 101 2839
"8" 36 247 1075 378 1597 4855 34 49 526 53 103 2 506 105 3119
"9" 19 220 1110 413 1661 4991 18 27 507 44 95 NA 550 124 3008
"10" 28 215 1197 399 1575 4721 35 35 501 49 107 NA 501 143 3087
"11" 26 202 1208 419 1629 4823 15 41 557 54 87 NA 463 117 2963
"12" 27 240 1196 393 1498 4732 28 35 551 41 114 3 420 109 3058
"13" 25 243 1125 504 1695 4803 25 44 508 51 80 2 470 110 3163
"14" 25 221 1138 420 1646 4719 36 37 523 51 103 4 500 118 2928
"15" 25 186 1103 423 1499 4697 30 28 502 39 132 NA 476 122 3037
"16" 21 188 1104 394 1566 4703 20 29 530 43 106 2 505 139 2861
"17" 21 195 1157 407 1505 4818 15 49 508 45 99 1 465 152 3025
"18" 28 226 1116 421 1467 4774 42 34 521 34 99 1 459 153 3099
"19" 18 205 1122 396 1452 4830 39 35 563 53 90 5 541 94 2952
"20" 17 231 1103 430 1519 4726 27 28 524 46 88 1 456 118 3181
"21" 25 198 1137 426 1549 4796 39 44 489 47 85 NA 428 117 2996
"22" 19 232 1193 414 1618 4560 36 40 535 49 96 7 524 121 3062
"23" 20 195 1117 419 1503 4796 34 58 510 41 103 2 493 143 2994
"24" 23 196 1117 362 1588 4857 25 47 525 48 98 NA 577 54 3030
"25" 26 206 1177 392 1527 4894 23 31 598 58 111 4 498 157 2983
"26" 22 193 1268 400 1682 4852 38 16 508 44 91 2 486 118 3027
"27" 24 210 1226 411 1627 4827 27 51 524 45 89 1 514 115 2993
"28" 22 207 1087 426 1636 4871 19 48 511 50 84 4 522 142 3065
"29" 26 215 1086 416 1461 4744 36 32 497 34 118 3 460 98 2966
"30" 24 203 1179 427 1491 4638 41 25 500 52 102 1 487 97 3017
"31" 22 192 1272 426 1602 4752 24 45 467 54 103 1 571 122 3174
"32" 25 223 1148 377 1550 4659 30 30 517 43 121 3 461 107 2940
"33" 29 208 1150 435 1579 4898 28 48 535 47 140 6 544 116 3135
"34" 14 226 1178 400 1561 4692 16 26 501 42 115 NA 479 98 3138
"35" 16 191 1281 393 1755 4783 18 42 500 53 99 1 576 120 3065
"36" 22 191 1110 394 1456 4565 29 40 492 52 120 NA 517 107 3261
"37" 22 196 1087 404 1410 4594 29 23 494 30 88 NA 479 107 3009
"38" 20 186 1136 432 1635 4701 33 35 569 41 99 1 497 122 2966
"39" 15 154 1119 390 1567 4744 41 34 546 40 111 NA 512 119 2938
"40" 16 213 1118 410 1501 4830 31 25 555 54 108 NA 480 147 2886
"41" 23 223 1198 441 1622 4822 32 38 535 42 83 1 500 127 3029
"42" 25 188 1229 442 1580 4751 36 43 560 43 113 2 537 138 3022
"43" 18 220 1128 427 1525 4838 32 37 514 41 101 2 526 130 2848
"44" 15 182 1098 406 1462 4797 25 29 506 37 105 8 480 114 2919
"45" 17 208 1241 375 1492 4742 39 47 557 51 110 1 548 126 3168
"46" 26 213 1200 405 1534 4747 30 40 534 47 107 NA 547 106 3030
"47" 19 202 1090 386 1541 4876 29 22 468 49 95 1 468 145 3140
"48" 22 186 1117 420 1553 4703 38 56 523 60 120 1 476 129 2885
"49" 24 204 1103 433 1494 4855 31 34 529 49 113 1 508 109 2905
"50" 27 184 1173 413 1541 4841 32 32 510 50 73 1 491 111 3236
"51" 21 178 1218 389 1475 4674 42 35 545 54 112 NA 482 99 3193
"52" 25 238 1258 404 1599 4731 40 34 471 46 94 7 539 111 2982
"53" 22 185 1067 413 1434 4789 28 58 504 48 113 NA 499 114 3002
"54" 30 191 1100 440 1495 4631 31 38 535 41 119 NA 431 117 3145
"55" 28 214 1135 372 1559 4652 39 38 519 47 101 NA 528 115 2894
"56" 27 193 1244 413 1729 4900 37 49 507 47 106 NA 490 128 3222
"57" 24 190 1051 394 1342 4706 31 32 539 44 101 1 472 111 3195
"58" 27 233 1162 394 1583 4696 34 39 512 47 95 NA 478 152 2996
"59" 21 182 1045 408 1446 4762 27 42 518 48 102 NA 489 136 3093
"60" 18 189 1047 406 1496 4811 40 33 544 47 107 4 460 119 3017
"61" 22 187 1174 372 1487 4814 27 28 505 42 84 NA 428 128 3136
"62" 30 195 1150 393 1553 4816 37 51 537 52 126 2 258 95 3079
"63" 23 221 1079 414 1577 4832 32 20 501 37 108 3 461 155 3069
"64" 22 205 1150 384 1700 4824 39 39 513 56 112 NA 491 118 3042
"65" 22 196 1101 413 1685 4749 36 42 534 44 104 NA 449 122 3083
"66" 24 218 1108 430 1518 4721 29 27 545 45 98 2 526 120 3043
"67" 17 180 1184 410 1591 4681 40 21 526 55 108 3 582 120 3039
"68" 27 189 1138 443 1633 4937 42 38 558 35 105 NA 530 121 2889
"69" 28 247 1220 446 1632 4911 28 42 534 46 103 1 584 112 3015
"70" 22 189 1201 388 1552 4693 20 29 525 47 118 NA 451 100 2813
"71" 24 218 1091 416 1561 4832 29 26 463 42 94 1 480 99 3133
"72" 21 215 1117 442 1481 4893 36 29 522 41 47 1 483 123 3067
"73" 22 203 1077 405 1449 4655 33 36 559 39 96 1 515 149 3025
"74" 25 191 1183 400 1606 4713 18 50 567 58 117 1 511 137 3090
"75" 16 208 1170 405 1540 4820 35 42 513 56 87 3 509 101 3200
"76" 33 218 1108 402 1554 4739 35 42 536 37 96 1 478 107 2917
"77" 26 221 1197 434 1518 4635 32 44 540 46 100 1 523 120 2985
"78" 27 186 1229 366 1548 4739 20 40 528 42 117 NA 492 115 3168
"79" 25 239 1139 463 1560 4761 31 48 535 45 121 2 516 123 3094
"80" 25 220 1130 412 1500 4681 30 33 500 57 112 6 510 115 2897
"81" 25 209 1045 370 1497 4643 22 34 539 42 98 1 528 146 3098
"82" 23 179 1178 379 1538 4736 24 52 549 39 103 3 471 114 2858
"83" 19 172 1120 392 1482 4564 42 41 537 51 137 NA 525 172 3257
"84" 23 186 1119 401 1477 4850 17 31 556 59 112 1 521 127 3114
"85" 25 202 1132 403 1508 4646 26 39 549 42 112 9 475 122 3052
"86" 21 211 1166 412 1584 4667 35 53 531 48 87 2 544 167 3245
"87" 29 240 1067 426 1543 4872 25 23 526 43 129 1 547 119 3099
"88" 18 214 1130 410 1595 4666 42 38 478 49 110 NA 491 128 3024
"89" 26 189 1062 425 1422 4737 31 45 560 39 99 NA 459 84 3038
"90" 27 98 1081 378 1525 4900 34 43 527 49 113 3 540 115 3210
"91" 32 199 1138 449 1579 4771 29 33 556 39 117 5 514 137 3031
"92" 20 198 1135 383 1501 4753 39 37 557 37 96 1 541 112 3081
"93" 23 221 1126 399 1565 4658 30 34 525 44 123 1 555 115 3287
"94" 22 209 1127 427 1402 4772 36 27 512 56 107 1 496 108 3233
"95" 25 212 1095 403 1525 4638 26 30 522 41 94 1 485 111 3178
"96" 27 225 1195 417 1576 4676 41 35 547 45 121 2 544 102 3127
"97" 25 223 1085 432 1555 4692 37 29 485 49 103 NA 445 123 3204
"98" 28 207 1161 383 1493 4734 36 38 511 51 96 NA 537 119 3295
"99" 26 194 1244 401 1555 4759 25 35 572 43 112 1 439 125 3037
"100" 27 205 1181 441 1678 4745 19 39 540 52 122 NA 454 112 3122
"101" 30 241 1117 424 1593 4823 39 57 576 40 106 NA 461 127 2977
"102" 30 218 1201 404 1524 4681 47 38 508 51 114 4 533 143 3137
"103" 18 188 1166 395 1696 4724 30 47 545 55 107 NA 485 141 3142
"104" 23 205 1072 379 1395 4866 32 40 540 35 104 1 539 113 3059
"105" 23 161 1110 391 1574 4823 31 29 515 42 117 NA 484 127 3096
"106" 24 222 1025 443 1375 4742 28 38 551 41 81 1 466 116 3051
"107" 22 210 1216 420 1587 4646 35 42 514 54 108 5 365 110 3155
"108" 27 221 1118 429 1542 4809 37 44 534 51 134 3 530 92 2933
"109" 32 199 1157 395 1714 4619 35 41 516 44 99 2 506 146 3072
"110" 25 187 1076 397 1530 4741 40 54 486 49 114 1 490 100 3185
"111" 24 183 1149 383 1545 4812 24 37 560 49 102 2 485 129 3097
"112" 23 194 1192 399 1595 4796 43 45 566 60 110 NA 509 134 3193
"113" 21 172 1061 415 1454 4778 31 39 525 50 103 5 572 127 3070
"114" 19 176 1147 397 1600 4678 38 36 463 48 96 1 494 83 3120
"115" 36 246 1100 438 1495 4647 35 37 529 41 139 1 567 88 3146
"116" 27 219 1083 408 1484 4666 40 14 516 42 109 NA 505 138 2980
"117" 27 184 1150 384 1375 4536 32 29 500 43 109 1 454 127 3047
"118" 27 208 1146 203 1567 4707 35 40 540 54 103 2 513 143 3082
"119" 26 206 1088 437 1432 4639 23 22 469 37 102 8 495 85 2929
"120" 29 198 1236 446 1814 4879 23 31 556 53 109 NA 470 111 3043
"121" 26 209 1118 426 1533 4765 42 31 516 52 108 NA 502 153 3047
"122" 28 210 1225 447 1538 4747 39 49 513 43 107 NA 472 124 3010
"123" 21 191 1122 424 1578 4779 22 41 509 47 92 NA 476 123 3047
"124" 25 207 1123 402 1371 4619 40 40 516 44 122 2 475 110 2914
"125" 25 194 1150 437 1506 4568 35 30 527 53 97 NA 467 140 3005
"126" 28 217 1143 438 1485 4828 35 47 469 40 76 NA 528 130 3119
"127" 21 181 1124 389 1508 4851 24 39 540 38 100 NA 482 113 3093
"128" 26 217 1144 373 1603 4882 41 35 511 44 106 1 486 122 2956
"129" 30 222 1173 395 1534 4755 33 34 504 47 93 NA 566 105 3065
"130" 20 167 1072 403 1496 4725 40 40 562 48 109 1 504 169 3099
"131" 25 219 1094 412 1521 4738 31 35 510 51 94 1 510 133 2961
"132" 22 194 1145 403 1615 4624 42 48 506 53 96 6 540 102 3116
"133" 39 254 1091 412 1547 4694 35 22 555 44 101 NA 513 150 3142
"134" 28 206 1163 393 1516 4744 31 38 504 40 104 1 460 105 3062
"135" 17 178 1081 422 1487 4825 34 38 592 47 84 NA 539 133 2838
"136" 22 186 1127 362 1605 4753 23 18 567 36 85 1 479 118 3006
"137" 24 206 1039 392 1405 4590 23 38 528 51 111 NA 538 111 2711
"138" 21 213 1079 431 1521 4739 38 18 505 49 112 2 549 114 2994
"139" 27 210 1182 400 1393 4505 39 27 555 50 96 1 495 126 3139
"140" 27 195 1164 388 1502 4850 29 25 528 43 104 1 447 107 3073
"141" 24 183 1073 396 1514 4651 16 41 535 43 120 NA 493 128 3276
"142" 22 172 1075 398 1525 4760 26 39 462 51 113 NA 478 94 2991
"143" 23 220 1206 400 1618 4776 16 30 516 37 95 6 445 133 3057
"144" 23 202 1121 420 1509 4705 39 48 489 47 121 1 491 101 3038
"145" 20 100 1143 415 1440 4564 39 66 519 51 111 NA 564 117 3169
"146" 40 199 1119 417 1499 4788 43 20 522 47 89 1 524 114 2983
"147" 26 196 1102 415 1597 4761 27 51 541 50 94 1 475 104 2931
"148" 23 205 1149 389 1546 4677 30 26 484 36 90 1 461 114 3035
