"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.1 NA 0.94 NA 23 5 22 4 50 1.43
"2" "kukd" 305 0 0 1 NA 202 26 206 21 50 1.51
"3" "kuku" 1719 0 0 1 NA 1138 57 1134 53 50 1.51
"4" "pkd" 538 0 0 1 NA 407 33 409 21 50 1.32
"5" "pku" 2067 0 0 1 NA 1528 77 1524 79 50 1.35
"6" "pp" 6202 0 0 1 NA 4742 87 4748 72 50 1.31
"7" "tdkd" 35 0.38 NA 0.66 NA 33 6 33 6 50 1.06
"8" "tdku" 52 0.1 NA 0.92 NA 36 10 37 7 50 1.44
"9" "tdp" 545 0.16 NA 0.84 NA 524 19 522 21 50 1.04
"10" "tdtd" 44 0.66 NA 0.42 NA 48 8 48 9 50 0.92
"11" "tukd" 102 0.48 NA 0.58 NA 103 10 101 10 50 0.99
"12" "tuku" 1 0.66 NA 0.74 NA 1 2 1 1 50 1
"13" "tup" 541 0.04 NA 0.96 NA 488 48 491 28 50 1.11
"14" "tutd" 114 0.66 NA 0.36 NA 121 16 122 16 50 0.94
"15" "tutu" 4146 0 0 1 NA 3037 99 3046 109 50 1.37
