"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tuku"
30 215 1115 442 1504 4704 31 47 526 54 96 453 135 3048 NA
21 202 1125 410 1483 4878 31 32 536 58 104 497 133 2993 3
28 205 1058 375 1401 4711 27 33 509 45 106 470 143 3012 3
27 169 1049 376 1523 4712 28 27 516 47 87 493 135 2971 NA
22 199 1174 430 1529 4699 38 23 473 35 95 517 144 3117 3
30 197 1117 363 1483 4672 36 38 528 51 91 479 91 3152 1
27 221 1143 428 1532 4729 20 14 488 41 83 521 88 3009 1
24 183 1103 393 1531 4747 39 64 552 53 88 469 128 3257 2
36 207 1124 427 1539 4728 37 36 508 55 99 520 120 2884 1
21 206 1125 423 1443 4640 33 56 524 45 115 456 92 2950 1
23 204 1112 395 1551 4658 31 27 488 53 115 492 126 3053 NA
20 199 1199 418 1710 4826 35 40 511 53 117 463 105 3053 2
25 185 1096 443 1487 4710 45 40 528 44 115 527 138 3099 2
23 204 1168 440 1564 4925 32 26 544 48 97 538 115 2983 2
30 188 1124 419 1462 4783 30 42 513 42 126 517 101 3019 1
21 205 1131 413 1544 4715 29 30 500 38 106 544 103 3068 2
21 180 1118 370 1520 4744 37 28 504 39 133 410 145 2888 2
20 231 1112 410 1505 4592 39 26 505 53 103 487 127 3114 NA
26 198 1151 427 1630 4909 31 31 550 48 109 498 156 3036 NA
25 204 1212 408 1554 4804 34 50 544 52 109 537 109 3117 1
15 205 1143 414 1522 4694 41 30 486 41 111 563 112 3172 NA
25 224 1152 423 1494 4780 39 45 520 58 123 426 114 2911 NA
30 200 1103 425 1608 4916 30 19 538 59 109 509 115 3025 2
21 208 1103 414 1300 4558 27 26 491 52 99 513 100 2879 NA
25 190 1172 414 1518 4591 46 37 556 48 88 436 130 3197 2
23 183 1055 394 1501 4763 31 38 486 45 107 491 109 3046 NA
20 164 1044 384 1509 4764 22 56 551 42 95 474 112 3106 1
34 189 1140 388 1531 4809 23 40 534 51 78 509 115 2938 1
30 203 1081 412 1754 4868 49 29 545 52 112 466 105 3118 NA
26 190 1106 405 1355 4649 28 36 532 45 112 528 112 3095 1
33 188 1143 384 1568 4835 31 43 517 34 120 465 144 3194 1
16 196 1051 444 1547 4770 23 28 537 44 103 503 132 3069 NA
31 198 1224 416 1677 4834 34 58 496 34 133 485 100 2906 3
17 187 1065 387 1464 4705 44 58 556 37 107 431 136 3078 1
29 187 1316 431 1615 4556 34 25 491 54 102 507 154 3162 1
23 202 1089 421 1491 4723 42 49 491 50 93 443 101 3151 1
28 189 1124 384 1484 4643 17 41 543 37 106 546 106 2904 4
23 210 1233 393 1465 4673 32 49 518 47 99 480 98 2943 1
29 201 1135 445 1479 4773 37 32 489 49 107 568 129 3022 9
28 190 1083 395 1438 4815 25 34 524 43 99 525 123 3055 4
23 202 1094 392 1576 4650 38 37 542 36 100 492 127 2874 1
25 220 1203 406 1485 4696 30 37 526 52 95 523 106 3087 1
20 184 1124 389 1380 4760 30 49 547 47 85 521 118 3040 NA
22 180 1190 395 1537 4730 13 55 523 40 105 509 136 3101 5
22 202 1071 422 1584 4620 39 38 503 51 94 476 126 2933 NA
19 202 1123 417 1475 4712 30 32 562 40 131 536 123 3128 1
28 210 1128 413 1679 4898 41 39 528 51 96 517 111 3195 1
30 187 987 383 1325 4800 43 37 555 50 113 565 99 3187 2
31 184 1123 417 1509 4836 32 36 563 52 95 509 139 2913 1
26 218 1255 405 1501 4688 33 52 524 35 122 492 117 2976 8
