"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tdtd" "tukd" "tuku" "tup" "tutd" "tutu"
25 192 1128 395 1378 4697 26 40 521 49 109 7 517 135 3064
25 213 1180 389 1498 4728 44 46 509 46 88 1 481 136 3138
21 221 1191 385 1474 4676 33 46 515 53 102 4 485 116 3185
33 205 1113 413 1569 4728 31 43 541 64 133 NA 522 113 2886
36 241 1100 448 1684 4878 30 48 524 51 106 3 521 107 3101
22 215 1186 402 1560 4782 38 44 487 48 107 7 528 131 3016
18 180 1053 389 1450 4786 40 21 542 46 100 NA 519 118 3266
30 200 1079 433 1497 4669 30 31 525 43 86 3 519 125 3088
21 190 1129 394 1669 4815 42 41 541 54 86 1 567 103 3112
22 199 1290 409 1740 4890 27 28 519 51 91 2 394 128 3038
21 212 1153 401 1569 4900 28 30 518 46 79 NA 433 90 3094
27 193 1111 402 1448 4716 46 27 562 46 86 4 454 131 3031
19 152 1199 406 1453 4737 32 38 525 47 88 NA 473 105 2959
19 187 1112 374 1484 4690 31 30 505 43 100 NA 487 125 3106
26 187 1091 384 1677 4677 44 28 542 42 121 1 472 103 3177
27 170 1140 432 1454 4715 19 21 561 53 86 1 457 141 3042
22 203 1177 394 1560 4755 33 51 488 49 83 NA 526 88 3018
20 187 1181 379 1546 4848 37 56 505 34 111 2 427 109 3148
27 188 1145 409 1581 4839 34 39 521 50 89 NA 490 125 2925
22 187 1111 404 1466 4690 40 35 507 48 124 4 482 121 2944
26 183 1174 399 1572 4694 33 50 556 49 114 1 527 114 3005
20 209 1143 406 1459 4769 34 17 541 42 106 1 435 108 3286
27 202 1201 401 1524 4661 51 27 498 50 100 NA 502 96 2917
28 213 1127 419 1440 4719 32 38 493 48 113 NA 523 93 3026
30 208 1058 403 1506 4613 39 32 529 46 106 NA 494 49 3139
20 211 1115 439 1470 4793 40 30 537 48 101 4 515 102 3030
17 89 1081 445 1459 4795 33 32 533 53 120 2 524 113 3160
26 206 1061 453 1597 4785 18 52 466 42 116 1 476 140 2930
23 193 1109 420 1514 4615 31 35 569 41 99 10 432 145 3091
21 213 1131 434 1468 4463 21 43 503 46 88 6 496 105 2970
26 180 1092 394 1452 4631 38 41 483 49 97 3 470 125 2941
29 207 1173 414 1538 4731 41 35 518 52 121 NA 476 136 3081
21 216 1146 406 1515 4812 38 19 533 39 110 7 548 115 3101
23 199 1089 375 1462 4771 31 37 527 33 133 2 523 131 3067
15 161 1098 403 1421 4722 28 37 589 36 97 3 536 125 3212
35 257 1140 455 1492 4808 31 37 491 49 102 1 480 89 2981
23 208 1156 384 1632 4812 16 48 534 53 107 5 500 122 2846
23 187 1121 435 1515 4845 21 34 530 47 108 NA 472 113 2970
14 191 1082 420 1529 4895 19 20 494 36 125 1 466 128 2919
35 188 1109 430 1481 4739 34 40 509 52 112 1 475 116 2928
28 220 1170 425 1711 4974 34 41 524 51 101 2 472 115 2913
38 204 1065 439 1418 4836 27 48 500 53 107 1 511 124 2802
25 208 1116 430 1501 4847 38 25 517 51 122 NA 456 146 2952
26 194 1089 415 1534 4811 24 38 538 54 99 NA 520 142 3049
21 232 1105 435 1549 4842 37 28 531 51 102 1 502 107 3117
31 215 1205 381 1483 4713 34 44 542 48 104 1 473 112 3164
21 198 1118 420 1510 4776 33 29 494 42 119 1 495 127 3180
27 202 1084 393 1570 4658 33 53 569 43 110 NA 499 143 2942
30 223 1183 408 1687 4750 40 32 524 47 90 NA 495 55 2801
28 175 1068 415 1550 4916 35 32 533 44 114 4 472 124 3173
